coordinates,date,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity,searches,yearNumber,cases
25.7330;-100.3000,28/11/2015,0.195714286,0.023942857,0.242385714,20.89571429,12.89714286,0.71,50,0.907103825,1
25.7330;-100.3000,05/12/2015,0.142857143,0.005085714,0.036285714,18.05571429,9.37,0.761428571,7,0.926229508,0
25.7330;-100.3000,12/12/2015,0,0,0,25.53428571,13.07142857,0.642857143,4,0.945355191,0
25.7330;-100.3000,19/12/2015,0.015714286,0.002171429,0.022857143,23.58428571,8.87,0.454285714,0,0.964480874,0
25.7330;-100.3000,26/12/2015,0,0,0,27.69,14.22285714,0.568571429,0,0.983606557,0
25.7330;-100.3000,02/01/2016,0.285714286,0.038814286,0.271414286,14.70428571,7.514285714,0.672857143,0,0.005464481,3
25.7330;-100.3000,09/01/2016,0.127142857,0.002542857,0.0323,18.78857143,7.852857143,0.661428571,3,0.024590164,0
25.7330;-100.3000,16/01/2016,0.007142857,0.000357143,0.007257143,19.59428571,6.311428571,0.602857143,7,0.043715847,0
25.7330;-100.3000,23/01/2016,0,0,0,22.67142857,6.331428571,0.492857143,12,0.06284153,0
25.7330;-100.3000,30/01/2016,0.135714286,0.039557143,0.1455,22.24714286,7.841428571,0.554285714,40,0.081967213,0
25.7330;-100.3000,06/02/2016,0,0,0,23.20714286,7.357142857,0.4,60,0.101092896,0
25.7330;-100.3000,13/02/2016,0,0,0,24.68142857,9.111428571,0.39,31,0.120218579,0
25.7330;-100.3000,20/02/2016,0,0,0,29.00285714,15.21142857,0.585714286,32,0.139344262,0
25.7330;-100.3000,27/02/2016,0,0,0,24.28,12.55571429,0.561428571,21,0.158469945,0
25.7330;-100.3000,05/03/2016,0.075714286,0.019228571,0.267785714,29.54,16.76,0.614285714,29,0.177595628,0
25.7330;-100.3000,12/03/2016,0.414285714,0.0352,0.321128571,25.24428571,14.01571429,0.627142857,19,0.196721311,0
25.7330;-100.3000,19/03/2016,0.134285714,0.067857143,1.527985714,29.84285714,16.64571429,0.53,30,0.215846995,0
25.7330;-100.3000,26/03/2016,0,0,0,25.37857143,12.34857143,0.488571429,14,0.234972678,0
25.7330;-100.3000,02/04/2016,0.202857143,0.007614286,0.084185714,27.69285714,16.52142857,0.575714286,20,0.254098361,0
25.7330;-100.3000,09/04/2016,0.015714286,0.000728571,0.003985714,27.76571429,16.54285714,0.581428571,39,0.273224044,0
25.7330;-100.3000,16/04/2016,0.278571429,0.005457143,0.112857143,28.83571429,19.32571429,0.68,18,0.292349727,0
25.7330;-100.3000,23/04/2016,0.405714286,0.033385714,0.744957143,30.30857143,18.94714286,0.675714286,8,0.31147541,0
25.7330;-100.3000,30/04/2016,0.067142857,0.003628571,0.032657143,34.51857143,21.75285714,0.547142857,32,0.330601093,0
25.7330;-100.3000,07/05/2016,0.195714286,0.145142857,2.869471429,28.53285714,17.54714286,0.561428571,13,0.349726776,0
25.7330;-100.3000,14/05/2016,0.278571429,0.054785714,0.9213,32.1,21.18285714,0.655714286,10,0.368852459,1
25.7330;-100.3000,21/05/2016,0.691428571,0.063128571,0.813542857,29.90142857,21.62571429,0.74,10,0.387978142,0
25.7330;-100.3000,28/05/2016,0.337142857,0.029028571,0.614685714,33.39285714,22.44857143,0.691428571,27,0.407103825,0
25.7330;-100.3000,04/06/2016,0.558571429,0.176,3.173185714,31.13,21.27428571,0.722857143,17,0.426229508,0
25.7330;-100.3000,11/06/2016,0.134285714,0.340357143,7.936414286,31.94571429,21.43714286,0.618571429,7,0.445355191,0
25.7330;-100.3000,18/06/2016,0,0,0,35.27714286,23.76285714,0.621428571,7,0.464480874,0
25.7330;-100.3000,25/06/2016,0.202857143,0.058785714,0.806271429,32.54285714,22.03285714,0.641428571,7,0.483606557,0
