coordinates,date,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity,searches,cases
19.1500;-96.1170,28/11/2015,0.004285714,0.000357143,0.001085714,26.84285714,22.90285714,0.815714286,40,0
19.1500;-96.1170,05/12/2015,0,0,0.005085714,26.42571429,20.26571429,0.75,14,0
19.1500;-96.1170,12/12/2015,0,0,0,26.55,21.94142857,0.824285714,19,0
19.1500;-96.1170,19/12/2015,0,0,0,26.76142857,22.95714286,0.847142857,10,0
19.1500;-96.1170,26/12/2015,0.004285714,0.000357143,0.002542857,27.54428571,22.09857143,0.9,15,0
19.1500;-96.1170,02/01/2016,0,0,0,26.03857143,21.45142857,0.84,18,0
19.1500;-96.1170,09/01/2016,0.142857143,0.001814286,0.037371429,23.89,18.75714286,0.817142857,2,0
19.1500;-96.1170,16/01/2016,0,0,0,23.99428571,20.27285714,0.842857143,6,0
19.1500;-96.1170,23/01/2016,0.138571429,0.007257143,0.070028571,23.66,18.47142857,0.787142857,18,0
19.1500;-96.1170,30/01/2016,0,0,0,22.41,16.72428571,0.772857143,47,1
19.1500;-96.1170,06/02/2016,0,0,0.002542857,24.50428571,19.74285714,0.798571429,66,0
19.1500;-96.1170,13/02/2016,0.142857143,0.003985714,0.072571429,23.11714286,17.34285714,0.718571429,38,0
19.1500;-96.1170,20/02/2016,0,0,0,25.71571429,19.87857143,0.884285714,60,0
19.1500;-96.1170,27/02/2016,0.142857143,0.003628571,0.036285714,24.78,19.81285714,0.862857143,36,0
19.1500;-96.1170,05/03/2016,0,0,0,25.87142857,21.28428571,0.895714286,51,0
19.1500;-96.1170,12/03/2016,0.004285714,0.0029,0.049342857,27.72714286,21.90142857,0.811428571,76,0
19.1500;-96.1170,19/03/2016,0,0,0,28.57142857,23.01714286,0.912857143,53,1
19.1500;-96.1170,26/03/2016,0,0,0,25.90857143,20.63428571,0.812857143,22,0
19.1500;-96.1170,02/04/2016,0,0,0,30.17,23.41714286,0.858571429,59,2
19.1500;-96.1170,09/04/2016,0,0,0,26.82714286,22.29285714,0.828571429,65,0
19.1500;-96.1170,16/04/2016,0,0,0,29.28285714,24.68428571,0.902857143,29,1
19.1500;-96.1170,23/04/2016,0,0,0,29.68285714,24.64285714,0.868571429,13,0
19.1500;-96.1170,30/04/2016,0,0,0,33.65142857,25.50857143,0.83,22,0
19.1500;-96.1170,07/05/2016,0.277142857,0.003628571,0.0704,29.44285714,24.55428571,0.782857143,18,2
19.1500;-96.1170,14/05/2016,0,0,0.002542857,30.24,25.46714286,0.864285714,18,1
19.1500;-96.1170,21/05/2016,0.138571429,0.003985714,0.070028571,32.14285714,27.24571429,0.897142857,17,0
19.1500;-96.1170,28/05/2016,0,0,0,32.61857143,28.04714286,0.89,13,0
19.1500;-96.1170,04/06/2016,0,0,0,32.38,26.61857143,0.841428571,8,0
19.1500;-96.1170,11/06/2016,0,0,0,32.14285714,25.48714286,0.812857143,11,3
19.1500;-96.1170,18/06/2016,0.138571429,0.016685714,0.316414286,32.14285714,25.86142857,0.845714286,13,1
19.1500;-96.1170,25/06/2016,0.277142857,0.074742857,1.296128571,30.71428571,25.03428571,0.861428571,16,1
19.1500;-96.1170,02/07/2016,0.415714286,0.009071429,0.1778,31.74857143,25.36142857,0.827142857,9,9
19.1500;-96.1170,09/07/2016,0.277142857,0.018142857,0.315314286,32.14285714,26.33142857,0.844285714,7,15
19.1500;-96.1170,16/07/2016,0.277142857,0.060957143,1.1909,31.74714286,24.79857143,0.844285714,9,18
19.1500;-96.1170,23/07/2016,0.424285714,0.193771429,1.588942857,30.23857143,24.66142857,0.84,13,43
19.1500;-96.1170,30/07/2016,0.142857143,0.062771429,1.120871429,31.27,25.11,0.851428571,26,74
19.1500;-96.1170,06/08/2016,0.562857143,0.4572,2.255514286,30.92571429,25.18571429,0.845714286,45,42
19.1500;-96.1170,13/08/2016,0,0,0,32.30142857,26.38428571,0.87,68,91
19.1500;-96.1170,20/08/2016,0.281428571,0.051514286,0.840742857,31.19142857,25.37571429,0.88,93,85
19.1500;-96.1170,27/08/2016,0.277142857,0.385714286,2.872014286,30.63571429,24.50857143,0.884285714,100,114
19.1500;-96.1170,03/09/2016,0.281428571,0.024671429,0.356685714,31.74714286,25.36,0.854285714,93,173
19.1500;-96.1170,10/09/2016,0.277142857,0.050428571,0.913314286,31.20571429,23.09714286,0.797142857,74,36
19.1500;-96.1170,17/09/2016,0.701428571,0.145142857,2.410814286,31.27142857,23.83428571,0.818571429,93,97
19.1500;-96.1170,24/09/2016,0.277142857,0.164014286,2.801614286,31.14571429,23.05428571,0.802857143,68,195
19.1500;-96.1170,01/10/2016,0.42,0.039185714,0.595442857,30.84428571,23.77571429,0.817142857,71,102
19.1500;-96.1170,08/10/2016,0.285714286,0.349785714,6.640285714,31.62142857,23.55285714,0.79,44,103
19.1500;-96.1170,15/10/2016,0.277142857,0.020671429,0.245285714,30.01857143,22.32714286,0.778571429,41,182
19.1500;-96.1170,22/10/2016,0.138571429,0.003628571,0.070028571,30.58142857,22.63285714,0.764285714,44,123
19.1500;-96.1170,29/10/2016,0.415714286,0.010885714,0.210457143,29.05428571,20.83285714,0.771428571,41,61
19.1500;-96.1170,05/11/2016,0.281428571,0.115757143,0.955771429,29.97571429,22.00571429,0.788571429,22,135
19.1500;-96.1170,12/11/2016,0.142857143,0.022128571,0.399142857,28.77142857,21.87166667,0.732857143,40,28
19.1500;-96.1170,19/11/2016,0.285714286,0.041728571,0.612857143,28.13714286,20.99142857,0.741428571,32,11
19.1500;-96.1170,26/11/2016,0.004285714,0.000357143,0.005085714,27.22428571,19.24142857,0.772857143,22,9
19.1500;-96.1170,03/12/2016,0,0,0,29.36428571,21.45428571,0.804285714,38,8
19.1500;-96.1170,10/12/2016,0.428571429,0.101228571,1.161142857,26.94571429,21.73428571,0.845714286,35,16
19.1500;-96.1170,17/12/2016,0.142857143,0.070757143,0.943428571,28.05428571,21.11285714,0.851428571,28,1
19.1500;-96.1170,24/12/2016,0.147142857,0.014142857,0.220257143,25.96428571,18.51571429,0.828571429,5,2
19.1500;-96.1170,31/12/2016,0.277142857,0.014514286,0.210457143,27.55857143,20.70833333,0.837142857,11,70
19.1500;-96.1170,07/01/2017,0,0,0.001085714,27.20857143,18.84,0.801428571,12,1
19.1500;-96.1170,14/01/2017,0.004285714,0.000357143,0.005085714,25.5,17.52428571,0.765714286,12,0
19.1500;-96.1170,21/01/2017,0,0,0,29.71,20.31142857,0.791428571,9,0
19.1500;-96.1170,28/01/2017,0,0,0,28.27857143,18.71857143,0.714285714,42,0
19.1500;-96.1170,04/02/2017,0.277142857,0.017414286,0.420557143,25.24571429,17.73428571,0.747142857,25,1
19.1500;-96.1170,11/02/2017,0,0,0,28.58,20.24142857,0.832857143,40,1
19.1500;-96.1170,18/02/2017,0,0,0.002542857,28.06428571,20.17714286,0.808571429,50,2
19.1500;-96.1170,25/02/2017,0,0,0,30.99428571,18.55428571,0.692857143,37,0
19.1500;-96.1170,04/03/2017,0.004285714,0.000357143,0.005085714,29.06857143,20.97,0.782857143,53,1
