City,Date,Cases,Rain,Temp,Searches
Mexico-Nuevo_Leon,28/11/2015,1,20.1,19.5,24
Mexico-Nuevo_Leon,05/12/2015,0,3.6,16.7,5
Mexico-Nuevo_Leon,12/12/2015,0,3.6,16.7,0
Mexico-Nuevo_Leon,19/12/2015,0,3.6,16.7,0
Mexico-Nuevo_Leon,26/12/2015,0,3.6,16.7,0
Mexico-Nuevo_Leon,02/01/2016,3,29.1,14.1,0
Mexico-Nuevo_Leon,09/01/2016,0,29.1,14.1,0
Mexico-Nuevo_Leon,16/01/2016,0,29.1,14.1,24
Mexico-Nuevo_Leon,23/01/2016,0,29.1,14.1,39
Mexico-Nuevo_Leon,30/01/2016,0,29.1,14.1,55
Mexico-Nuevo_Leon,06/02/2016,0,1.5,17.5,31
Mexico-Nuevo_Leon,13/02/2016,0,1.5,17.5,27
Mexico-Nuevo_Leon,20/02/2016,0,1.5,17.5,25
Mexico-Nuevo_Leon,27/02/2016,0,1.5,17.5,17
Mexico-Nuevo_Leon,05/03/2016,0,47.2,21.6,14
Mexico-Nuevo_Leon,12/03/2016,0,47.2,21.6,34
Mexico-Nuevo_Leon,19/03/2016,0,47.2,21.6,18
Mexico-Nuevo_Leon,26/03/2016,0,47.2,21.6,26
Mexico-Nuevo_Leon,02/04/2016,0,45.2,23.9,28
Mexico-Nuevo_Leon,09/04/2016,0,45.2,23.9,28
Mexico-Nuevo_Leon,16/04/2016,0,45.2,23.9,11
Mexico-Nuevo_Leon,23/04/2016,0,45.2,23.9,22
Mexico-Nuevo_Leon,30/04/2016,0,45.2,23.9,21
Mexico-Nuevo_Leon,07/05/2016,0,93,26,13
Mexico-Nuevo_Leon,14/05/2016,1,93,26,9
Mexico-Nuevo_Leon,21/05/2016,0,93,26,6
Mexico-Nuevo_Leon,28/05/2016,0,93,26,11
Mexico-Nuevo_Leon,04/06/2016,0,58,27.1,9
Mexico-Nuevo_Leon,11/06/2016,0,58,27.1,9
Mexico-Nuevo_Leon,18/06/2016,0,58,27.1,6
Mexico-Nuevo_Leon,25/06/2016,0,58,27.1,5
Mexico-Nuevo_Leon,02/07/2016,0,36.4,29.5,3
Mexico-Nuevo_Leon,09/07/2016,0,36.4,29.5,1
Mexico-Nuevo_Leon,16/07/2016,0,36.4,29.5,2
Mexico-Nuevo_Leon,23/07/2016,1,36.4,29.5,4
Mexico-Nuevo_Leon,30/07/2016,1,36.4,29.5,3
Mexico-Nuevo_Leon,06/08/2016,0,128,28.1,3
Mexico-Nuevo_Leon,13/08/2016,1,128,28.1,5
Mexico-Nuevo_Leon,20/08/2016,0,128,28.1,6
Mexico-Nuevo_Leon,27/08/2016,0,128,28.1,4
Mexico-Nuevo_Leon,03/09/2016,0,75.7,26.8,2
Mexico-Nuevo_Leon,10/09/2016,4,75.7,26.8,5
Mexico-Nuevo_Leon,17/09/2016,7,75.7,26.8,12
Mexico-Nuevo_Leon,24/09/2016,23,75.7,26.8,10
Mexico-Nuevo_Leon,01/10/2016,56,32.2,23.9,46
Mexico-Nuevo_Leon,08/10/2016,29,32.2,23.9,47
Mexico-Nuevo_Leon,15/10/2016,48,32.2,23.9,100
Mexico-Nuevo_Leon,22/10/2016,143,32.2,23.9,100
Mexico-Nuevo_Leon,29/10/2016,45,32.2,23.9,100
Mexico-Nuevo_Leon,05/11/2016,53,50,20.4,72
Mexico-Nuevo_Leon,12/11/2016,10,50,20.4,83
Mexico-Nuevo_Leon,19/11/2016,27,50,20.4,62
Mexico-Nuevo_Leon,26/11/2016,2,50,20.4,75
Mexico-Nuevo_Leon,03/12/2016,1,15.9,16.6,61
Mexico-Nuevo_Leon,10/12/2016,303,15.9,16.6,53
