City,Date,Cases,Rain,Temp,Searches
Mexico-Tamaulipas,28/11/2015,0,39,22.7,0
Mexico-Tamaulipas,05/12/2015,0,5.1,19.8,0
Mexico-Tamaulipas,12/12/2015,0,5.1,19.8,0
Mexico-Tamaulipas,19/12/2015,0,5.1,19.8,0
Mexico-Tamaulipas,26/12/2015,0,5.1,19.8,0
Mexico-Tamaulipas,02/01/2016,0,25.4,16.8,7
Mexico-Tamaulipas,09/01/2016,0,25.4,16.8,0
Mexico-Tamaulipas,16/01/2016,0,25.4,16.8,41
Mexico-Tamaulipas,23/01/2016,0,25.4,16.8,46
Mexico-Tamaulipas,30/01/2016,0,25.4,16.8,76
Mexico-Tamaulipas,06/02/2016,0,2.1,19.4,38
Mexico-Tamaulipas,13/02/2016,0,2.1,19.4,40
Mexico-Tamaulipas,20/02/2016,0,2.1,19.4,12
Mexico-Tamaulipas,27/02/2016,0,2.1,19.4,22
Mexico-Tamaulipas,05/03/2016,0,48.4,23.6,30
Mexico-Tamaulipas,12/03/2016,0,48.4,23.6,17
Mexico-Tamaulipas,19/03/2016,0,48.4,23.6,17
Mexico-Tamaulipas,26/03/2016,0,48.4,23.6,76
Mexico-Tamaulipas,02/04/2016,0,52.6,25.9,12
Mexico-Tamaulipas,09/04/2016,0,52.6,25.9,25
Mexico-Tamaulipas,16/04/2016,0,52.6,25.9,0
Mexico-Tamaulipas,23/04/2016,0,52.6,25.9,7
Mexico-Tamaulipas,30/04/2016,0,52.6,25.9,10
Mexico-Tamaulipas,07/05/2016,0,128.2,27.9,6
Mexico-Tamaulipas,14/05/2016,0,128.2,27.9,23
Mexico-Tamaulipas,21/05/2016,0,128.2,27.9,16
Mexico-Tamaulipas,28/05/2016,0,128.2,27.9,8
Mexico-Tamaulipas,04/06/2016,0,119.8,28.4,0
Mexico-Tamaulipas,11/06/2016,0,119.8,28.4,4
Mexico-Tamaulipas,18/06/2016,0,119.8,28.4,0
Mexico-Tamaulipas,25/06/2016,0,119.8,28.4,0
Mexico-Tamaulipas,02/07/2016,0,42.6,30,0
Mexico-Tamaulipas,09/07/2016,0,42.6,30,3
Mexico-Tamaulipas,16/07/2016,0,42.6,30,0
Mexico-Tamaulipas,23/07/2016,0,42.6,30,0
Mexico-Tamaulipas,30/07/2016,0,42.6,30,0
Mexico-Tamaulipas,06/08/2016,0,121.8,29.6,8
Mexico-Tamaulipas,13/08/2016,0,121.8,29.6,6
Mexico-Tamaulipas,20/08/2016,0,121.8,29.6,13
Mexico-Tamaulipas,27/08/2016,3,121.8,29.6,11
Mexico-Tamaulipas,03/09/2016,11,82.3,28.8,22
Mexico-Tamaulipas,10/09/2016,2,82.3,28.8,18
Mexico-Tamaulipas,17/09/2016,0,82.3,28.8,29
Mexico-Tamaulipas,24/09/2016,1,82.3,28.8,15
Mexico-Tamaulipas,01/10/2016,0,50.4,26.6,14
Mexico-Tamaulipas,08/10/2016,29,50.4,26.6,15
Mexico-Tamaulipas,15/10/2016,3,50.4,26.6,28
Mexico-Tamaulipas,22/10/2016,0,50.4,26.6,25
Mexico-Tamaulipas,29/10/2016,0,50.4,26.6,17
Mexico-Tamaulipas,05/11/2016,2,53.8,23.1,22
Mexico-Tamaulipas,12/11/2016,0,53.8,23.1,25
Mexico-Tamaulipas,19/11/2016,0,53.8,23.1,20
Mexico-Tamaulipas,26/11/2016,18,53.8,23.1,41
Mexico-Tamaulipas,03/12/2016,0,19.4,20.6,39
Mexico-Tamaulipas,10/12/2016,0,19.4,20.6,35
Mexico-Tamaulipas,17/12/2016,27,19.4,20.6,10
Mexico-Tamaulipas,24/12/2016,0,19.4,20.6,41
Mexico-Tamaulipas,31/12/2016,1,19.4,20.6,49
Mexico-Tamaulipas,07/01/2017,0,8.3,20.3,11
Mexico-Tamaulipas,14/01/2017,0,8.3,20.3,9
Mexico-Tamaulipas,21/01/2017,0,8.3,20.3,0
Mexico-Tamaulipas,28/01/2017,0,8.3,20.3,0
Mexico-Tamaulipas,04/02/2017,0,14.9,23.2,18
Mexico-Tamaulipas,11/02/2017,1,14.9,23.2,17
Mexico-Tamaulipas,18/02/2017,0,14.9,23.2,16
Mexico-Tamaulipas,25/02/2017,2,14.9,23.2,0
Mexico-Tamaulipas,04/03/2017,0,57.9,24.1,65
