"BehaviorSpace results (NetLogo 6.0.1)"
"SoNA3BS.nlogo"
"CatemacoBaseline_HET"
"10/30/2017 00:51:47:563 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-150","150","-100","100"
"[run number]","1","2","3","4","5","6","7","8"
"RELEASE_WOLBACHIA","false","false","false","false","false","false","false","false"
"RELEASE_STERILE","false","false","false","false","false","false","false","false"
"RELEASE_FOGGING","false","false","false","false","false","false","false","false"
"RELEASE_OXITECH","false","false","false","false","false","false","false","false"
"RELEASE_FITNESS","false","false","false","false","false","false","false","false"
"RELEASE_NEUTRAL","false","false","false","false","false","false","false","false"
"TEMPERATURE_TYPE","""Constant""","""Constant""","""Constant""","""Constant""","""Constant""","""Constant""","""Constant""","""Constant"""
"CONSTANT_TEMPERATURE","25","25","25","25","25","25","25","25"
"BreedingZonesNumber","""GoogleMap""","""GoogleMap""","""GoogleMap""","""GoogleMap""","""GoogleMap""","""GoogleMap""","""GoogleMap""","""GoogleMap"""
"FOOD_DYNAMICS?","false","false","false","false","false","false","false","false"
"FUMIGATION","false","false","false","false","false","false","false","false"
"BREEDING_EXTERMINATION","false","false","false","false","false","false","false","false"
"BREEDING_REPLACEMENT_WOLBACHIA","false","false","false","false","false","false","false","false"
"BREEDING_REPLACEMENT_STERILE","false","false","false","false","false","false","false","false"
"BREEDING_REPLACEMENT_OXITECH","false","false","false","false","false","false","false","false"
"BREEDING_REPLACEMENT_FITNESS","false","false","false","false","false","false","false","false"
"OVITRAPS?","false","false","false","false","false","false","false","false"
"SUGAR_BAITS?","false","false","false","false","false","false","false","false"
"OXITECH_RATIO","0","0","0","0","0","0","0","0"
"FITNESS_SELECTED_RATIO","0","0","0","0","0","0","0","0"
"WOLBACHIA_RATIO","0","0","0","0","0","0","0","0"
"STERILE_RATIO","0","0","0","0","0","0","0","0"
"HUMAN_VISIT","true","true","true","true","true","true","true","true"
"STORE_BITES","true","true","true","true","true","true","true","true"
"STORE_HOUSE_CONTACT","false","false","false","false","false","false","false","false"
"STORE_HUMAN_CONTACT","false","false","false","false","false","false","false","false"
"STORE_CONTROL_RELEASES","false","false","false","false","false","false","false","false"
"EXPORT_RATE","144","144","144","144","144","144","144","144"
"[steps]","8760","8760","8760","8760","8760","8760","8760","8760"
