"STATION","NAME","DATE","PRCP","TAVG","TMIN"
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-01",,"78",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-02",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-03",,"77",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-04",,"77",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-05",,"74",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-06",,"74",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-07",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-08",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-09",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-10",,"74",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-11",,"78",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-12",,"75",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-13",,"75","58"
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-14",,"72",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-15",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-16",,"75",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-17",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-18",,"77",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-19",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-20",,"74",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-21",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-22",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-23",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-24",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-25",,"73","59"
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-26",,"74",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-27",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-28",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-29",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-30",,"77",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-01-31",,"79",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-01",,"78",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-02",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-03",,"77",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-04",,"77",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-05",,"74",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-06",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-07",,"72",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-08",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-09",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-10",,"75",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-11",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-12",,"75",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-13",,"74",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-14",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-15",,"72",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-16",,"74",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-17",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-18",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-19",,"75",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-20",,"74",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-21",,"72",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-22",,"72",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-23",,"70",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-24",,"72",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-25",,"74",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-26",,"76",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-27",,"77",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-02-28",,"75",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-03-01",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-03-02",,"71",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-03-03",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-03-04",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-03-05",,"75",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-03-06",,"73",
"BRM00083344","VITORIA DA CONQUISTA, BR","2015-03-07",,"76",
