"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-01","0.00","68","88","57"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-02","0.00","70","89","55"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-03","0.00","75","86","55"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-05","0.00","69","86","56"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-06","0.00","67","79","58"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-08","0.00","69","85","58"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-09","0.00","68",,
"MXM00076762","CHILPANCINGO RO., MX","2015-01-10","0.00","68","85","56"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-12","0.00","69","90","53"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-13","0.00","69","88","54"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-14","0.00","70","88","53"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-15","0.00","68","87","53"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-16","0.00","71","89","55"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-17","0.00","72","89","59"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-18","0.00","73","89","59"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-19","0.00","71","89","58"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-20","0.00","69","88","58"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-21","0.00","74","89","62"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-22","0.00","69","87","59"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-23","0.00","69","85","58"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-24","0.00","71",,
"MXM00076762","CHILPANCINGO RO., MX","2015-01-25","0.00","69","85","59"
"MXM00076762","CHILPANCINGO RO., MX","2015-01-26","0.00","70",,
"MXM00076762","CHILPANCINGO RO., MX","2015-01-27","0.00","74","89","56"
