"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MX000076393","MONTERREY CITY, MX","2015-01-03",,"47",,
"MX000076393","MONTERREY CITY, MX","2015-01-04","0.00","54","63","43"
"MX000076393","MONTERREY CITY, MX","2015-01-06","0.00","54",,
"MX000076393","MONTERREY CITY, MX","2015-01-07","0.00","58","65","45"
"MX000076393","MONTERREY CITY, MX","2015-01-08","0.21","44","65","37"
"MX000076393","MONTERREY CITY, MX","2015-01-09","0.00","42",,
"MX000076393","MONTERREY CITY, MX","2015-01-10","0.05","41",,
"MX000076393","MONTERREY CITY, MX","2015-01-11",,"44","57","38"
"MX000076393","MONTERREY CITY, MX","2015-01-12","0.00","55",,
"MX000076393","MONTERREY CITY, MX","2015-01-13","0.00","52","69","45"
"MX000076393","MONTERREY CITY, MX","2015-01-14","0.04","43",,
"MX000076393","MONTERREY CITY, MX","2015-01-15",,"45",,
"MX000076393","MONTERREY CITY, MX","2015-01-16","0.00","51",,
"MX000076393","MONTERREY CITY, MX","2015-01-17","0.00","58",,
"MX000076393","MONTERREY CITY, MX","2015-01-18","0.00","62","75","44"
"MX000076393","MONTERREY CITY, MX","2015-01-19","0.00","62",,
"MX000076393","MONTERREY CITY, MX","2015-01-20","0.00","67",,
"MX000076393","MONTERREY CITY, MX","2015-01-21","0.00","67","86","53"
"MX000076393","MONTERREY CITY, MX","2015-01-22","0.00","63","74","55"
"MX000076393","MONTERREY CITY, MX","2015-01-23","0.02","48","63","42"
"MX000076393","MONTERREY CITY, MX","2015-01-24","0.00","49",,
"MX000076393","MONTERREY CITY, MX","2015-01-25","0.00","55",,
"MX000076393","MONTERREY CITY, MX","2015-01-26","0.00","59","72","47"
"MX000076393","MONTERREY CITY, MX","2015-01-27","0.00","67",,
"MX000076393","MONTERREY CITY, MX","2015-01-28","0.00","66","81","55"
"MX000076393","MONTERREY CITY, MX","2015-01-29","0.00","65",,
"MX000076393","MONTERREY CITY, MX","2015-01-30","0.00","66","81","54"
"MX000076393","MONTERREY CITY, MX","2015-01-31",,"61","64","57"
"MX000076393","MONTERREY CITY, MX","2015-02-02","0.18","55",,
"MX000076393","MONTERREY CITY, MX","2015-02-03",,"44",,
"MX000076393","MONTERREY CITY, MX","2015-02-04",,"54",,
"MX000076393","MONTERREY CITY, MX","2015-02-05","0.00","57","74","47"
"MX000076393","MONTERREY CITY, MX","2015-02-06",,"52","58","49"
"MX000076393","MONTERREY CITY, MX","2015-02-07","0.00","57",,
"MX000076393","MONTERREY CITY, MX","2015-02-08","0.00","66",,
"MX000076393","MONTERREY CITY, MX","2015-02-09","0.00","71","90","51"
"MX000076393","MONTERREY CITY, MX","2015-02-10","0.00","67","85","54"
"MX000076393","MONTERREY CITY, MX","2015-02-11","0.00","64","81","53"
"MX000076393","MONTERREY CITY, MX","2015-02-12","0.00","62",,
"MX000076393","MONTERREY CITY, MX","2015-02-13","1.10","53",,
"MX000076393","MONTERREY CITY, MX","2015-02-14","0.00","56",,
"MX000076393","MONTERREY CITY, MX","2015-02-15","0.00","61",,
"MX000076393","MONTERREY CITY, MX","2015-02-16","0.00","70","85","57"
"MX000076393","MONTERREY CITY, MX","2015-02-17","0.09","52",,
"MX000076393","MONTERREY CITY, MX","2015-02-18","0.00","52",,
"MX000076393","MONTERREY CITY, MX","2015-02-19","0.00","58",,
"MX000076393","MONTERREY CITY, MX","2015-02-20","0.00","62",,
"MX000076393","MONTERREY CITY, MX","2015-02-21","0.00","69",,
"MX000076393","MONTERREY CITY, MX","2015-02-22","0.00","72","89","56"
"MX000076393","MONTERREY CITY, MX","2015-02-23","0.00","58",,
"MX000076393","MONTERREY CITY, MX","2015-02-24","0.08","41","50","37"
"MX000076393","MONTERREY CITY, MX","2015-02-25","0.01","48",,
"MX000076393","MONTERREY CITY, MX","2015-02-26","0.00","59","71","40"
"MX000076393","MONTERREY CITY, MX","2015-02-27","0.00","53","75","47"
"MX000076393","MONTERREY CITY, MX","2015-02-28",,"45",,
"MX000076393","MONTERREY CITY, MX","2015-03-01","0.00","50","55","38"
"MX000076393","MONTERREY CITY, MX","2015-03-02","0.00","53","56","47"
"MX000076393","MONTERREY CITY, MX","2015-03-03",,"56",,
"MX000076393","MONTERREY CITY, MX","2015-03-04","0.00","68",,
"MX000076393","MONTERREY CITY, MX","2015-03-05","0.00","58",,
"MX000076393","MONTERREY CITY, MX","2015-03-06","0.00","45","49","43"
"MX000076393","MONTERREY CITY, MX","2015-03-07","0.00","48","55","43"
"MX000076393","MONTERREY CITY, MX","2015-03-08","0.00","55",,
"MX000076393","MONTERREY CITY, MX","2015-03-09","0.00","61","72","51"
"MX000076393","MONTERREY CITY, MX","2015-03-10","0.30","64","76","54"
"MX000076393","MONTERREY CITY, MX","2015-03-11","0.00","60",,
"MX000076393","MONTERREY CITY, MX","2015-03-12","0.02","61",,
"MX000076393","MONTERREY CITY, MX","2015-03-13","0.00","62","78","50"
"MX000076393","MONTERREY CITY, MX","2015-03-14",,"60","65","56"
"MX000076393","MONTERREY CITY, MX","2015-03-15",,"60","65","56"
