"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-02","1.5","11.7","14.2","9.2"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-04","0.0","13.8",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-05","0.0","13.4",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-06","0.0","13.7","17.5","9.8"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-07","0.0","18.2","22.0","10.4"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-08",,"10.6",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-09",,"12.1",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-10","0.0","10.5","15.0","8.0"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-11","4.1","11.1","15.5","7.6"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-12","0.0","12.4",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-13","0.0","13.8","22.5","6.9"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-14",,"11.1",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-15",,"10.0",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-16","0.5","11.9",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-17","0.0","12.1",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-18","0.0","15.8","24.7","5.2"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-19","0.0","15.8","24.7","9.1"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-20","0.0","16.1",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-21","0.0","20.6","29.6","9.8"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-22","0.0","23.2",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-23","0.0","15.1","27.8","10.6"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-24","0.0","14.2","22.0","9.8"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-25","0.0","13.3",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-26","0.0","16.5",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-27","0.0","17.1",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-28","0.0","17.7","27.9","6.9"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-29","0.0","18.9",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-01-30","0.0","18.9","29.4","9.1"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-01","0.0","19.7","27.0","13.3"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-02","0.0","16.2",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-03","8.4","10.1",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-04",,"14.8",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-05","0.0","16.4","25.0","11.4"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-06","0.0","16.7","21.5","10.8"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-07","0.0","16.5","22.8","10.8"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-09","0.0","19.2",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-10","0.0","20.2","30.2","12.0"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-11","0.0","17.9","29.2","8.0"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-12","0.0","20.1","28.0","8.0"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-13","0.0","19.4","26.2","15.3"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-14","0.0","19.3",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-15","0.0","21.1",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-16","0.0","22.9",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-17","0.0","16.5",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-18","0.0","14.1",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-19","0.0","16.2",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-20","0.0","20.6",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-21","0.0","22.2","29.4","13.3"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-22","0.0","22.1",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-23","0.0","19.8","32.6","14.3"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-24","0.0","10.8","22.0","7.9"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-25","0.0","12.6","18.3","7.9"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-26","0.3","16.4","24.4","7.4"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-27","0.0","17.5","25.7","7.4"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-02-28","0.0","17.2",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-03-01","0.0","19.0",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-03-02","0.0","18.8","29.0","13.6"
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-03-03","0.0","21.2",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-03-04","0.0","25.1",,
"MXM00076499","SOTO LA MARINA TAMPS., MX","2015-03-05","0.0","17.5","33.0","11.0"
