"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-01","0.00","74","80","71"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-02","0.00","74","82","70"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-03","0.00","75","82","69"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-04","0.00","74","81","69"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-05",,"69",,
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-06",,"68","74","63"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-07",,"71",,
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-08","0.00","70","77","67"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-09","0.10","66","72","64"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-10","0.00","65",,
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-11","0.00","65","70","62"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-12","0.00","69","76","62"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-13","0.00","70","76","65"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-14","0.00","67","73","64"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-15","0.00","66","70","64"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-16","0.00","64","69","62"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-17","0.00","65","74","58"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-18","0.00","69","75","58"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-19","0.00","69","80","59"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-20","0.00","69","80","59"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-21","0.00","71","78","64"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-22","0.00","70","79","65"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-23","0.00","70","78","65"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-24","0.00","63","71","62"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-25","0.00","64","72","56"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-26","0.00","68","76","56"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-27","0.00","68","78","58"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-28","0.00","68","78","58"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-29","0.00","68","78","58"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-30","0.00","70","78","58"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-01-31","0.00","68","78","62"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-01","0.00","71","77","61"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-02","0.00","70","78","62"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-03","0.00","68","78","65"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-04","0.00","67","72","62"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-05","0.00","69",,
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-06","0.00","70","77","63"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-07","0.00","69","77","65"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-08","0.00","68","78","57"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-09","0.00","69","78","57"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-10","0.00","69","78","61"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-11","0.00","69","79","63"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-12","0.00","70","79","63"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-13","0.00","72",,
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-14","0.00","71","80","64"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-15","0.00","71","79","63"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-16","0.00","72","79","63"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-17","0.00","72","80","63"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-18","0.00","67","75","63"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-19","0.00","66","70","62"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-20","0.00","69","81","62"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-21","0.00","71","82","63"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-22","0.00","72","79","63"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-23","0.00","75","81","66"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-24","0.00","72","82","69"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-25","0.00","69","77","65"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-26","0.00","68","81","65"
"MXM00076692","HACIENDA YLANG YLANG VERACRUZ, MX","2015-02-27","0.00","69",,
