"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MXM00076647","VALLADOLID YUC., MX","2015-01-01","0.00","82","90","65"
"MXM00076647","VALLADOLID YUC., MX","2015-01-02","0.00","77","89","65"
"MXM00076647","VALLADOLID YUC., MX","2015-01-03","0.00","78","90","67"
"MXM00076647","VALLADOLID YUC., MX","2015-01-04","0.00","80","91","70"
"MXM00076647","VALLADOLID YUC., MX","2015-01-05","0.00","79","92","71"
"MXM00076647","VALLADOLID YUC., MX","2015-01-06","0.00","77","91","67"
"MXM00076647","VALLADOLID YUC., MX","2015-01-07","0.00","78","91","67"
"MXM00076647","VALLADOLID YUC., MX","2015-01-08","0.00","76","93","68"
"MXM00076647","VALLADOLID YUC., MX","2015-01-09","0.00","71","84","63"
"MXM00076647","VALLADOLID YUC., MX","2015-01-10","0.00","75","86","63"
"MXM00076647","VALLADOLID YUC., MX","2015-01-11","0.00","76","86","67"
"MXM00076647","VALLADOLID YUC., MX","2015-01-12","1.04","78",,
"MXM00076647","VALLADOLID YUC., MX","2015-01-13","0.00","76","92","66"
"MXM00076647","VALLADOLID YUC., MX","2015-01-14","0.00","76","92","66"
"MXM00076647","VALLADOLID YUC., MX","2015-01-15","0.00","76",,
"MXM00076647","VALLADOLID YUC., MX","2015-01-16","0.00","74","92","62"
"MXM00076647","VALLADOLID YUC., MX","2015-01-17","0.00","73","85","64"
"MXM00076647","VALLADOLID YUC., MX","2015-01-18","0.00","72","84","61"
"MXM00076647","VALLADOLID YUC., MX","2015-01-19","0.00","74","87","60"
"MXM00076647","VALLADOLID YUC., MX","2015-01-20","0.00","74","90","60"
"MXM00076647","VALLADOLID YUC., MX","2015-01-21","0.01","78","92","64"
"MXM00076647","VALLADOLID YUC., MX","2015-01-22","0.02","77","91","67"
"MXM00076647","VALLADOLID YUC., MX","2015-01-23","0.00","79","91","67"
"MXM00076647","VALLADOLID YUC., MX","2015-01-24","0.00","76","93","69"
"MXM00076647","VALLADOLID YUC., MX","2015-01-25","0.00","67",,
"MXM00076647","VALLADOLID YUC., MX","2015-01-26","0.00","67","84","55"
"MXM00076647","VALLADOLID YUC., MX","2015-01-27","0.00","70","83","53"
"MXM00076647","VALLADOLID YUC., MX","2015-01-28","0.00","70",,
"MXM00076647","VALLADOLID YUC., MX","2015-01-29","0.00","73","85","52"
