originalFile,r0
CatemacoBaseline_HOM 10730.xml,1.5
CatemacoBaseline_HOM 10730.xml,1.266666667
CatemacoBaseline_HOM 10730.xml,1.625
CatemacoBaseline_HOM 10730.xml,1.428571429
CatemacoBaseline_HOM 10730.xml,0.5
CatemacoBaseline_HOM 10730.xml,1.5
CatemacoBaseline_HOM 10730.xml,1.384615385
CatemacoBaseline_HOM 10730.xml,2
CatemacoBaseline_HOM 10730.xml,0
CatemacoBaseline_HOM 10730.xml,0.333333333
CatemacoBaseline_HOM 127860.xml,1.3125
CatemacoBaseline_HOM 127860.xml,0.5
CatemacoBaseline_HOM 127860.xml,1.555555556
CatemacoBaseline_HOM 127860.xml,1.25
CatemacoBaseline_HOM 127860.xml,1.5
CatemacoBaseline_HOM 127860.xml,1.666666667
CatemacoBaseline_HOM 127860.xml,1.727272727
CatemacoBaseline_HOM 127860.xml,1
CatemacoBaseline_HOM 127860.xml,0.666666667
CatemacoBaseline_HOM 127860.xml,1.4
CatemacoBaseline_HOM 129565.xml,2
CatemacoBaseline_HOM 129565.xml,1
CatemacoBaseline_HOM 129565.xml,1.625
CatemacoBaseline_HOM 129565.xml,0.833333333
CatemacoBaseline_HOM 129565.xml,1
CatemacoBaseline_HOM 129565.xml,0.666666667
CatemacoBaseline_HOM 129565.xml,0.75
CatemacoBaseline_HOM 129565.xml,1
CatemacoBaseline_HOM 129565.xml,1.333333333
CatemacoBaseline_HOM 129565.xml,1.333333333
CatemacoBaseline_HOM 162691.xml,1.571428571
CatemacoBaseline_HOM 162691.xml,1.375
CatemacoBaseline_HOM 162691.xml,1.333333333
CatemacoBaseline_HOM 162691.xml,1.2
CatemacoBaseline_HOM 162691.xml,1.571428571
CatemacoBaseline_HOM 162691.xml,1.363636364
CatemacoBaseline_HOM 162691.xml,0
CatemacoBaseline_HOM 162691.xml,1.5
CatemacoBaseline_HOM 162691.xml,1.625
CatemacoBaseline_HOM 162691.xml,1.777777778
CatemacoBaseline_HOM 173723.xml,1.666666667
CatemacoBaseline_HOM 173723.xml,0.75
CatemacoBaseline_HOM 173723.xml,1.727272727
CatemacoBaseline_HOM 173723.xml,1.7
CatemacoBaseline_HOM 173723.xml,1.3
CatemacoBaseline_HOM 173723.xml,0
CatemacoBaseline_HOM 173723.xml,1
CatemacoBaseline_HOM 173723.xml,1.3
CatemacoBaseline_HOM 173723.xml,1.5
CatemacoBaseline_HOM 173723.xml,1.636363636
CatemacoBaseline_HOM 186821.xml,0.333333333
CatemacoBaseline_HOM 186821.xml,1.285714286
CatemacoBaseline_HOM 186821.xml,1.555555556
CatemacoBaseline_HOM 186821.xml,1.285714286
CatemacoBaseline_HOM 186821.xml,0
CatemacoBaseline_HOM 186821.xml,1.2
