originalFile,r0
CatemacoFogging_HET 100348.xml,0
CatemacoFogging_HET 100348.xml,0.75
CatemacoFogging_HET 100348.xml,0
CatemacoFogging_HET 100348.xml,0
CatemacoFogging_HET 100348.xml,0
CatemacoFogging_HET 100348.xml,0.75
CatemacoFogging_HET 100348.xml,0.333333333
CatemacoFogging_HET 100348.xml,0
CatemacoFogging_HET 100348.xml,0
CatemacoFogging_HET 100348.xml,0
CatemacoFogging_HET 102612.xml,0.666666667
CatemacoFogging_HET 102612.xml,0.333333333
CatemacoFogging_HET 102612.xml,0.333333333
CatemacoFogging_HET 102612.xml,0
CatemacoFogging_HET 102612.xml,0.333333333
CatemacoFogging_HET 102612.xml,0
CatemacoFogging_HET 102612.xml,0.333333333
CatemacoFogging_HET 102612.xml,0
CatemacoFogging_HET 102612.xml,0
CatemacoFogging_HET 102612.xml,0.333333333
CatemacoFogging_HET 138417.xml,0.666666667
CatemacoFogging_HET 138417.xml,0.333333333
CatemacoFogging_HET 138417.xml,0
CatemacoFogging_HET 138417.xml,0.333333333
CatemacoFogging_HET 138417.xml,1
CatemacoFogging_HET 138417.xml,0
CatemacoFogging_HET 138417.xml,0
CatemacoFogging_HET 138417.xml,0.666666667
CatemacoFogging_HET 138417.xml,0.666666667
CatemacoFogging_HET 138417.xml,0
CatemacoFogging_HET 140976.xml,0.333333333
CatemacoFogging_HET 140976.xml,0.666666667
CatemacoFogging_HET 140976.xml,0.333333333
CatemacoFogging_HET 140976.xml,1
CatemacoFogging_HET 140976.xml,0.6
CatemacoFogging_HET 140976.xml,0.666666667
CatemacoFogging_HET 140976.xml,0.666666667
CatemacoFogging_HET 140976.xml,0
CatemacoFogging_HET 140976.xml,0
CatemacoFogging_HET 140976.xml,0
CatemacoFogging_HET 163345.xml,0
CatemacoFogging_HET 163345.xml,0
CatemacoFogging_HET 163345.xml,0.666666667
CatemacoFogging_HET 163345.xml,0
CatemacoFogging_HET 163345.xml,0.333333333
CatemacoFogging_HET 163345.xml,0.5
CatemacoFogging_HET 163345.xml,0.333333333
CatemacoFogging_HET 163345.xml,0
CatemacoFogging_HET 163345.xml,0.666666667
CatemacoFogging_HET 163345.xml,0
CatemacoFogging_HET 172776.xml,0.333333333
CatemacoFogging_HET 172776.xml,1
CatemacoFogging_HET 172776.xml,0.5
CatemacoFogging_HET 172776.xml,0.666666667
CatemacoFogging_HET 172776.xml,0.666666667
CatemacoFogging_HET 172776.xml,0.333333333
CatemacoFogging_HET 172776.xml,0.75
CatemacoFogging_HET 172776.xml,0
CatemacoFogging_HET 172776.xml,1.4
CatemacoFogging_HET 172776.xml,0
CatemacoFogging_HET 184867.xml,0.666666667
CatemacoFogging_HET 184867.xml,0
CatemacoFogging_HET 184867.xml,0.333333333
CatemacoFogging_HET 184867.xml,0
CatemacoFogging_HET 184867.xml,0.333333333
CatemacoFogging_HET 184867.xml,0.333333333
CatemacoFogging_HET 184867.xml,0
CatemacoFogging_HET 184867.xml,0
CatemacoFogging_HET 184867.xml,0
CatemacoFogging_HET 184867.xml,0.333333333
CatemacoFogging_HET 216042.xml,0
CatemacoFogging_HET 216042.xml,0
CatemacoFogging_HET 216042.xml,0.333333333
CatemacoFogging_HET 216042.xml,0.5
CatemacoFogging_HET 216042.xml,0.333333333
CatemacoFogging_HET 216042.xml,0.666666667
CatemacoFogging_HET 216042.xml,0.333333333
CatemacoFogging_HET 216042.xml,0
CatemacoFogging_HET 216042.xml,0.333333333
CatemacoFogging_HET 216042.xml,0.75
CatemacoFogging_HET 224242.xml,0
CatemacoFogging_HET 224242.xml,0
CatemacoFogging_HET 224242.xml,0
CatemacoFogging_HET 224242.xml,1.25
CatemacoFogging_HET 224242.xml,0
CatemacoFogging_HET 224242.xml,1
CatemacoFogging_HET 224242.xml,0
CatemacoFogging_HET 224242.xml,1.75
CatemacoFogging_HET 224242.xml,1
CatemacoFogging_HET 224242.xml,0.333333333
CatemacoFogging_HET 233373.xml,0.333333333
CatemacoFogging_HET 233373.xml,1
CatemacoFogging_HET 233373.xml,0.666666667
CatemacoFogging_HET 233373.xml,0.5
CatemacoFogging_HET 233373.xml,0
CatemacoFogging_HET 233373.xml,0.5
CatemacoFogging_HET 233373.xml,1.666666667
CatemacoFogging_HET 233373.xml,0
CatemacoFogging_HET 233373.xml,1
CatemacoFogging_HET 233373.xml,0
CatemacoFogging_HET 242122.xml,0
CatemacoFogging_HET 242122.xml,0.666666667
CatemacoFogging_HET 242122.xml,0.333333333
CatemacoFogging_HET 242122.xml,0.333333333
CatemacoFogging_HET 242122.xml,0.333333333
CatemacoFogging_HET 242122.xml,0
CatemacoFogging_HET 242122.xml,0.666666667
CatemacoFogging_HET 242122.xml,1
CatemacoFogging_HET 242122.xml,0.8
CatemacoFogging_HET 242122.xml,0
CatemacoFogging_HET 24959.xml,0
CatemacoFogging_HET 24959.xml,0.666666667
CatemacoFogging_HET 24959.xml,0
CatemacoFogging_HET 24959.xml,0.333333333
CatemacoFogging_HET 24959.xml,1.25
CatemacoFogging_HET 24959.xml,0.333333333
CatemacoFogging_HET 24959.xml,0.333333333
CatemacoFogging_HET 24959.xml,0.333333333
CatemacoFogging_HET 24959.xml,0.333333333
CatemacoFogging_HET 24959.xml,0
CatemacoFogging_HET 254917.xml,0.333333333
CatemacoFogging_HET 254917.xml,1
CatemacoFogging_HET 254917.xml,0.75
CatemacoFogging_HET 254917.xml,0
CatemacoFogging_HET 254917.xml,0
CatemacoFogging_HET 254917.xml,0.666666667
CatemacoFogging_HET 254917.xml,0
CatemacoFogging_HET 254917.xml,0.5
CatemacoFogging_HET 254917.xml,0
CatemacoFogging_HET 254917.xml,1
CatemacoFogging_HET 269343.xml,0
CatemacoFogging_HET 269343.xml,0.333333333
CatemacoFogging_HET 269343.xml,0.666666667
CatemacoFogging_HET 269343.xml,0
CatemacoFogging_HET 269343.xml,0.333333333
CatemacoFogging_HET 269343.xml,0
CatemacoFogging_HET 269343.xml,0.5
CatemacoFogging_HET 269343.xml,0.333333333
CatemacoFogging_HET 269343.xml,0.75
CatemacoFogging_HET 269343.xml,0.333333333
CatemacoFogging_HET 294653.xml,0.333333333
CatemacoFogging_HET 294653.xml,0.333333333
CatemacoFogging_HET 294653.xml,0.333333333
CatemacoFogging_HET 294653.xml,0
CatemacoFogging_HET 294653.xml,0
CatemacoFogging_HET 294653.xml,0.75
CatemacoFogging_HET 294653.xml,0
CatemacoFogging_HET 294653.xml,0.333333333
CatemacoFogging_HET 294653.xml,0
CatemacoFogging_HET 294653.xml,0
CatemacoFogging_HET 304980.xml,0
CatemacoFogging_HET 304980.xml,0
CatemacoFogging_HET 304980.xml,1.2
CatemacoFogging_HET 304980.xml,0.666666667
CatemacoFogging_HET 304980.xml,0.75
CatemacoFogging_HET 304980.xml,0.666666667
CatemacoFogging_HET 304980.xml,0.333333333
CatemacoFogging_HET 304980.xml,0
CatemacoFogging_HET 304980.xml,0.333333333
CatemacoFogging_HET 304980.xml,0
CatemacoFogging_HET 309737.xml,0.333333333
CatemacoFogging_HET 309737.xml,0.5
CatemacoFogging_HET 309737.xml,1.333333333
CatemacoFogging_HET 309737.xml,0
CatemacoFogging_HET 309737.xml,0
CatemacoFogging_HET 309737.xml,0.75
CatemacoFogging_HET 309737.xml,0
CatemacoFogging_HET 309737.xml,1
CatemacoFogging_HET 309737.xml,0.666666667
CatemacoFogging_HET 309737.xml,0.333333333
CatemacoFogging_HET 318261.xml,0.666666667
CatemacoFogging_HET 318261.xml,0
CatemacoFogging_HET 318261.xml,0
CatemacoFogging_HET 318261.xml,1.333333333
