originalFile,r0
CatemacoFogging_HOM 103308.xml,0.333333333
CatemacoFogging_HOM 103308.xml,0.333333333
CatemacoFogging_HOM 103308.xml,0.666666667
CatemacoFogging_HOM 103308.xml,0.666666667
CatemacoFogging_HOM 103308.xml,1
CatemacoFogging_HOM 103308.xml,0.333333333
CatemacoFogging_HOM 103308.xml,0
CatemacoFogging_HOM 103308.xml,0.666666667
CatemacoFogging_HOM 103308.xml,0.666666667
CatemacoFogging_HOM 103308.xml,0.333333333
CatemacoFogging_HOM 119742.xml,1
CatemacoFogging_HOM 119742.xml,0.666666667
CatemacoFogging_HOM 119742.xml,0
CatemacoFogging_HOM 119742.xml,0.75
CatemacoFogging_HOM 119742.xml,1
CatemacoFogging_HOM 119742.xml,0.666666667
CatemacoFogging_HOM 119742.xml,0
CatemacoFogging_HOM 119742.xml,1
CatemacoFogging_HOM 119742.xml,0
CatemacoFogging_HOM 119742.xml,1
CatemacoFogging_HOM 151478.xml,1
CatemacoFogging_HOM 151478.xml,0.75
CatemacoFogging_HOM 151478.xml,0
CatemacoFogging_HOM 151478.xml,0.75
CatemacoFogging_HOM 151478.xml,0.333333333
CatemacoFogging_HOM 151478.xml,0
CatemacoFogging_HOM 151478.xml,0.666666667
CatemacoFogging_HOM 151478.xml,0.333333333
CatemacoFogging_HOM 151478.xml,0.5
CatemacoFogging_HOM 151478.xml,0
CatemacoFogging_HOM 207147.xml,0
CatemacoFogging_HOM 207147.xml,0
CatemacoFogging_HOM 207147.xml,0
CatemacoFogging_HOM 207147.xml,0.833333333
CatemacoFogging_HOM 207147.xml,0
CatemacoFogging_HOM 207147.xml,0.6
CatemacoFogging_HOM 207147.xml,0.333333333
CatemacoFogging_HOM 207147.xml,1
CatemacoFogging_HOM 207147.xml,0
CatemacoFogging_HOM 207147.xml,0.666666667
CatemacoFogging_HOM 224987.xml,0.333333333
CatemacoFogging_HOM 224987.xml,0
CatemacoFogging_HOM 224987.xml,1
CatemacoFogging_HOM 224987.xml,0.333333333
CatemacoFogging_HOM 224987.xml,0.333333333
CatemacoFogging_HOM 224987.xml,1.333333333
CatemacoFogging_HOM 224987.xml,1.375
CatemacoFogging_HOM 224987.xml,1
CatemacoFogging_HOM 224987.xml,0.333333333
CatemacoFogging_HOM 224987.xml,0.333333333
CatemacoFogging_HOM 23567.xml,0
CatemacoFogging_HOM 23567.xml,1.5
CatemacoFogging_HOM 23567.xml,0
CatemacoFogging_HOM 23567.xml,0.333333333
CatemacoFogging_HOM 23567.xml,0.6
CatemacoFogging_HOM 23567.xml,0.333333333
CatemacoFogging_HOM 23567.xml,0.5
CatemacoFogging_HOM 23567.xml,0.333333333
CatemacoFogging_HOM 23567.xml,1
CatemacoFogging_HOM 23567.xml,1
CatemacoFogging_HOM 236527.xml,1.4
CatemacoFogging_HOM 236527.xml,0.8
CatemacoFogging_HOM 236527.xml,0
CatemacoFogging_HOM 236527.xml,0.333333333
CatemacoFogging_HOM 236527.xml,1.2
CatemacoFogging_HOM 236527.xml,0
CatemacoFogging_HOM 236527.xml,0
CatemacoFogging_HOM 236527.xml,0.333333333
CatemacoFogging_HOM 236527.xml,0.333333333
CatemacoFogging_HOM 236527.xml,1
CatemacoFogging_HOM 250669.xml,1.5
CatemacoFogging_HOM 250669.xml,0.333333333
CatemacoFogging_HOM 250669.xml,0
CatemacoFogging_HOM 250669.xml,0.75
CatemacoFogging_HOM 250669.xml,0.5
CatemacoFogging_HOM 250669.xml,0.333333333
CatemacoFogging_HOM 250669.xml,1
CatemacoFogging_HOM 250669.xml,1
CatemacoFogging_HOM 250669.xml,0
CatemacoFogging_HOM 250669.xml,0.666666667
CatemacoFogging_HOM 250762.xml,0.666666667
CatemacoFogging_HOM 250762.xml,0.333333333
CatemacoFogging_HOM 250762.xml,0.333333333
CatemacoFogging_HOM 250762.xml,0.333333333
CatemacoFogging_HOM 250762.xml,0.333333333
CatemacoFogging_HOM 250762.xml,0.5
CatemacoFogging_HOM 250762.xml,0.666666667
CatemacoFogging_HOM 250762.xml,1.333333333
CatemacoFogging_HOM 250762.xml,0.333333333
CatemacoFogging_HOM 250762.xml,0
CatemacoFogging_HOM 254303.xml,0.333333333
CatemacoFogging_HOM 254303.xml,0.333333333
CatemacoFogging_HOM 254303.xml,1.25
CatemacoFogging_HOM 254303.xml,0.75
CatemacoFogging_HOM 254303.xml,1
CatemacoFogging_HOM 254303.xml,0
CatemacoFogging_HOM 254303.xml,1.2
CatemacoFogging_HOM 254303.xml,1.166666667
CatemacoFogging_HOM 254303.xml,0.666666667
CatemacoFogging_HOM 254303.xml,1
CatemacoFogging_HOM 26455.xml,1.25
CatemacoFogging_HOM 26455.xml,0
CatemacoFogging_HOM 26455.xml,1
CatemacoFogging_HOM 26455.xml,0.75
CatemacoFogging_HOM 26455.xml,0.666666667
CatemacoFogging_HOM 26455.xml,0.333333333
CatemacoFogging_HOM 26455.xml,1.666666667
CatemacoFogging_HOM 26455.xml,0.666666667
CatemacoFogging_HOM 26455.xml,0.5
CatemacoFogging_HOM 26455.xml,1
CatemacoFogging_HOM 285970.xml,0
CatemacoFogging_HOM 285970.xml,0.333333333
CatemacoFogging_HOM 285970.xml,0.75
CatemacoFogging_HOM 285970.xml,1.166666667
CatemacoFogging_HOM 285970.xml,0.666666667
CatemacoFogging_HOM 285970.xml,1
CatemacoFogging_HOM 285970.xml,1.166666667
CatemacoFogging_HOM 285970.xml,0
CatemacoFogging_HOM 285970.xml,0.666666667
CatemacoFogging_HOM 285970.xml,0.333333333
CatemacoFogging_HOM 321304.xml,0.666666667
CatemacoFogging_HOM 321304.xml,1
CatemacoFogging_HOM 321304.xml,1.6
CatemacoFogging_HOM 321304.xml,1
CatemacoFogging_HOM 321304.xml,0.333333333
CatemacoFogging_HOM 321304.xml,0.333333333
CatemacoFogging_HOM 321304.xml,0
CatemacoFogging_HOM 321304.xml,0.8
CatemacoFogging_HOM 321304.xml,0.333333333
CatemacoFogging_HOM 321304.xml,0.833333333
CatemacoFogging_HOM 324144.xml,0.666666667
CatemacoFogging_HOM 324144.xml,0.666666667
CatemacoFogging_HOM 324144.xml,1
CatemacoFogging_HOM 324144.xml,0.333333333
CatemacoFogging_HOM 324144.xml,0.5
CatemacoFogging_HOM 324144.xml,0.75
CatemacoFogging_HOM 324144.xml,0
CatemacoFogging_HOM 324144.xml,0
CatemacoFogging_HOM 324144.xml,1
CatemacoFogging_HOM 324144.xml,0.333333333
CatemacoFogging_HOM 340049.xml,0.833333333
CatemacoFogging_HOM 340049.xml,0
CatemacoFogging_HOM 340049.xml,0.75
CatemacoFogging_HOM 340049.xml,0
CatemacoFogging_HOM 340049.xml,1
CatemacoFogging_HOM 340049.xml,0.75
CatemacoFogging_HOM 340049.xml,0
CatemacoFogging_HOM 340049.xml,0.666666667
CatemacoFogging_HOM 340049.xml,0.666666667
CatemacoFogging_HOM 340049.xml,0.666666667
CatemacoFogging_HOM 341695.xml,0.333333333
CatemacoFogging_HOM 341695.xml,0
CatemacoFogging_HOM 341695.xml,0
CatemacoFogging_HOM 341695.xml,0.8
CatemacoFogging_HOM 341695.xml,0.5
CatemacoFogging_HOM 341695.xml,0.333333333
CatemacoFogging_HOM 341695.xml,1.2
CatemacoFogging_HOM 341695.xml,0
CatemacoFogging_HOM 341695.xml,0.5
CatemacoFogging_HOM 341695.xml,1
CatemacoFogging_HOM 358385.xml,1
CatemacoFogging_HOM 358385.xml,0.333333333
CatemacoFogging_HOM 358385.xml,0.75
CatemacoFogging_HOM 358385.xml,1.111111111
CatemacoFogging_HOM 358385.xml,0.333333333
CatemacoFogging_HOM 358385.xml,0.6
CatemacoFogging_HOM 358385.xml,1
CatemacoFogging_HOM 358385.xml,0.5
CatemacoFogging_HOM 358385.xml,0.5
CatemacoFogging_HOM 358385.xml,0.333333333
CatemacoFogging_HOM 373743.xml,1.25
CatemacoFogging_HOM 373743.xml,1.75
CatemacoFogging_HOM 373743.xml,1
CatemacoFogging_HOM 373743.xml,0.333333333
CatemacoFogging_HOM 373743.xml,0
CatemacoFogging_HOM 373743.xml,1.666666667
CatemacoFogging_HOM 373743.xml,1
CatemacoFogging_HOM 373743.xml,0.333333333
CatemacoFogging_HOM 373743.xml,1.25
CatemacoFogging_HOM 373743.xml,0.8
CatemacoFogging_HOM 387814.xml,0.5
CatemacoFogging_HOM 387814.xml,0
CatemacoFogging_HOM 387814.xml,2.25
CatemacoFogging_HOM 387814.xml,0.5
CatemacoFogging_HOM 387814.xml,1.333333333
CatemacoFogging_HOM 387814.xml,1.2
CatemacoFogging_HOM 387814.xml,0.666666667
CatemacoFogging_HOM 387814.xml,0
CatemacoFogging_HOM 387814.xml,0.666666667
CatemacoFogging_HOM 387814.xml,0.333333333
CatemacoFogging_HOM 397769.xml,0.666666667
CatemacoFogging_HOM 397769.xml,0
CatemacoFogging_HOM 397769.xml,0.333333333
CatemacoFogging_HOM 397769.xml,0.666666667
CatemacoFogging_HOM 397769.xml,0
CatemacoFogging_HOM 397769.xml,0
CatemacoFogging_HOM 397769.xml,0.75
CatemacoFogging_HOM 397769.xml,0
CatemacoFogging_HOM 397769.xml,0.666666667
CatemacoFogging_HOM 397769.xml,0
CatemacoFogging_HOM 403895.xml,0.666666667
CatemacoFogging_HOM 403895.xml,1
CatemacoFogging_HOM 403895.xml,0.333333333
CatemacoFogging_HOM 403895.xml,0.5
CatemacoFogging_HOM 403895.xml,0.666666667
CatemacoFogging_HOM 403895.xml,0.6
CatemacoFogging_HOM 403895.xml,0.333333333
CatemacoFogging_HOM 403895.xml,1.333333333
CatemacoFogging_HOM 403895.xml,0
CatemacoFogging_HOM 403895.xml,0.75
CatemacoFogging_HOM 413242.xml,0
CatemacoFogging_HOM 413242.xml,0.333333333
CatemacoFogging_HOM 413242.xml,0
CatemacoFogging_HOM 413242.xml,0
CatemacoFogging_HOM 413242.xml,0.333333333
CatemacoFogging_HOM 413242.xml,1.571428571
CatemacoFogging_HOM 413242.xml,0.333333333
CatemacoFogging_HOM 413242.xml,1
CatemacoFogging_HOM 413242.xml,0
CatemacoFogging_HOM 413242.xml,0.666666667
CatemacoFogging_HOM 42983.xml,0.75
CatemacoFogging_HOM 42983.xml,0.75
CatemacoFogging_HOM 42983.xml,1.25
CatemacoFogging_HOM 42983.xml,0.666666667
CatemacoFogging_HOM 42983.xml,0.833333333
CatemacoFogging_HOM 42983.xml,0
CatemacoFogging_HOM 42983.xml,0.75
CatemacoFogging_HOM 42983.xml,1
CatemacoFogging_HOM 42983.xml,0.333333333
CatemacoFogging_HOM 42983.xml,0.333333333
CatemacoFogging_HOM 440900.xml,1
CatemacoFogging_HOM 440900.xml,0
CatemacoFogging_HOM 440900.xml,0.333333333
CatemacoFogging_HOM 440900.xml,0.75
CatemacoFogging_HOM 440900.xml,0.75
CatemacoFogging_HOM 440900.xml,1.166666667
CatemacoFogging_HOM 440900.xml,0
CatemacoFogging_HOM 440900.xml,0.75
CatemacoFogging_HOM 440900.xml,0.75
CatemacoFogging_HOM 440900.xml,0
CatemacoFogging_HOM 443291.xml,0
CatemacoFogging_HOM 443291.xml,0.333333333
CatemacoFogging_HOM 443291.xml,1.25
CatemacoFogging_HOM 443291.xml,0
CatemacoFogging_HOM 443291.xml,1
CatemacoFogging_HOM 443291.xml,1.333333333
CatemacoFogging_HOM 443291.xml,1.4
CatemacoFogging_HOM 443291.xml,1.428571429
CatemacoFogging_HOM 443291.xml,1.6
CatemacoFogging_HOM 443291.xml,0.333333333
CatemacoFogging_HOM 472291.xml,1.2
CatemacoFogging_HOM 472291.xml,0
CatemacoFogging_HOM 472291.xml,0
CatemacoFogging_HOM 472291.xml,0.333333333
CatemacoFogging_HOM 472291.xml,0.333333333
CatemacoFogging_HOM 472291.xml,0
CatemacoFogging_HOM 472291.xml,0.666666667
CatemacoFogging_HOM 472291.xml,0.333333333
CatemacoFogging_HOM 472291.xml,0.333333333
