originalFile,r0
CatemacoOxitec_HET 123836.xml,1.833333333
CatemacoOxitec_HET 123836.xml,2
CatemacoOxitec_HET 123836.xml,1.2
CatemacoOxitec_HET 123836.xml,0
CatemacoOxitec_HET 123836.xml,1.166666667
CatemacoOxitec_HET 123836.xml,0.666666667
CatemacoOxitec_HET 123836.xml,0.857142857
CatemacoOxitec_HET 123836.xml,1.333333333
CatemacoOxitec_HET 123836.xml,0
CatemacoOxitec_HET 123836.xml,1
CatemacoOxitec_HET 135052.xml,0
CatemacoOxitec_HET 135052.xml,1
CatemacoOxitec_HET 135052.xml,0.666666667
CatemacoOxitec_HET 135052.xml,1
CatemacoOxitec_HET 135052.xml,0.75
CatemacoOxitec_HET 135052.xml,1.75
CatemacoOxitec_HET 135052.xml,1.166666667
CatemacoOxitec_HET 135052.xml,0
CatemacoOxitec_HET 135052.xml,0
CatemacoOxitec_HET 135052.xml,0.333333333
CatemacoOxitec_HET 142106.xml,1.5
CatemacoOxitec_HET 142106.xml,0.333333333
CatemacoOxitec_HET 142106.xml,0.333333333
CatemacoOxitec_HET 142106.xml,0.333333333
CatemacoOxitec_HET 142106.xml,1.75
CatemacoOxitec_HET 142106.xml,1
CatemacoOxitec_HET 142106.xml,0
CatemacoOxitec_HET 142106.xml,0.333333333
CatemacoOxitec_HET 142106.xml,0
CatemacoOxitec_HET 142106.xml,0.333333333
CatemacoOxitec_HET 153354.xml,1
CatemacoOxitec_HET 153354.xml,1.333333333
CatemacoOxitec_HET 153354.xml,0
CatemacoOxitec_HET 153354.xml,0
CatemacoOxitec_HET 153354.xml,1.4
CatemacoOxitec_HET 153354.xml,0.5
CatemacoOxitec_HET 153354.xml,0
CatemacoOxitec_HET 153354.xml,0.8
CatemacoOxitec_HET 153354.xml,0.5
CatemacoOxitec_HET 153354.xml,1.142857143
CatemacoOxitec_HET 155992.xml,0.75
CatemacoOxitec_HET 155992.xml,1.25
CatemacoOxitec_HET 155992.xml,0.6
CatemacoOxitec_HET 155992.xml,0.666666667
CatemacoOxitec_HET 155992.xml,1.6
CatemacoOxitec_HET 155992.xml,1.25
CatemacoOxitec_HET 155992.xml,0.333333333
CatemacoOxitec_HET 155992.xml,0
CatemacoOxitec_HET 155992.xml,1.571428571
CatemacoOxitec_HET 155992.xml,0.75
CatemacoOxitec_HET 156426.xml,0
CatemacoOxitec_HET 156426.xml,0
CatemacoOxitec_HET 156426.xml,0.666666667
CatemacoOxitec_HET 156426.xml,0.75
CatemacoOxitec_HET 156426.xml,1.6
CatemacoOxitec_HET 156426.xml,0.333333333
CatemacoOxitec_HET 156426.xml,0.666666667
CatemacoOxitec_HET 156426.xml,1.333333333
CatemacoOxitec_HET 156426.xml,0.333333333
CatemacoOxitec_HET 156426.xml,1.4
CatemacoOxitec_HET 157557.xml,0.333333333
CatemacoOxitec_HET 157557.xml,0.333333333
CatemacoOxitec_HET 157557.xml,0
CatemacoOxitec_HET 157557.xml,1.4
CatemacoOxitec_HET 157557.xml,1
CatemacoOxitec_HET 157557.xml,1.25
CatemacoOxitec_HET 157557.xml,1
CatemacoOxitec_HET 157557.xml,1.8
