originalFile,r0
CatemacoOxitec_HOM 100260.xml,2.25
CatemacoOxitec_HOM 100260.xml,0.5
CatemacoOxitec_HOM 100260.xml,1.125
CatemacoOxitec_HOM 100260.xml,0.75
CatemacoOxitec_HOM 100260.xml,0.333333333
CatemacoOxitec_HOM 100260.xml,1.333333333
CatemacoOxitec_HOM 100260.xml,1.5
CatemacoOxitec_HOM 100260.xml,1.8
CatemacoOxitec_HOM 100260.xml,1.125
CatemacoOxitec_HOM 100260.xml,0.8
CatemacoOxitec_HOM 104667.xml,1.5
CatemacoOxitec_HOM 104667.xml,0
CatemacoOxitec_HOM 104667.xml,1.8
CatemacoOxitec_HOM 104667.xml,1.555555556
CatemacoOxitec_HOM 104667.xml,1.714285714
CatemacoOxitec_HOM 104667.xml,0
CatemacoOxitec_HOM 104667.xml,1.857142857
CatemacoOxitec_HOM 104667.xml,1.428571429
CatemacoOxitec_HOM 104667.xml,0.666666667
CatemacoOxitec_HOM 104667.xml,2.4
CatemacoOxitec_HOM 109909.xml,1
CatemacoOxitec_HOM 109909.xml,1.428571429
CatemacoOxitec_HOM 109909.xml,0.75
CatemacoOxitec_HOM 109909.xml,0
CatemacoOxitec_HOM 109909.xml,1.75
CatemacoOxitec_HOM 109909.xml,1.333333333
CatemacoOxitec_HOM 109909.xml,2.5
CatemacoOxitec_HOM 109909.xml,0.333333333
CatemacoOxitec_HOM 109909.xml,1.6
CatemacoOxitec_HOM 109909.xml,0.75
CatemacoOxitec_HOM 110996.xml,1.75
CatemacoOxitec_HOM 110996.xml,2.333333333
CatemacoOxitec_HOM 110996.xml,1
CatemacoOxitec_HOM 110996.xml,2
CatemacoOxitec_HOM 110996.xml,0.333333333
CatemacoOxitec_HOM 110996.xml,1.4
CatemacoOxitec_HOM 110996.xml,0.666666667
CatemacoOxitec_HOM 110996.xml,1.416666667
CatemacoOxitec_HOM 110996.xml,1.5
CatemacoOxitec_HOM 110996.xml,0.333333333
CatemacoOxitec_HOM 116254.xml,1
CatemacoOxitec_HOM 116254.xml,2
CatemacoOxitec_HOM 116254.xml,0
CatemacoOxitec_HOM 116254.xml,1.666666667
CatemacoOxitec_HOM 116254.xml,0.333333333
CatemacoOxitec_HOM 116254.xml,1.222222222
CatemacoOxitec_HOM 116254.xml,2
CatemacoOxitec_HOM 116254.xml,0
CatemacoOxitec_HOM 116254.xml,0.8
CatemacoOxitec_HOM 116254.xml,0.75
CatemacoOxitec_HOM 130318.xml,1
CatemacoOxitec_HOM 130318.xml,1
CatemacoOxitec_HOM 130318.xml,1.333333333
CatemacoOxitec_HOM 130318.xml,1
CatemacoOxitec_HOM 130318.xml,1.571428571
CatemacoOxitec_HOM 130318.xml,1.4
CatemacoOxitec_HOM 130318.xml,0.666666667
CatemacoOxitec_HOM 130318.xml,1.5
CatemacoOxitec_HOM 130318.xml,0.333333333
CatemacoOxitec_HOM 130318.xml,0.666666667
CatemacoOxitec_HOM 141662.xml,1
CatemacoOxitec_HOM 141662.xml,1.833333333
CatemacoOxitec_HOM 141662.xml,2.2
CatemacoOxitec_HOM 141662.xml,1.285714286
CatemacoOxitec_HOM 141662.xml,1.4
CatemacoOxitec_HOM 141662.xml,1.75
CatemacoOxitec_HOM 141662.xml,0.5
CatemacoOxitec_HOM 141662.xml,1.875
CatemacoOxitec_HOM 141662.xml,1.6
CatemacoOxitec_HOM 141662.xml,1.833333333
CatemacoOxitec_HOM 147480.xml,0.333333333
CatemacoOxitec_HOM 147480.xml,1.166666667
CatemacoOxitec_HOM 147480.xml,1.375
CatemacoOxitec_HOM 147480.xml,0.666666667
