originalFile,r0
CatemacoWolbachia_HET 108803.xml,0
CatemacoWolbachia_HET 108803.xml,0
CatemacoWolbachia_HET 108803.xml,0
CatemacoWolbachia_HET 108803.xml,0.333333333
CatemacoWolbachia_HET 108803.xml,2
CatemacoWolbachia_HET 108803.xml,1.333333333
CatemacoWolbachia_HET 108803.xml,0.333333333
CatemacoWolbachia_HET 108803.xml,0
CatemacoWolbachia_HET 108803.xml,1.833333333
CatemacoWolbachia_HET 108803.xml,0.333333333
CatemacoWolbachia_HET 122509.xml,0.5
CatemacoWolbachia_HET 122509.xml,1
CatemacoWolbachia_HET 122509.xml,0.75
CatemacoWolbachia_HET 122509.xml,1
CatemacoWolbachia_HET 122509.xml,1
CatemacoWolbachia_HET 122509.xml,0.666666667
CatemacoWolbachia_HET 122509.xml,1
CatemacoWolbachia_HET 122509.xml,1.4
CatemacoWolbachia_HET 122509.xml,0.666666667
CatemacoWolbachia_HET 122509.xml,0.75
CatemacoWolbachia_HET 1238.xml,1
CatemacoWolbachia_HET 1238.xml,0.5
CatemacoWolbachia_HET 1238.xml,0.333333333
CatemacoWolbachia_HET 1238.xml,0.333333333
CatemacoWolbachia_HET 1238.xml,0.333333333
CatemacoWolbachia_HET 1238.xml,1.25
CatemacoWolbachia_HET 1238.xml,0.666666667
CatemacoWolbachia_HET 1238.xml,0.333333333
CatemacoWolbachia_HET 1238.xml,0.666666667
CatemacoWolbachia_HET 1238.xml,0.857142857
CatemacoWolbachia_HET 161893.xml,1.25
CatemacoWolbachia_HET 161893.xml,1
CatemacoWolbachia_HET 161893.xml,1.4
CatemacoWolbachia_HET 161893.xml,1
CatemacoWolbachia_HET 161893.xml,1.625
CatemacoWolbachia_HET 161893.xml,0.666666667
CatemacoWolbachia_HET 161893.xml,1.2
CatemacoWolbachia_HET 161893.xml,0.75
CatemacoWolbachia_HET 161893.xml,1.4
CatemacoWolbachia_HET 161893.xml,1
CatemacoWolbachia_HET 171786.xml,0.666666667
CatemacoWolbachia_HET 171786.xml,1.333333333
CatemacoWolbachia_HET 171786.xml,1
CatemacoWolbachia_HET 171786.xml,0.333333333
CatemacoWolbachia_HET 171786.xml,2.333333333
CatemacoWolbachia_HET 171786.xml,0.333333333
CatemacoWolbachia_HET 171786.xml,1.166666667
CatemacoWolbachia_HET 171786.xml,1
CatemacoWolbachia_HET 171786.xml,1.333333333
CatemacoWolbachia_HET 171786.xml,1
CatemacoWolbachia_HET 198194.xml,0.333333333
CatemacoWolbachia_HET 198194.xml,0.666666667
CatemacoWolbachia_HET 198194.xml,0.333333333
CatemacoWolbachia_HET 198194.xml,0
