originalFile,r0
CatemacoWolbachia_HOM 112377.xml,0
CatemacoWolbachia_HOM 112377.xml,0
CatemacoWolbachia_HOM 112377.xml,1.5
CatemacoWolbachia_HOM 112377.xml,1
CatemacoWolbachia_HOM 112377.xml,0
CatemacoWolbachia_HOM 112377.xml,0
CatemacoWolbachia_HOM 112377.xml,1.5
CatemacoWolbachia_HOM 112377.xml,1.25
CatemacoWolbachia_HOM 112377.xml,1.666666667
CatemacoWolbachia_HOM 112377.xml,1
CatemacoWolbachia_HOM 137786.xml,0.666666667
CatemacoWolbachia_HOM 137786.xml,1
CatemacoWolbachia_HOM 137786.xml,1.75
CatemacoWolbachia_HOM 137786.xml,1.428571429
CatemacoWolbachia_HOM 137786.xml,0.333333333
CatemacoWolbachia_HOM 137786.xml,0
CatemacoWolbachia_HOM 137786.xml,0
CatemacoWolbachia_HOM 137786.xml,0.8
CatemacoWolbachia_HOM 137786.xml,0.75
CatemacoWolbachia_HOM 137786.xml,1.333333333
CatemacoWolbachia_HOM 146650.xml,0.833333333
CatemacoWolbachia_HOM 146650.xml,1
CatemacoWolbachia_HOM 146650.xml,1.625
CatemacoWolbachia_HOM 146650.xml,1
CatemacoWolbachia_HOM 146650.xml,0
CatemacoWolbachia_HOM 146650.xml,1.333333333
CatemacoWolbachia_HOM 146650.xml,0.333333333
CatemacoWolbachia_HOM 146650.xml,0
CatemacoWolbachia_HOM 146650.xml,0.5
CatemacoWolbachia_HOM 146650.xml,1
CatemacoWolbachia_HOM 248244.xml,1.333333333
CatemacoWolbachia_HOM 248244.xml,1.5
CatemacoWolbachia_HOM 248244.xml,0
CatemacoWolbachia_HOM 248244.xml,1.285714286
CatemacoWolbachia_HOM 248244.xml,1.625
CatemacoWolbachia_HOM 248244.xml,1.222222222
CatemacoWolbachia_HOM 248244.xml,1
CatemacoWolbachia_HOM 248244.xml,0
CatemacoWolbachia_HOM 248244.xml,0.5
CatemacoWolbachia_HOM 248244.xml,1
CatemacoWolbachia_HOM 286664.xml,0.666666667
CatemacoWolbachia_HOM 286664.xml,0
CatemacoWolbachia_HOM 286664.xml,1.333333333
CatemacoWolbachia_HOM 286664.xml,1.285714286
CatemacoWolbachia_HOM 286664.xml,0.75
CatemacoWolbachia_HOM 286664.xml,2
CatemacoWolbachia_HOM 286664.xml,0.5
CatemacoWolbachia_HOM 286664.xml,1.4
CatemacoWolbachia_HOM 286664.xml,1.5
CatemacoWolbachia_HOM 286664.xml,1.2
CatemacoWolbachia_HOM 295974.xml,1.142857143
CatemacoWolbachia_HOM 295974.xml,1.5
CatemacoWolbachia_HOM 295974.xml,1.8
CatemacoWolbachia_HOM 295974.xml,1.428571429
CatemacoWolbachia_HOM 295974.xml,1.2
CatemacoWolbachia_HOM 295974.xml,1.375
CatemacoWolbachia_HOM 295974.xml,0.75
CatemacoWolbachia_HOM 295974.xml,1
CatemacoWolbachia_HOM 295974.xml,2.142857143
CatemacoWolbachia_HOM 295974.xml,1.166666667
CatemacoWolbachia_HOM 304111.xml,1.714285714
CatemacoWolbachia_HOM 304111.xml,1.571428571
CatemacoWolbachia_HOM 304111.xml,1.25
CatemacoWolbachia_HOM 304111.xml,1.75
CatemacoWolbachia_HOM 304111.xml,1.333333333
CatemacoWolbachia_HOM 304111.xml,0.666666667
CatemacoWolbachia_HOM 304111.xml,1.6
CatemacoWolbachia_HOM 304111.xml,1.428571429
CatemacoWolbachia_HOM 304111.xml,1.666666667
CatemacoWolbachia_HOM 304111.xml,1.916666667
CatemacoWolbachia_HOM 316256.xml,1.285714286
CatemacoWolbachia_HOM 316256.xml,1
CatemacoWolbachia_HOM 316256.xml,1.4
CatemacoWolbachia_HOM 316256.xml,0
CatemacoWolbachia_HOM 316256.xml,0
CatemacoWolbachia_HOM 316256.xml,1.285714286
CatemacoWolbachia_HOM 316256.xml,2.166666667
CatemacoWolbachia_HOM 316256.xml,0
CatemacoWolbachia_HOM 316256.xml,1.5
CatemacoWolbachia_HOM 316256.xml,1
CatemacoWolbachia_HOM 320472.xml,0.666666667
CatemacoWolbachia_HOM 320472.xml,1.8
CatemacoWolbachia_HOM 320472.xml,1.5
CatemacoWolbachia_HOM 320472.xml,0
CatemacoWolbachia_HOM 320472.xml,1.428571429
CatemacoWolbachia_HOM 320472.xml,0.666666667
CatemacoWolbachia_HOM 320472.xml,2.25
CatemacoWolbachia_HOM 320472.xml,0.666666667
CatemacoWolbachia_HOM 320472.xml,1.5
CatemacoWolbachia_HOM 320472.xml,0
CatemacoWolbachia_HOM 335651.xml,1.666666667
CatemacoWolbachia_HOM 335651.xml,1.666666667
CatemacoWolbachia_HOM 335651.xml,1
CatemacoWolbachia_HOM 335651.xml,1.6
CatemacoWolbachia_HOM 335651.xml,1.25
CatemacoWolbachia_HOM 335651.xml,0
CatemacoWolbachia_HOM 335651.xml,0.666666667
CatemacoWolbachia_HOM 335651.xml,0
CatemacoWolbachia_HOM 335651.xml,2
CatemacoWolbachia_HOM 335651.xml,0.75
CatemacoWolbachia_HOM 365812.xml,1.5
CatemacoWolbachia_HOM 365812.xml,1.4
CatemacoWolbachia_HOM 365812.xml,1.285714286
CatemacoWolbachia_HOM 365812.xml,1.666666667
CatemacoWolbachia_HOM 365812.xml,1
CatemacoWolbachia_HOM 365812.xml,0.333333333
CatemacoWolbachia_HOM 365812.xml,0.666666667
CatemacoWolbachia_HOM 365812.xml,1.5
CatemacoWolbachia_HOM 365812.xml,1.6
CatemacoWolbachia_HOM 365812.xml,2.222222222
CatemacoWolbachia_HOM 368663.xml,1.571428571
CatemacoWolbachia_HOM 368663.xml,1.5
CatemacoWolbachia_HOM 368663.xml,1.571428571
CatemacoWolbachia_HOM 368663.xml,1.25
CatemacoWolbachia_HOM 368663.xml,1.375
CatemacoWolbachia_HOM 368663.xml,1.25
CatemacoWolbachia_HOM 368663.xml,1
CatemacoWolbachia_HOM 368663.xml,0
CatemacoWolbachia_HOM 368663.xml,1.857142857
CatemacoWolbachia_HOM 368663.xml,0
CatemacoWolbachia_HOM 391797.xml,1.2
CatemacoWolbachia_HOM 391797.xml,1.166666667
CatemacoWolbachia_HOM 391797.xml,1.75
CatemacoWolbachia_HOM 391797.xml,1.625
CatemacoWolbachia_HOM 391797.xml,0.666666667
CatemacoWolbachia_HOM 391797.xml,2
CatemacoWolbachia_HOM 391797.xml,1.333333333
CatemacoWolbachia_HOM 391797.xml,2
CatemacoWolbachia_HOM 391797.xml,0.333333333
CatemacoWolbachia_HOM 391797.xml,0.333333333
CatemacoWolbachia_HOM 392542.xml,2.142857143
CatemacoWolbachia_HOM 392542.xml,1
CatemacoWolbachia_HOM 392542.xml,1.25
CatemacoWolbachia_HOM 392542.xml,1.444444444
CatemacoWolbachia_HOM 392542.xml,0.75
CatemacoWolbachia_HOM 392542.xml,1.6
CatemacoWolbachia_HOM 392542.xml,2
CatemacoWolbachia_HOM 392542.xml,0.75
CatemacoWolbachia_HOM 392542.xml,1.333333333
CatemacoWolbachia_HOM 392542.xml,1.636363636
CatemacoWolbachia_HOM 403054.xml,2
CatemacoWolbachia_HOM 403054.xml,0.333333333
CatemacoWolbachia_HOM 403054.xml,1.75
CatemacoWolbachia_HOM 403054.xml,0.8
CatemacoWolbachia_HOM 403054.xml,2
CatemacoWolbachia_HOM 403054.xml,1.428571429
CatemacoWolbachia_HOM 403054.xml,0.333333333
CatemacoWolbachia_HOM 403054.xml,1.875
CatemacoWolbachia_HOM 403054.xml,1.8
CatemacoWolbachia_HOM 403054.xml,0.5
CatemacoWolbachia_HOM 406733.xml,1
CatemacoWolbachia_HOM 406733.xml,1.4
CatemacoWolbachia_HOM 406733.xml,1.428571429
CatemacoWolbachia_HOM 406733.xml,0
CatemacoWolbachia_HOM 406733.xml,1.625
CatemacoWolbachia_HOM 406733.xml,1.666666667
CatemacoWolbachia_HOM 406733.xml,1
CatemacoWolbachia_HOM 406733.xml,0.8
CatemacoWolbachia_HOM 406733.xml,2.125
CatemacoWolbachia_HOM 406733.xml,1.666666667
CatemacoWolbachia_HOM 420200.xml,1
CatemacoWolbachia_HOM 420200.xml,1.5
CatemacoWolbachia_HOM 420200.xml,2
CatemacoWolbachia_HOM 420200.xml,0.333333333
CatemacoWolbachia_HOM 420200.xml,1.625
CatemacoWolbachia_HOM 420200.xml,1.2
CatemacoWolbachia_HOM 420200.xml,1.285714286
