coordinates,date,precipType,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity,pressure
-12.9711;-38.5108,2015-01-10,rain,NA,NA,NA,28.89,25,0.71,NA
-12.9711;-38.5108,2015-01-11,rain,NA,NA,NA,28.89,25,0.73,NA
-12.9711;-38.5108,2015-01-12,rain,NA,NA,NA,30,26.11,0.71,NA
-12.9711;-38.5108,2015-01-13,rain,NA,NA,NA,28.89,22.78,0.68,NA
-12.9711;-38.5108,2015-01-14,rain,NA,NA,NA,30,23.89,0.71,NA
-12.9711;-38.5108,2015-01-15,rain,NA,NA,NA,30,23.89,0.69,NA
-12.9711;-38.5108,2015-01-16,rain,NA,NA,NA,30,23.89,0.67,NA
-12.9711;-38.5108,2015-01-17,rain,NA,NA,NA,30,26.11,0.71,NA
-12.9711;-38.5108,2015-01-18,rain,NA,NA,NA,30,25,0.67,NA
-12.9711;-38.5108,2015-01-19,rain,NA,NA,NA,30,25,0.66,NA
-12.9711;-38.5108,2015-01-20,rain,NA,NA,NA,30,23.89,0.71,NA
-12.9711;-38.5108,2015-01-21,rain,NA,NA,NA,30,25,0.72,NA
-12.9711;-38.5108,2015-01-22,rain,NA,NA,NA,30,26.11,0.75,NA
-12.9711;-38.5108,2015-01-23,rain,NA,NA,NA,30,26.11,0.7,NA
-12.9711;-38.5108,2015-01-24,rain,NA,NA,NA,30,23.89,0.73,NA
-12.9711;-38.5108,2015-01-25,rain,NA,NA,NA,30,25,0.75,NA
-12.9711;-38.5108,2015-01-26,rain,NA,NA,NA,30,23.89,0.73,NA
-12.9711;-38.5108,2015-01-27,rain,NA,NA,NA,30,23.89,0.7,NA
-12.9711;-38.5108,2015-01-28,rain,NA,NA,NA,30,26.11,0.65,NA
-12.9711;-38.5108,2015-01-29,rain,NA,NA,NA,30,23.89,0.68,NA
-12.9711;-38.5108,2015-01-30,rain,NA,NA,NA,30,26.11,0.74,NA
-12.9711;-38.5108,2015-01-31,rain,NA,NA,NA,30,26.11,0.71,NA
-12.9711;-38.5108,2015-02-01,rain,NA,NA,NA,30,26.11,0.67,NA
-12.9711;-38.5108,2015-02-02,rain,NA,NA,NA,30,25,0.66,NA
-12.9711;-38.5108,2015-02-03,rain,NA,NA,NA,30,25,0.7,NA
-12.9711;-38.5108,2015-02-04,rain,NA,NA,NA,30,23.89,0.7,NA
-12.9711;-38.5108,2015-02-05,rain,NA,NA,NA,31.11,25,0.74,NA
-12.9711;-38.5108,2015-02-06,rain,NA,NA,NA,30,25,0.74,NA
