coordinates,date,precipType,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity,pressure
19.1737;-96.1342,2016-01-02,NA,0,0,0,22.22,19.83,0.82,1019.21
19.1737;-96.1342,2016-01-03,NA,0,0,0,20.77,18.75,0.79,1019.13
19.1737;-96.1342,2016-01-04,rain,1,0.0127,0.254,19.65,16.77,0.77,1020.84
19.1737;-96.1342,2016-01-05,NA,0,0,0,21.75,18.74,0.88,1019.6
19.1737;-96.1342,2016-01-06,NA,0,0,0,23.54,19.53,0.86,1016.03
19.1737;-96.1342,2016-01-07,NA,0,0,0,25.97,18.72,0.89,1011.67
19.1737;-96.1342,2016-01-08,NA,0,0,0,26.41,19.03,0.78,1009.77
19.1737;-96.1342,2016-01-09,NA,0,0,0,25.5,20.47,0.8,1010.17
19.1737;-96.1342,2016-01-10,NA,0,0,0,21.12,18.34,0.72,1020.13
19.1737;-96.1342,2016-01-11,NA,0,0,0,22.79,20.46,0.84,1017.55
19.1737;-96.1342,2016-01-12,NA,0,0,0,21.87,19.19,0.84,1018.78
19.1737;-96.1342,2016-01-13,NA,0,0,0,22.19,19.51,0.81,1018.13
19.1737;-96.1342,2016-01-14,NA,0,0,0,24.04,20.56,0.9,1012.58
19.1737;-96.1342,2016-01-15,NA,0,0,0,25.05,20.93,0.92,1010.65
19.1737;-96.1342,2016-01-16,NA,0,0,0,27.29,22.4,0.92,1009.56
19.1737;-96.1342,2016-01-17,NA,0,0,0,23.33,19.55,0.71,1018.67
19.1737;-96.1342,2016-01-18,rain,1,0.0559,0.508,21.38,18.13,0.87,1021.07
19.1737;-96.1342,2016-01-19,NA,0,0,0,22.4,18.12,0.91,1022.27
19.1737;-96.1342,2016-01-20,NA,0,0,0,23.98,18.84,0.91,1018.48
19.1737;-96.1342,2016-01-21,NA,0,0,0,25.69,21.65,0.91,1014.21
19.1737;-96.1342,2016-01-22,NA,0,0,0,22.49,16.88,0.65,1021.59
19.1737;-96.1342,2016-01-23,NA,0,0,0,22.61,15.43,0.59,1023.41
19.1737;-96.1342,2016-01-24,NA,0,0,0,23.44,13.44,0.7,1019.05
19.1737;-96.1342,2016-01-25,NA,0,0,0,23.98,19.39,0.77,1013.37
19.1737;-96.1342,2016-01-26,NA,0,0,0,23.49,20,0.87,1011.74
19.1737;-96.1342,2016-01-27,NA,0,0,0,20.76,15.04,0.83,1015.9
19.1737;-96.1342,2016-01-28,NA,0,0,0,18.86,15.51,0.73,1022.56
19.1737;-96.1342,2016-01-29,NA,0,0,0,20.13,15.39,0.75,1021.41
19.1737;-96.1342,2016-01-30,NA,0,0,0,22.79,17.99,0.81,1015.7
19.1737;-96.1342,2016-01-31,NA,0,0,0,24.69,17.16,0.9,1011.64
19.1737;-96.1342,2016-02-01,NA,0,0,0,26.56,21.73,0.93,1009.37
19.1737;-96.1342,2016-02-02,NA,0,0,0,30.13,22.34,0.88,1005.23
19.1737;-96.1342,2016-02-03,NA,0,0,0,25.59,20.47,0.74,1012.08
19.1737;-96.1342,2016-02-04,NA,0,0,0,21.08,17.64,0.66,1022.98
19.1737;-96.1342,2016-02-05,NA,0,0,0,20.09,17.84,0.77,1025.04
