coordinates,date,precipProbability,precipIntensity,avgTemp,humidity,pressure
19.1737;-96.1342,2016-01-02,0.14285714285714285,0.0018142857142857142,20.834285714285713,0.8271428571428572,1016.6071428571429
19.1737;-96.1342,2016-01-09,0.0,0.0,21.572857142857146,0.8328571428571429,1015.4271428571428
19.1737;-96.1342,2016-01-16,0.14285714285714285,0.007985714285714285,21.580714285714286,0.8400000000000001,1017.9785714285715
19.1737;-96.1342,2016-01-23,0.0,0.0,19.104999999999997,0.7485714285714286,1018.2057142857141
19.1737;-96.1342,2016-01-30,0.0,0.0,21.864285714285714,0.8128571428571428,1014.5771428571428
19.1737;-96.1342,2016-02-06,0.0,0.0,19.83142857142857,0.7057142857142857,1024.4985714285715
19.1737;-96.1342,2016-02-13,0.14285714285714285,0.003985714285714286,21.87857142857143,0.8928571428571429,1017.7942857142856
19.1737;-96.1342,2016-02-20,0.14285714285714285,0.003985714285714286,22.32142857142857,0.8642857142857144,1016.3614285714286
19.1737;-96.1342,2016-02-27,0.0,0.0,22.628571428571426,0.9085714285714286,1017.4200000000001
19.1737;-96.1342,2016-03-05,0.0,0.0,24.59857142857143,0.8228571428571428,1011.0314285714286
19.1737;-96.1342,2016-03-12,0.0,0.0,24.99071428571429,0.9185714285714285,1010.5799999999999
19.1737;-96.1342,2016-03-19,0.0,0.0,22.89357142857143,0.8171428571428571,1015.5785714285713
19.1737;-96.1342,2016-03-26,0.0,0.0,26.785714285714285,0.8742857142857143,1009.1014285714285
19.1737;-96.1342,2016-04-02,0.0,0.0,23.742857142857144,0.8300000000000001,1018.0542857142857
19.1737;-96.1342,2016-04-09,0.0,0.0,26.29714285714286,0.9085714285714285,1012.0571428571428
19.1737;-96.1342,2016-04-16,0.0,0.0,26.82285714285714,0.8857142857142859,1011.137142857143
19.1737;-96.1342,2016-04-23,0.0,0.0,28.47785714285714,0.8671428571428572,1007.5514285714286
19.1737;-96.1342,2016-04-30,0.2857142857142857,0.003985714285714286,27.011428571428574,0.7914285714285715,1010.9157142857142
19.1737;-96.1342,2016-05-07,0.0,0.0,27.23071428571429,0.8414285714285714,1012.5842857142858
19.1737;-96.1342,2016-05-14,0.14285714285714285,0.004357142857142857,28.937857142857144,0.9057142857142857,1010.9285714285714
19.1737;-96.1342,2016-05-21,0.0,0.0,30.087857142857146,0.9042857142857145,1010.3028571428573
19.1737;-96.1342,2016-05-28,0.0,0.0,29.1,0.87,1010.7699999999999
19.1737;-96.1342,2016-06-04,0.0,0.0,28.20428571428571,0.8185714285714286,1010.6342857142856
19.1737;-96.1342,2016-06-11,0.14285714285714285,0.018142857142857145,28.50285714285714,0.8571428571428571,1012.9699999999999
19.1737;-96.1342,2016-06-18,0.2857142857142857,0.08164285714285714,27.21857142857143,0.8728571428571429,1014.4314285714285
19.1737;-96.1342,2016-06-25,0.2857142857142857,0.006171428571428572,28.021428571428572,0.8442857142857144,1014.622857142857
19.1737;-96.1342,2016-07-02,0.2857142857142857,0.014514285714285714,28.755714285714284,0.8685714285714285,1015.1257142857141
19.1737;-96.1342,2016-07-09,0.42857142857142855,0.07438571428571428,27.887857142857143,0.8485714285714286,1014.8585714285715
19.1737;-96.1342,2016-07-16,0.42857142857142855,0.20900000000000002,27.030714285714286,0.8585714285714285,1016.1
19.1737;-96.1342,2016-07-23,0.0,0.0,28.202142857142857,0.8557142857142856,1013.0228571428571
19.1737;-96.1342,2016-07-30,0.5714285714285714,0.5308571428571428,27.097857142857144,0.8614285714285713,1013.657142857143
19.1737;-96.1342,2016-08-06,0.14285714285714285,0.029028571428571428,28.654285714285713,0.8857142857142858,1011.8585714285713
19.1737;-96.1342,2016-08-13,0.2857142857142857,0.055142857142857146,27.981428571428573,0.89,1011.9557142857144
19.1737;-96.1342,2016-08-20,0.2857142857142857,0.4216428571428571,27.045714285714283,0.9028571428571428,1014.4714285714284
19.1737;-96.1342,2016-08-27,0.14285714285714285,0.009428571428571429,28.27142857142857,0.8528571428571429,1011.6414285714284
19.1737;-96.1342,2016-09-03,0.42857142857142855,0.07294285714285713,26.792142857142856,0.8300000000000001,1013.9914285714286
19.1737;-96.1342,2016-09-10,0.5714285714285714,0.11501428571428572,27.635,0.8042857142857143,1013.6985714285714
19.1737;-96.1342,2016-09-17,0.2857142857142857,0.1328,27.007857142857148,0.8114285714285714,1013.6971428571429
19.1737;-96.1342,2016-09-24,0.5714285714285714,0.12264285714285714,26.975714285714282,0.8214285714285714,1013.3000000000001
19.1737;-96.1342,2016-10-01,0.14285714285714285,0.15711428571428573,27.595,0.7899999999999999,1011.2128571428573
19.1737;-96.1342,2016-10-08,0.42857142857142855,0.23368571428571425,26.26642857142857,0.7842857142857144,1015.4671428571429
19.1737;-96.1342,2016-10-15,0.14285714285714285,0.003985714285714286,26.517857142857142,0.7699999999999999,1012.8514285714285
19.1737;-96.1342,2016-10-22,0.42857142857142855,0.012328571428571428,24.837142857142858,0.7728571428571428,1017.0814285714285
19.1737;-96.1342,2016-10-29,0.2857142857142857,0.12627142857142856,26.035714285714285,0.78,1015.0314285714285
19.1737;-96.1342,2016-11-05,0.14285714285714285,0.02212857142857143,25.03630952380952,0.7328571428571429,1016.3185714285713
