coordinates,date,precipProbability,precipIntensity,avgTemp,humidity,pressure,Busquedas,Precipitacion,Casos
19.1737;-96.1342,02/01/2016,0.142857143,0.001814286,20.83428571,0.827142857,1016.607143,9,29.6,0
19.1737;-96.1342,09/01/2016,0,0,21.57285714,0.832857143,1015.427143,28,29.6,0
19.1737;-96.1342,16/01/2016,0.142857143,0.007985714,21.58071429,0.84,1017.978571,35,29.6,0
19.1737;-96.1342,23/01/2016,0,0,19.105,0.748571429,1018.205714,47,29.6,1
19.1737;-96.1342,30/01/2016,0,0,21.86428571,0.812857143,1014.577143,71,29.6,0
19.1737;-96.1342,06/02/2016,0,0,19.83142857,0.705714286,1024.498571,39,22.5,0
19.1737;-96.1342,13/02/2016,0.142857143,0.003985714,21.87857143,0.892857143,1017.794286,64,22.5,0
19.1737;-96.1342,20/02/2016,0.142857143,0.003985714,22.32142857,0.864285714,1016.361429,31,22.5,0
19.1737;-96.1342,27/02/2016,0,0,22.62857143,0.908571429,1017.42,40,22.5,0
19.1737;-96.1342,05/03/2016,0,0,24.59857143,0.822857143,1011.031429,58,39,0
19.1737;-96.1342,12/03/2016,0,0,24.99071429,0.918571429,1010.58,57,39,1
19.1737;-96.1342,19/03/2016,0,0,22.89357143,0.817142857,1015.578571,34,39,0
19.1737;-96.1342,26/03/2016,0,0,26.78571429,0.874285714,1009.101429,47,39,2
19.1737;-96.1342,02/04/2016,0,0,23.74285714,0.83,1018.054286,50,30.3,0
19.1737;-96.1342,09/04/2016,0,0,26.29714286,0.908571429,1012.057143,39,30.3,1
19.1737;-96.1342,16/04/2016,0,0,26.82285714,0.885714286,1011.137143,20,30.3,0
19.1737;-96.1342,23/04/2016,0,0,28.47785714,0.867142857,1007.551429,21,30.3,0
19.1737;-96.1342,30/04/2016,0.285714286,0.003985714,27.01142857,0.791428571,1010.915714,21,30.3,2
19.1737;-96.1342,07/05/2016,0,0,27.23071429,0.841428571,1012.584286,20,35.5,1
19.1737;-96.1342,14/05/2016,0.142857143,0.004357143,28.93785714,0.905714286,1010.928571,17,35.5,0
19.1737;-96.1342,21/05/2016,0,0,30.08785714,0.904285714,1010.302857,14,35.5,0
19.1737;-96.1342,28/05/2016,0,0,29.1,0.87,1010.77,8,35.5,0
19.1737;-96.1342,04/06/2016,0,0,28.20428571,0.818571429,1010.634286,14,206.2,3
19.1737;-96.1342,11/06/2016,0.142857143,0.018142857,28.50285714,0.857142857,1012.97,12,206.2,1
19.1737;-96.1342,18/06/2016,0.285714286,0.081642857,27.21857143,0.872857143,1014.431429,11,206.2,1
19.1737;-96.1342,25/06/2016,0.285714286,0.006171429,28.02142857,0.844285714,1014.622857,12,206.2,9
19.1737;-96.1342,02/07/2016,0.285714286,0.014514286,28.75571429,0.868571429,1015.125714,5,214.8,15
19.1737;-96.1342,09/07/2016,0.428571429,0.074385714,27.88785714,0.848571429,1014.858571,12,214.8,18
19.1737;-96.1342,16/07/2016,0.428571429,0.209,27.03071429,0.858571429,1016.1,13,214.8,43
19.1737;-96.1342,23/07/2016,0,0,28.20214286,0.855714286,1013.022857,20,214.8,74
19.1737;-96.1342,30/07/2016,0.571428571,0.530857143,27.09785714,0.861428571,1013.657143,53,214.8,42
19.1737;-96.1342,06/08/2016,0.142857143,0.029028571,28.65428571,0.885714286,1011.858571,82,267.3,91
19.1737;-96.1342,13/08/2016,0.285714286,0.055142857,27.98142857,0.89,1011.955714,100,267.3,85
19.1737;-96.1342,20/08/2016,0.285714286,0.421642857,27.04571429,0.902857143,1014.471429,100,267.3,114
19.1737;-96.1342,27/08/2016,0.142857143,0.009428571,28.27142857,0.852857143,1011.641429,100,267.3,173
19.1737;-96.1342,03/09/2016,0.428571429,0.072942857,26.79214286,0.83,1013.991429,78,255.9,36
19.1737;-96.1342,10/09/2016,0.571428571,0.115014286,27.635,0.804285714,1013.698571,97,255.9,97
19.1737;-96.1342,17/09/2016,0.285714286,0.1328,27.00785714,0.811428571,1013.697143,98,255.9,195
19.1737;-96.1342,24/09/2016,0.571428571,0.122642857,26.97571429,0.821428571,1013.3,60,255.9,102
19.1737;-96.1342,01/10/2016,0.142857143,0.157114286,27.595,0.79,1011.212857,45,223.3,103
19.1737;-96.1342,08/10/2016,0.428571429,0.233685714,26.26642857,0.784285714,1015.467143,45,223.3,182
19.1737;-96.1342,15/10/2016,0.142857143,0.003985714,26.51785714,0.77,1012.851429,37,223.3,123
19.1737;-96.1342,22/10/2016,0.428571429,0.012328571,24.83714286,0.772857143,1017.081429,35,223.3,61
19.1737;-96.1342,29/10/2016,0.285714286,0.126271429,26.03571429,0.78,1015.031429,30,223.3,135
19.1737;-96.1342,05/11/2016,0.142857143,0.022128571,25.03630952,0.732857143,1016.318571,36,113.3,28
19.1737;-96.1342,12/11/2016,0.142857143,0.026128571,24.79071429,0.734285714,1015.954286,38,113.3,11
19.1737;-96.1342,19/11/2016,0.142857143,0.017057143,23.02785714,0.775714286,1019.337143,33,113.3,9
19.1737;-96.1342,26/11/2016,0,0,25.15928571,0.787142857,1012.08,25,113.3,8
19.1737;-96.1342,03/12/2016,0.285714286,0.020314286,25.04142857,0.844285714,1012.782857,42,96.1,16
19.1737;-96.1342,10/12/2016,0.285714286,0.157114286,23.79285714,0.861428571,1017.44,12,96.1,1
19.1737;-96.1342,17/12/2016,0.142857143,0.015242857,22.27571429,0.835714286,1019.192857,18,96.1,2
19.1737;-96.1342,24/12/2016,0.285714286,0.018142857,24.195,0.845714286,1018.275714,7,96.1,70
19.1737;-96.1342,31/12/2016,0,0,23.99714286,0.831428571,1012.172857,20,96.1,1
19.1737;-96.1342,07/01/2017,0,0,20.58071429,0.741428571,1023.111429,24,36.9,0
19.1737;-96.1342,14/01/2017,0,0,24.28428571,0.812857143,1014.217143,22,36.9,0
19.1737;-96.1342,21/01/2017,0,0,24.34285714,0.702857143,1012.517143,30,36.9,0
19.1737;-96.1342,28/01/2017,0.142857143,0.004714286,21.21357143,0.717142857,1020.294286,26,36.9,1
19.1737;-96.1342,04/02/2017,0.142857143,0.013428571,23.99928571,0.835714286,1016.19,24,32.6,1
19.1737;-96.1342,11/02/2017,0,0,23.85785714,0.812857143,1015.078571,29,32.6,2
19.1737;-96.1342,18/02/2017,0,0,25.01714286,0.684285714,1010.644286,46,32.6,0
19.1737;-96.1342,25/02/2017,0,0,25.24214286,0.784285714,1014.825714,50,32.6,1
19.1737;-96.1342,04/03/2017,0.142857143,0.193042857,24.61142857,0.785714286,1017.468571,28,65.4,0
19.1737;-96.1342,11/03/2017,0.428571429,0.275414286,24.05,0.785714286,1018.847143,32,65.4,0
19.1737;-96.1342,18/03/2017,0.142857143,0.002171429,23.69071429,0.727142857,1019.195714,27,65.4,1
19.1737;-96.1342,25/03/2017,0,0,26.51285714,0.768571429,1009.581429,48,65.4,0
19.1737;-96.1342,01/04/2017,0,0,26.83857143,0.7,1010.324286,100,35.3,0
19.1737;-96.1342,08/04/2017,0.142857143,0.095428571,25.81571429,0.777142857,1014.645714,41,35.3,0
19.1737;-96.1342,15/04/2017,0.285714286,0.044257143,25.56642857,0.767142857,1013.734286,32,35.3,3
19.1737;-96.1342,22/04/2017,0,0,28.065,0.705714286,1007.692857,44,35.3,1
19.1737;-96.1342,29/04/2017,0,0,27.57142857,0.677142857,1010.018571,14,35.3,0
19.1737;-96.1342,06/05/2017,0,0,26.88357143,0.751428571,1011.814286,17,110,0
19.1737;-96.1342,13/05/2017,0.142857143,0.058414286,29.09571429,0.772857143,1008.59,12,110,0
19.1737;-96.1342,20/05/2017,0,0,30.25,0.768571429,1008.605714,22,110,0
19.1737;-96.1342,27/05/2017,0.714285714,0.700314286,27.185,0.811428571,1011.327143,18,110,1
19.1737;-96.1342,03/06/2017,0,0,29.29928571,0.767142857,1009.475714,11,181.7,0
19.1737;-96.1342,10/06/2017,0.428571429,0.007971429,28.04714286,0.774285714,1010.848571,30,181.7,1
19.1737;-96.1342,17/06/2017,0,0,28.20357143,0.752857143,1008.758571,16,181.7,4
19.1737;-96.1342,24/06/2017,0.428571429,0.430342857,27.665,0.812857143,1012.482857,43,181.7,0
19.1737;-96.1342,01/07/2017,0.571428571,0.470628571,26.36142857,0.837142857,1015.79,44,245.1,0
19.1737;-96.1342,08/07/2017,0.428571429,0.2286,27.21285714,0.817142857,1015.204286,24,245.1,2
19.1737;-96.1342,15/07/2017,0.428571429,0.105228571,27.14142857,0.787142857,1015.31,12,245.1,0
19.1737;-96.1342,22/07/2017,0.428571429,0.023214286,26.79428571,0.82,1014.701429,11,245.1,1
19.1737;-96.1342,29/07/2017,0.142857143,0.005085714,28.31142857,0.774285714,1013.73,14,245.1,1
19.1737;-96.1342,05/08/2017,0.571428571,0.104142857,27.89285714,0.795714286,1011.907143,16,199.7,1
19.1737;-96.1342,12/08/2017,0.142857143,0.010157143,27.23928571,0.807142857,1013.23,14,199.7,1
19.1737;-96.1342,19/08/2017,0,0,27.31357143,0.768571429,1012.117143,25,199.7,2
19.1737;-96.1342,26/08/2017,0.428571429,0.101957143,27.56071429,0.812857143,1011.211429,17,199.7,1
19.1737;-96.1342,02/09/2017,0.714285714,0.534142857,26.67928571,0.845714286,1012.398571,21,429,2
19.1737;-96.1342,09/09/2017,0.285714286,0.063857143,26.94642857,0.772857143,1011.838571,10,429,7
