Entidad,Altura,
Mexico-Aguascalientes,1926,
Mexico-Baja_California,3070,
Mexico-Baja_California_Sur,239,
Mexico-Campeche,390,MAX
Mexico-Chiapas,4080,
Mexico-Chihuahua,3333,MAX
Mexico-Coahuila_de_Zaragoza,3751,
Mexico-Colima,570,
Mexico-Durango,1966,
Mexico-Guanajuato,2072,
Mexico-Guerrero,1161,
Mexico-Hidalgo,1918,
Mexico-Jalisco,1355,
Mexico-Mexico_City,2250,
Mexico-Michoacan_de_Ocampo,926,
Mexico-Morelos,1169,
Mexico-Nayarit,278,
Mexico-Nuevo_Leon,243,
Mexico-Oaxaca,1644,
Mexico-Puebla,1704,
Mexico-Queretaro_de_Arteaga,1856,
Mexico-Quintana_Roo,31,
Mexico-San_Luis_Potosi,1638,
Mexico-Sinaloa,139,
Mexico-Sonora,592,
Mexico-State_Of_Mexico,2605,
Mexico-Tabasco,1,
Mexico-Tamaulipas,126,
Mexico-Tlaxcala,2425,
Mexico-Veracruz_de_Ignacio_de_la_Llave,10,
Mexico-Yucatan,30,
Mexico-Zacatecas,2061,
