Entidad,11/2015,12/2015,1/2016,2/2016,3/2016,4/2016,5/2016,6/2016,7/2016,8/2016,9/2016,10/2016,11/2016,12/2016,1/2017,2/2017,3/2017,4/2017,5/2017,6/2017,7/2017,8/2017,9/2017,10/2017,11/2017
Mexico-Aguascalientes,8.3,23.7,4.4,9.6,12.7,1.7,6.3,71,172.7,193.6,62,8.7,30.1,2.1,0.4,2.1,6.7,0.4,4.2,43.5,169.3,143.8,159.5,21.8,0.1
Mexico-Baja_California,20,24.2,44.3,0.1,14.7,13.9,2.7,9,26.1,31,26.7,0.6,4.4,45.4,53.6,44.9,1.4,0,7.9,0.2,2.9,7.1,9.6,0,1.4
Mexico-Baja_California_Sur,16,7.1,5.6,0.3,8,2.6,3.1,6.5,23.6,54.3,79.9,2.6,1.3,12.2,8.4,18.4,0.5,0.1,1.6,1.9,12.1,68.3,59,0.6,0.2
Mexico-Campeche,123.6,78.8,50.4,33.8,33.1,19.3,61.7,244.9,180.9,173.3,202.8,81.7,53.4,41.8,16.1,6.9,9.1,65.1,49.7,363.6,169.2,202.8,229.8,221.7,33.4
Mexico-Chiapas,150.3,90.6,33.9,26.6,30,28.9,143.8,281.9,177.8,306.7,314.7,128,91.7,50.2,36.8,8.1,23.1,64,262.3,409.4,254.3,249.2,401.7,228.8,37.9
Mexico-Chihuahua,32.6,7.4,5.8,0.5,7.6,7.1,11.7,56.8,110,190.8,85.9,10.3,6.5,19.3,12.3,8.1,6.1,3.4,10.4,20.6,153.3,122.1,58.8,14.4,1.7
Mexico-Coahuila_de_Zaragoza,15.1,6.3,21.6,3.1,56.3,28.5,46.7,45.4,51.2,147.7,84.2,10.8,35.6,23.8,2.6,11.1,15.1,23,40.6,22.6,37.8,45.1,108.3,15.2,1.9
Mexico-Colima,14.7,36.7,85.6,0.8,16.5,0.2,5.5,158.7,252.2,340.7,314.4,62.6,67.1,29,0,2.8,1.2,0,1.7,197.4,287.4,560.3,528,142.7,0.1
Mexico-Durango,5.1,14.6,8.3,3.6,18.7,3.1,8.9,56.7,104,180.4,82.6,16.7,10.9,16,1.3,7.8,13.3,1.4,4.7,12.5,121.7,139.3,97.3,34.1,0
Mexico-Guanajuato,5.5,9.9,7.4,4.1,25,10,42.2,104.1,173,218.3,61.5,19.4,25,1.3,0.2,1.5,14.2,6,17.2,108.3,173.7,131.4,143.7,14.6,0.3
Mexico-Guerrero,31.9,10.5,22.1,1,52.5,9.9,45.4,172.2,185.1,189.8,239,36.7,31.1,0.6,0.2,0.2,2.1,3.2,90.2,223.9,162.6,230.4,369.4,71.7,6.7
Mexico-Hidalgo,51.8,9.3,7.6,2.4,16.8,33.2,49.4,130.7,73.5,134.2,116.6,58.3,53.2,18.5,3.1,5,20.7,16.5,51.2,69.2,95.1,88.9,182.1,109.6,4.9
Mexico-Jalisco,16.1,35.3,6.7,0.8,27.8,19,51.8,113,131.9,128.4,113.7,14.6,45.5,2.7,0.3,2.9,6.5,0.1,6.8,101.8,233.3,266.8,247.4,59.4,0.9
Mexico-Mexico_City,5.4,4.1,8.4,4.8,16.1,1.1,19.6,171.7,240.1,224.8,156.5,34,36.4,12.7,0,0,18.1,12.9,48.9,86.2,101.7,101.3,86.8,31.4,0.6
Mexico-Michoacan_de_Ocampo,7.4,18.7,17,2.2,22.8,3.9,27.1,123.8,140.5,172.7,131.9,39.2,28.8,12,0.1,1,14.6,1.8,29.5,116.1,159.4,228.4,190.9,50.2,0.4
Mexico-Morelos,28.3,1,32.4,1.1,54.5,47.4,95.2,400.6,330.5,386.2,322.8,49.5,59.3,2.2,0,0.1,14.7,13.5,174.9,386,320.4,517.2,441.1,81.7,0
Mexico-Nayarit,34.4,66.2,0.8,0.6,29.5,1.1,4.2,161.5,342.9,308.1,276.5,41,15.2,43,0.5,11,1.5,0.1,1.1,62.6,279.1,346.5,392.7,102.4,0.3
Mexico-Nuevo_Leon,20.1,3.6,29.1,1.5,47.2,45.2,93,58,36.4,128,75.7,32.2,50,15.9,10.2,7.4,50.6,45,60.7,45.6,31,40.6,172.1,64.9,7.8
Mexico-Oaxaca,78.9,21.4,8.8,9.1,45.3,19.9,35.7,187.6,164.2,212.3,203.2,44.4,27.8,34.7,5.1,5.7,16.4,28,156.8,355.6,183,207,320,141.8,13.3
Mexico-Puebla,89.3,11.7,27.6,5.6,54.2,53.9,69.5,225.8,174.9,218.5,200,81.2,48.8,35.9,4.4,9,32.3,37.4,130.5,217,204.3,311.3,322.5,114.8,13.3
Mexico-Queretaro_de_Arteaga,25.9,6.9,5.8,3.3,28.2,26,71.7,132.1,131.1,207,69.3,38.8,30.3,6.5,0.7,2,20.9,17.7,29.6,83.2,107.9,92.2,168,67.4,1.3
Mexico-Quintana_Roo,224.8,113.9,64.8,40.8,55.9,52.3,27.5,274,94.2,211.6,130.5,79.5,35.2,43.1,30.5,9.5,25.6,76.5,64.1,241,111,205.1,240,255.2,94
Mexico-San_Luis_Potosi,34.8,7.1,11.5,6.8,24.9,29.7,63.3,144.5,72,139.3,97.1,41.4,42.9,11.8,1.7,3.6,28.1,25.2,40.9,62.5,118.1,96.3,145,85.8,1.4
Mexico-Sinaloa,25,40.5,1.5,0.5,11.6,1.5,5.3,54,231.2,229.7,151.1,19.5,4.8,19.7,3.8,30.2,3.6,0.5,0.7,12.5,169.5,248.3,162.9,49,0.1
Mexico-Sonora,26.6,7,24.2,2,14.2,3.3,0.9,40.9,139.1,94.8,78.1,1,0.4,25.5,41.6,31.3,0.5,0.5,4.8,12.5,182.9,93.9,39.4,4.3,2.5
Mexico-State_Of_Mexico,17.5,10.2,14.2,5.8,37.4,18.5,76.7,169.8,171.2,200.3,140.4,31.7,45.3,3.5,0.1,1.1,17,14.3,86.6,119.7,174.5,209.5,186.3,53,3.3
Mexico-Tabasco,274.1,282.6,116.3,80.9,75.1,30.6,84,209.7,152.1,260.3,301.1,192.5,161.4,84.8,84.3,32.4,61.1,97.6,143.2,285.5,157.5,207.3,377.5,414,98.2
Mexico-Tamaulipas,39,5.1,25.4,2.1,48.4,52.6,128.2,119.8,42.6,121.8,82.3,50.4,53.8,19.4,8.3,14.9,57.9,36.2,70.8,61.7,79,68.3,129.2,113.9,12.2
Mexico-Tlaxcala,25,4.8,11.9,1.8,50.6,34.8,56.3,146.6,111.2,155,112.7,37.3,28,4.8,0.4,0.4,19.4,21.2,79.9,98.5,146.6,167.4,123.6,30.3,2.4
Mexico-Veracruz_de_Ignacio_de_la_Llave,192.3,58.4,29.6,22.5,39,30.3,35.5,206.2,214.8,267.3,255.9,223.3,113.3,96.1,36.9,32.6,65.4,35.3,110,181.7,245.1,199.7,429,314.9,43.3
Mexico-Yucatan,129.9,24.3,32.3,16.5,47.6,23.7,50,169.7,103.9,159,166.8,45.3,19.5,50.8,19.5,2.1,7.5,51.7,48.4,229.9,141.7,160.3,228.1,154.8,37.9
Mexico-Zacatecas,16.4,16.7,4.5,6.9,17.6,3.8,18.2,72,119.1,145.7,77.8,9.2,25.1,10.4,0.4,1.3,18.8,2.6,10.7,30.7,134.1,113.5,111.3,16.3,0.3
