City,Date,Searches,Rain,Temp,Cases
Mexico-Nuevo_Leon,28/11/2015,24,20.1,19.5,1
Mexico-Nuevo_Leon,05/12/2015,5,3.6,16.7,0
Mexico-Nuevo_Leon,12/12/2015,0,3.6,16.7,0
Mexico-Nuevo_Leon,19/12/2015,0,3.6,16.7,0
Mexico-Nuevo_Leon,26/12/2015,0,3.6,16.7,0
Mexico-Nuevo_Leon,02/01/2016,0,29.1,14.1,3
Mexico-Nuevo_Leon,09/01/2016,0,29.1,14.1,0
Mexico-Nuevo_Leon,16/01/2016,24,29.1,14.1,0
Mexico-Nuevo_Leon,23/01/2016,39,29.1,14.1,0
Mexico-Nuevo_Leon,30/01/2016,55,29.1,14.1,0
Mexico-Nuevo_Leon,06/02/2016,31,1.5,17.5,0
Mexico-Nuevo_Leon,13/02/2016,27,1.5,17.5,0
Mexico-Nuevo_Leon,20/02/2016,25,1.5,17.5,0
Mexico-Nuevo_Leon,27/02/2016,17,1.5,17.5,0
Mexico-Nuevo_Leon,05/03/2016,14,47.2,21.6,0
Mexico-Nuevo_Leon,12/03/2016,34,47.2,21.6,0
Mexico-Nuevo_Leon,19/03/2016,18,47.2,21.6,0
Mexico-Nuevo_Leon,26/03/2016,26,47.2,21.6,0
Mexico-Nuevo_Leon,02/04/2016,28,45.2,23.9,0
Mexico-Nuevo_Leon,09/04/2016,28,45.2,23.9,0
Mexico-Nuevo_Leon,16/04/2016,11,45.2,23.9,0
Mexico-Nuevo_Leon,23/04/2016,22,45.2,23.9,0
Mexico-Nuevo_Leon,30/04/2016,21,45.2,23.9,0
Mexico-Nuevo_Leon,07/05/2016,13,93,26,0
Mexico-Nuevo_Leon,14/05/2016,9,93,26,1
Mexico-Nuevo_Leon,21/05/2016,6,93,26,0
Mexico-Nuevo_Leon,28/05/2016,11,93,26,0
Mexico-Nuevo_Leon,04/06/2016,9,58,27.1,0
Mexico-Nuevo_Leon,11/06/2016,9,58,27.1,0
Mexico-Nuevo_Leon,18/06/2016,6,58,27.1,0
Mexico-Nuevo_Leon,25/06/2016,5,58,27.1,0
Mexico-Nuevo_Leon,02/07/2016,3,36.4,29.5,0
Mexico-Nuevo_Leon,09/07/2016,1,36.4,29.5,0
Mexico-Nuevo_Leon,16/07/2016,2,36.4,29.5,0
Mexico-Nuevo_Leon,23/07/2016,4,36.4,29.5,1
