City,Date,Searches,Rain,Temp,Cases
Mexico-Tamaulipas,28/11/2015,0,39,22.7,0
Mexico-Tamaulipas,05/12/2015,0,5.1,19.8,0
Mexico-Tamaulipas,12/12/2015,0,5.1,19.8,0
Mexico-Tamaulipas,19/12/2015,0,5.1,19.8,0
Mexico-Tamaulipas,26/12/2015,0,5.1,19.8,0
Mexico-Tamaulipas,02/01/2016,7,25.4,16.8,0
Mexico-Tamaulipas,09/01/2016,0,25.4,16.8,0
Mexico-Tamaulipas,16/01/2016,41,25.4,16.8,0
Mexico-Tamaulipas,23/01/2016,46,25.4,16.8,0
Mexico-Tamaulipas,30/01/2016,76,25.4,16.8,0
Mexico-Tamaulipas,06/02/2016,38,2.1,19.4,0
Mexico-Tamaulipas,13/02/2016,40,2.1,19.4,0
Mexico-Tamaulipas,20/02/2016,12,2.1,19.4,0
Mexico-Tamaulipas,27/02/2016,22,2.1,19.4,0
Mexico-Tamaulipas,05/03/2016,30,48.4,23.6,0
Mexico-Tamaulipas,12/03/2016,17,48.4,23.6,0
Mexico-Tamaulipas,19/03/2016,17,48.4,23.6,0
Mexico-Tamaulipas,26/03/2016,76,48.4,23.6,0
Mexico-Tamaulipas,02/04/2016,12,52.6,25.9,0
Mexico-Tamaulipas,09/04/2016,25,52.6,25.9,0
Mexico-Tamaulipas,16/04/2016,0,52.6,25.9,0
Mexico-Tamaulipas,23/04/2016,7,52.6,25.9,0
Mexico-Tamaulipas,30/04/2016,10,52.6,25.9,0
Mexico-Tamaulipas,07/05/2016,6,128.2,27.9,0
Mexico-Tamaulipas,14/05/2016,23,128.2,27.9,0
Mexico-Tamaulipas,21/05/2016,16,128.2,27.9,0
Mexico-Tamaulipas,28/05/2016,8,128.2,27.9,0
Mexico-Tamaulipas,04/06/2016,0,119.8,28.4,0
Mexico-Tamaulipas,11/06/2016,4,119.8,28.4,0
Mexico-Tamaulipas,18/06/2016,0,119.8,28.4,0
Mexico-Tamaulipas,25/06/2016,0,119.8,28.4,0
Mexico-Tamaulipas,02/07/2016,0,42.6,30,0
Mexico-Tamaulipas,09/07/2016,3,42.6,30,0
Mexico-Tamaulipas,16/07/2016,0,42.6,30,0
Mexico-Tamaulipas,23/07/2016,0,42.6,30,0
Mexico-Tamaulipas,30/07/2016,0,42.6,30,0
Mexico-Tamaulipas,06/08/2016,8,121.8,29.6,0
Mexico-Tamaulipas,13/08/2016,6,121.8,29.6,0
Mexico-Tamaulipas,20/08/2016,13,121.8,29.6,0
Mexico-Tamaulipas,27/08/2016,11,121.8,29.6,3
Mexico-Tamaulipas,03/09/2016,22,82.3,28.8,11
Mexico-Tamaulipas,10/09/2016,18,82.3,28.8,2
Mexico-Tamaulipas,17/09/2016,29,82.3,28.8,0
Mexico-Tamaulipas,24/09/2016,15,82.3,28.8,1
Mexico-Tamaulipas,01/10/2016,14,50.4,26.6,0
Mexico-Tamaulipas,08/10/2016,15,50.4,26.6,29
Mexico-Tamaulipas,15/10/2016,28,50.4,26.6,3
Mexico-Tamaulipas,22/10/2016,25,50.4,26.6,0
Mexico-Tamaulipas,29/10/2016,17,50.4,26.6,0
Mexico-Tamaulipas,05/11/2016,22,53.8,23.1,2
Mexico-Tamaulipas,12/11/2016,25,53.8,23.1,0
Mexico-Tamaulipas,19/11/2016,20,53.8,23.1,0
Mexico-Tamaulipas,26/11/2016,41,53.8,23.1,18
Mexico-Tamaulipas,03/12/2016,39,19.4,20.6,0
Mexico-Tamaulipas,10/12/2016,35,19.4,20.6,0
Mexico-Tamaulipas,17/12/2016,10,19.4,20.6,27
Mexico-Tamaulipas,24/12/2016,41,19.4,20.6,0
Mexico-Tamaulipas,31/12/2016,49,19.4,20.6,1
Mexico-Tamaulipas,07/01/2017,11,8.3,20.3,0
Mexico-Tamaulipas,14/01/2017,9,8.3,20.3,0
Mexico-Tamaulipas,21/01/2017,0,8.3,20.3,0
Mexico-Tamaulipas,28/01/2017,0,8.3,20.3,0
Mexico-Tamaulipas,04/02/2017,18,14.9,23.2,0
Mexico-Tamaulipas,11/02/2017,17,14.9,23.2,1
Mexico-Tamaulipas,18/02/2017,16,14.9,23.2,0
Mexico-Tamaulipas,25/02/2017,0,14.9,23.2,2
Mexico-Tamaulipas,04/03/2017,65,57.9,24.1,0
