City,Date,Searches,Rain,Temp,Cases
Mexico-Yucatan,28/11/2015,36,129.9,26.6,0
Mexico-Yucatan,05/12/2015,0,24.3,26,0
Mexico-Yucatan,12/12/2015,12,24.3,26,0
Mexico-Yucatan,19/12/2015,46,24.3,26,0
Mexico-Yucatan,26/12/2015,27,24.3,26,0
Mexico-Yucatan,02/01/2016,8,32.3,23.1,0
Mexico-Yucatan,09/01/2016,48,32.3,23.1,0
Mexico-Yucatan,16/01/2016,21,32.3,23.1,0
Mexico-Yucatan,23/01/2016,53,32.3,23.1,0
Mexico-Yucatan,30/01/2016,83,32.3,23.1,1
Mexico-Yucatan,06/02/2016,49,16.5,22.8,0
Mexico-Yucatan,13/02/2016,64,16.5,22.8,0
Mexico-Yucatan,20/02/2016,100,16.5,22.8,0
Mexico-Yucatan,27/02/2016,100,16.5,22.8,0
Mexico-Yucatan,05/03/2016,73,47.6,27.1,0
Mexico-Yucatan,12/03/2016,44,47.6,27.1,0
Mexico-Yucatan,19/03/2016,34,47.6,27.1,0
Mexico-Yucatan,26/03/2016,77,47.6,27.1,0
Mexico-Yucatan,02/04/2016,55,23.7,28.7,0
Mexico-Yucatan,09/04/2016,49,23.7,28.7,0
Mexico-Yucatan,16/04/2016,31,23.7,28.7,0
Mexico-Yucatan,23/04/2016,14,23.7,28.7,0
Mexico-Yucatan,30/04/2016,27,23.7,28.7,0
Mexico-Yucatan,07/05/2016,15,50,30.1,0
Mexico-Yucatan,14/05/2016,21,50,30.1,0
Mexico-Yucatan,21/05/2016,4,50,30.1,0
Mexico-Yucatan,28/05/2016,34,50,30.1,1
Mexico-Yucatan,04/06/2016,25,169.7,29.2,3
Mexico-Yucatan,11/06/2016,16,169.7,29.2,0
Mexico-Yucatan,18/06/2016,14,169.7,29.2,0
Mexico-Yucatan,25/06/2016,35,169.7,29.2,1
Mexico-Yucatan,02/07/2016,17,103.9,29.3,0
Mexico-Yucatan,09/07/2016,13,103.9,29.3,2
Mexico-Yucatan,16/07/2016,12,103.9,29.3,1
Mexico-Yucatan,23/07/2016,20,103.9,29.3,5
Mexico-Yucatan,30/07/2016,34,103.9,29.3,11
Mexico-Yucatan,06/08/2016,5,159,28.8,7
Mexico-Yucatan,13/08/2016,42,159,28.8,8
Mexico-Yucatan,20/08/2016,36,159,28.8,8
Mexico-Yucatan,27/08/2016,57,159,28.8,12
Mexico-Yucatan,03/09/2016,39,166.8,28.5,19
Mexico-Yucatan,10/09/2016,67,166.8,28.5,30
Mexico-Yucatan,17/09/2016,58,166.8,28.5,1
Mexico-Yucatan,24/09/2016,73,166.8,28.5,168
Mexico-Yucatan,01/10/2016,98,45.3,27.1,101
Mexico-Yucatan,08/10/2016,72,45.3,27.1,73
Mexico-Yucatan,15/10/2016,83,45.3,27.1,0
Mexico-Yucatan,22/10/2016,98,45.3,27.1,188
Mexico-Yucatan,29/10/2016,76,45.3,27.1,8
Mexico-Yucatan,05/11/2016,63,19.5,25.4,32
Mexico-Yucatan,12/11/2016,99,19.5,25.4,75
Mexico-Yucatan,19/11/2016,100,19.5,25.4,0
Mexico-Yucatan,26/11/2016,100,19.5,25.4,2
Mexico-Yucatan,03/12/2016,79,50.8,26,15
Mexico-Yucatan,10/12/2016,80,50.8,26,26
Mexico-Yucatan,17/12/2016,62,50.8,26,8
Mexico-Yucatan,24/12/2016,49,50.8,26,16
Mexico-Yucatan,31/12/2016,37,50.8,26,1
Mexico-Yucatan,07/01/2017,52,19.5,24.2,0
Mexico-Yucatan,14/01/2017,38,19.5,24.2,0
Mexico-Yucatan,21/01/2017,33,19.5,24.2,2
Mexico-Yucatan,28/01/2017,96,19.5,24.2,1
Mexico-Yucatan,04/02/2017,55,2.1,25.7,1
Mexico-Yucatan,11/02/2017,66,2.1,25.7,0
Mexico-Yucatan,18/02/2017,32,2.1,25.7,2
Mexico-Yucatan,25/02/2017,0,2.1,25.7,0
Mexico-Yucatan,04/03/2017,49,7.5,25.9,1
Mexico-Yucatan,11/03/2017,0,7.5,25.9,0
Mexico-Yucatan,18/03/2017,17,7.5,25.9,2
Mexico-Yucatan,25/03/2017,18,7.5,25.9,0
Mexico-Yucatan,01/04/2017,7,51.7,28.3,2
Mexico-Yucatan,08/04/2017,0,51.7,28.3,0
Mexico-Yucatan,15/04/2017,22,51.7,28.3,0
Mexico-Yucatan,22/04/2017,19,51.7,28.3,0
Mexico-Yucatan,29/04/2017,65,51.7,28.3,0
Mexico-Yucatan,06/05/2017,28,48.4,29.7,0
Mexico-Yucatan,13/05/2017,62,48.4,29.7,0
Mexico-Yucatan,20/05/2017,46,48.4,29.7,0
Mexico-Yucatan,27/05/2017,27,48.4,29.7,0
Mexico-Yucatan,03/06/2017,14,229.9,28.7,0
Mexico-Yucatan,10/06/2017,12,229.9,28.7,0
Mexico-Yucatan,17/06/2017,29,229.9,28.7,0
Mexico-Yucatan,24/06/2017,0,229.9,28.7,0
Mexico-Yucatan,01/07/2017,14,141.7,28.3,0
Mexico-Yucatan,08/07/2017,15,141.7,28.3,1
Mexico-Yucatan,15/07/2017,31,141.7,28.3,0
Mexico-Yucatan,22/07/2017,0,141.7,28.3,0
Mexico-Yucatan,29/07/2017,26,141.7,28.3,0
Mexico-Yucatan,05/08/2017,0,160.3,28.6,3
Mexico-Yucatan,12/08/2017,9,160.3,28.6,0
Mexico-Yucatan,19/08/2017,9,160.3,28.6,0
Mexico-Yucatan,26/08/2017,0,160.3,28.6,0
Mexico-Yucatan,02/09/2017,16,228.1,28.4,0
Mexico-Yucatan,09/09/2017,0,228.1,28.4,0
