Categoría: Todas las categorías

Semana,Zika: (México)
2016-08-28,100
2016-09-04,99
2016-09-11,91
2016-09-18,82
2016-09-25,83
2016-10-02,91
2016-10-09,95
2016-10-16,89
2016-10-23,79
2016-10-30,72
2016-11-06,68
2016-11-13,54
2016-11-20,40
2016-11-27,34
2016-12-04,28
2016-12-11,20
2016-12-18,17
2016-12-25,21
2017-01-01,17
2017-01-08,12
2017-01-15,11
2017-01-22,12
2017-01-29,10
2017-02-05,12
2017-02-12,11
2017-02-19,10
2017-02-26,9
2017-03-05,11
2017-03-12,12
2017-03-19,10
2017-03-26,14
2017-04-02,33
2017-04-09,8
2017-04-16,9
2017-04-23,12
2017-04-30,9
2017-05-07,8
2017-05-14,11
2017-05-21,9
2017-05-28,9
2017-06-04,10
2017-06-11,9
2017-06-18,12
2017-06-25,13
2017-07-02,14
2017-07-09,15
2017-07-16,13
2017-07-23,14
2017-07-30,14
2017-08-06,15
2017-08-13,17
2017-08-20,25
