Categoría: Todas las categorías

Semana,zika sintomas: (México)
2016-01-03,1
2016-01-10,2
2016-01-17,12
2016-01-24,33
2016-01-31,100
2016-02-07,45
2016-02-14,29
2016-02-21,26
2016-02-28,21
2016-03-06,21
2016-03-13,15
2016-03-20,13
2016-03-27,12
2016-04-03,15
2016-04-10,12
2016-04-17,11
2016-04-24,8
2016-05-01,9
2016-05-08,10
2016-05-15,10
2016-05-22,11
2016-05-29,13
2016-06-05,13
2016-06-12,10
2016-06-19,12
2016-06-26,14
2016-07-03,12
2016-07-10,14
2016-07-17,14
2016-07-24,15
2016-07-31,18
2016-08-07,25
2016-08-14,34
2016-08-21,39
2016-08-28,44
2016-09-04,40
2016-09-11,41
2016-09-18,38
2016-09-25,38
2016-10-02,37
2016-10-09,41
2016-10-16,42
2016-10-23,39
2016-10-30,35
2016-11-06,29
2016-11-13,22
2016-11-20,16
2016-11-27,15
2016-12-04,9
2016-12-11,8
2016-12-18,5
2016-12-25,6
2017-01-01,7
2017-01-08,4
2017-01-15,3
2017-01-22,4
2017-01-29,3
2017-02-05,4
2017-02-12,3
2017-02-19,3
2017-02-26,2
2017-03-05,2
2017-03-12,2
2017-03-19,3
2017-03-26,3
2017-04-02,4
2017-04-09,2
2017-04-16,3
2017-04-23,3
2017-04-30,2
2017-05-07,2
2017-05-14,2
2017-05-21,2
2017-05-28,1
2017-06-04,2
2017-06-11,2
2017-06-18,3
2017-06-25,4
2017-07-02,4
2017-07-09,5
2017-07-16,4
2017-07-23,6
2017-07-30,5
2017-08-06,5
2017-08-13,6
2017-08-20,5
