CITY,02/01/2016,09/01/2016,16/01/2016,23/01/2016,30/01/2016,06/02/2016,13/02/2016,20/02/2016,27/02/2016,05/03/2016,12/03/2016,19/03/2016,26/03/2016,02/04/2016,09/04/2016,16/04/2016,23/04/2016,30/04/2016,07/05/2016,14/05/2016,21/05/2016,28/05/2016,04/06/2016,11/06/2016,18/06/2016,25/06/2016,02/07/2016,09/07/2016,16/07/2016,23/07/2016,30/07/2016,06/08/2016,13/08/2016,20/08/2016,27/08/2016,03/09/2016,10/09/2016,17/09/2016,24/09/2016,01/10/2016,08/10/2016,15/10/2016,22/10/2016,29/10/2016,05/11/2016,12/11/2016,19/11/2016,26/11/2016,03/12/2016,10/12/2016,17/12/2016,24/12/2016
Mexico-Aguascalientes,0,0,25,42,71,38,36,22,19,18,12,49,25,31,24,16,15,10,21,17,14,7,7,0,0,6,3,9,3,0,7,7,10,5,6,5,7,8,8,3,9,5,0,6,5,5,6,11,0,11,0,10
Mexico-Baja_California,0,11,22,34,54,29,22,12,16,15,23,23,19,22,16,17,15,7,7,9,8,9,8,7,5,4,3,3,4,4,5,7,6,6,3,5,5,1,4,3,3,5,5,3,6,7,3,4,2,5,0,5
Mexico-Baja_California_Sur,0,77,45,58,100,40,33,12,20,48,46,29,44,16,40,20,45,20,28,36,7,14,13,16,25,8,11,10,9,11,15,19,7,7,9,12,10,9,5,20,32,17,35,24,37,37,23,31,26,57,40,48
Mexico-Campeche,0,0,12,31,75,21,29,36,34,63,26,21,27,21,37,28,47,14,31,26,16,16,26,27,23,15,12,20,27,35,80,97,82,72,75,100,95,63,36,40,35,34,23,26,45,33,38,23,17,44,29,33
Mexico-Chiapas,100,100,83,71,85,51,81,54,66,76,100,82,100,85,98,100,100,100,100,100,100,100,100,100,100,83,84,84,64,68,76,43,27,19,17,13,18,13,7,9,10,11,10,16,16,21,13,4,11,11,20,7
Mexico-Chihuahua,6,10,15,28,57,36,26,19,21,26,15,18,14,15,15,8,7,13,11,14,10,6,5,6,4,10,3,2,2,3,6,8,8,3,8,5,5,6,1,3,3,7,4,1,6,7,7,4,3,0,11,0
Mexico-Coahuila_de_Zaragoza,0,11,19,35,57,35,31,22,17,25,20,25,19,10,16,10,12,7,11,9,8,5,7,4,5,4,3,4,2,6,3,5,3,5,7,5,3,5,4,8,9,6,4,10,13,8,7,11,15,10,0,5
Mexico-Colima,24,71,16,75,83,54,77,52,57,100,39,100,34,36,44,24,49,0,19,15,19,10,54,19,9,10,15,17,7,23,25,23,44,33,64,52,92,100,100,100,100,100,49,95,57,13,23,27,31,54,74,53
Mexico-Durango,0,0,21,27,70,30,31,27,26,35,34,19,13,36,18,14,16,19,13,10,22,13,9,8,8,4,3,4,7,0,11,15,11,6,2,6,3,3,7,8,9,9,4,5,0,13,15,10,10,0,0,0
Mexico-Guanajuato,0,14,19,31,62,19,23,12,21,25,21,13,24,26,31,14,12,14,12,15,11,7,6,4,4,5,4,4,1,4,6,7,7,8,7,4,5,2,2,2,3,2,3,5,4,2,3,3,5,3,6,3
Mexico-Guerrero,6,59,48,57,83,100,100,39,48,77,47,64,43,44,65,27,15,26,33,31,56,30,56,61,63,100,100,100,100,100,100,100,80,42,47,32,48,51,27,27,21,32,28,36,33,43,29,40,51,35,36,29
Mexico-Hidalgo,0,17,12,27,66,28,37,16,28,43,22,19,19,29,34,21,15,19,12,26,10,8,11,10,10,5,2,3,4,7,9,5,7,11,13,8,8,18,8,13,4,8,7,8,4,12,4,6,6,8,0,0
Mexico-Jalisco,4,7,100,63,74,39,44,21,25,33,17,30,19,23,33,19,14,14,16,14,12,8,11,10,5,6,4,5,5,4,10,8,7,7,8,7,12,11,7,6,9,7,8,8,9,10,10,9,11,6,6,12
Mexico-Mexico_City,5,15,32,53,84,37,35,18,20,25,21,19,24,22,33,18,11,13,17,13,12,10,7,8,6,6,5,5,4,6,14,13,10,10,11,7,9,8,6,6,6,6,8,8,6,8,8,7,12,7,9,5
Mexico-Michoacan_de_Ocampo,4,22,24,36,61,33,41,26,24,29,21,18,22,29,35,34,27,17,13,7,13,8,8,5,7,6,6,5,3,12,13,18,14,18,14,8,14,9,6,3,7,5,10,8,6,6,17,17,9,10,9,9
Mexico-Morelos,17,27,34,53,76,38,47,20,23,41,33,45,39,36,47,12,19,23,22,11,22,43,40,34,36,17,19,16,20,13,23,11,15,21,12,20,23,33,19,55,62,44,29,35,62,55,60,38,53,55,49,27
Mexico-Nayarit,12,0,56,42,61,45,36,41,36,44,53,65,17,54,37,23,37,33,21,17,7,12,23,6,12,12,9,8,13,15,12,20,15,7,9,7,10,11,9,9,11,20,11,22,13,50,16,11,23,37,47,45
Mexico-Nuevo_Leon,1,10,20,36,61,30,32,19,21,25,27,18,16,20,22,12,18,16,12,11,12,9,7,7,6,1,2,3,3,3,7,4,4,5,5,7,8,8,15,37,65,92,100,100,100,100,77,58,53,32,30,20
Mexico-Oaxaca,15,52,50,67,89,66,96,36,46,55,63,68,45,100,75,45,49,79,48,34,42,26,41,41,32,43,33,38,49,46,51,61,66,50,66,52,56,46,47,30,31,42,38,38,32,35,38,27,52,38,16,22
Mexico-Puebla,3,9,21,45,77,29,38,21,29,38,29,22,35,39,29,19,17,11,13,12,15,9,13,9,7,12,10,7,10,12,16,19,23,34,22,15,18,19,14,11,10,15,12,13,13,17,14,14,11,15,12,4
Mexico-Queretaro_de_Arteaga,5,0,26,41,67,28,25,17,18,14,22,21,15,15,46,15,10,13,17,10,19,6,10,3,3,6,0,6,1,8,17,6,7,8,5,6,10,7,4,2,3,3,5,4,2,12,9,0,7,11,0,9
Mexico-Quintana_Roo,5,54,96,100,98,54,78,45,53,31,61,76,52,57,100,62,76,64,55,58,53,38,41,34,43,43,30,39,24,30,57,68,66,83,81,75,100,91,79,65,91,58,53,79,80,67,73,100,100,100,100,100
Mexico-San_Luis_Potosi,0,0,28,36,51,26,44,18,22,21,31,25,14,25,40,17,17,30,15,19,3,14,8,10,2,4,4,6,4,3,11,10,6,6,6,6,12,8,6,3,12,3,7,5,9,19,4,9,6,11,0,7
Mexico-Sinaloa,5,11,31,40,81,34,38,18,21,20,32,18,12,25,17,16,22,16,11,15,10,6,4,4,4,2,4,2,3,4,9,3,3,2,6,5,7,6,4,4,6,11,19,18,19,34,29,20,41,25,18,22
Mexico-Sonora,0,11,24,34,51,26,25,17,12,26,24,18,8,22,18,14,12,11,8,7,7,13,7,5,2,4,4,2,2,5,11,9,7,5,6,5,3,8,5,5,5,4,3,6,6,9,6,10,8,5,0,5
