CITY,03/01/2016,10/01/2016,17/01/2016,24/01/2016,31/01/2016,07/02/2016,14/02/2016,21/02/2016,28/02/2016,06/03/2016,13/03/2016,20/03/2016,27/03/2016,03/04/2016,10/04/2016,17/04/2016,24/04/2016,01/05/2016,08/05/2016,15/05/2016,22/05/2016,29/05/2016,05/06/2016,12/06/2016,19/06/2016,26/06/2016,03/07/2016,10/07/2016,17/07/2016,24/07/2016,31/07/2016,07/08/2016,14/08/2016,21/08/2016,28/08/2016,04/09/2016,11/09/2016,18/09/2016,25/09/2016,02/10/2016,09/10/2016,16/10/2016,23/10/2016,30/10/2016,06/11/2016,13/11/2016,20/11/2016,27/11/2016,04/12/2016,11/12/2016,18/12/2016,25/12/2016
Mexico-Aguascalientes,10,11,19,35,65,22,31,14,14,16,23,35,24,12,15,32,12,10,16,11,9,9,7,3,3,5,3,0,0,4,7,12,4,7,8,10,3,11,4,4,5,4,3,3,7,8,5,6,11,10,0,0
Mexico-Baja_California,3,3,21,34,49,24,20,11,11,19,24,26,16,18,15,14,10,10,10,9,13,7,5,6,6,2,3,4,2,4,8,6,5,5,4,5,4,2,3,4,4,4,5,4,6,9,3,5,4,4,7,0
Mexico-Baja_California_Sur,0,19,44,42,63,31,31,24,18,41,58,37,99,16,65,55,29,41,25,32,15,20,17,9,18,9,9,5,9,15,21,11,11,7,12,3,16,7,9,10,18,22,30,35,32,45,42,22,68,23,41,47
Mexico-Campeche,0,24,15,34,66,42,27,26,22,59,26,44,21,16,41,35,33,15,30,63,33,16,32,25,25,9,12,29,17,64,78,89,60,70,86,100,92,64,44,36,26,25,42,23,23,17,41,12,0,42,30,51
Mexico-Chiapas,100,100,71,59,74,60,78,45,61,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,86,75,55,53,54,50,53,20,19,16,13,13,10,10,11,11,14,8,8,21,27,11,13,14,7,10,8
Mexico-Chihuahua,4,5,16,31,62,23,34,12,13,23,32,26,20,9,19,11,7,16,11,11,10,8,3,5,3,2,5,3,2,5,5,3,2,4,6,7,7,6,2,2,4,2,3,5,2,3,0,5,6,0,11,4
Mexico-Coahuila_de_Zaragoza,5,11,15,44,49,28,29,13,19,29,42,25,19,15,16,16,14,9,8,14,13,9,6,3,13,3,3,3,2,3,6,5,3,9,4,9,4,4,4,4,6,3,3,9,8,9,10,0,10,7,6,5
Mexico-Colima,32,34,22,61,82,54,89,38,37,100,97,54,38,83,39,17,31,0,18,30,13,21,20,14,10,16,12,6,6,26,10,24,28,52,58,86,95,100,100,100,100,100,62,98,53,27,42,35,54,39,76,60
Mexico-Durango,0,0,20,34,65,36,24,21,14,31,29,25,20,20,8,10,9,23,24,10,11,10,10,4,13,3,0,3,5,7,4,4,8,8,6,7,6,4,4,8,9,5,4,6,4,7,0,10,13,12,0,0
Mexico-Guanajuato,3,11,23,34,50,18,20,14,20,21,20,20,13,21,21,17,21,7,11,12,10,6,8,6,2,5,3,3,2,3,7,9,6,7,7,4,5,3,3,4,4,1,2,4,5,5,5,4,6,7,12,8
Mexico-Guerrero,11,16,37,47,71,100,100,35,51,57,86,48,43,40,41,29,23,34,36,36,37,40,44,45,78,100,100,100,100,100,100,86,75,41,43,38,38,36,20,20,29,25,28,33,29,44,47,52,67,33,31,33
