CITY,07/01/2017,14/01/2017,21/01/2017,28/01/2017,04/02/2017,11/02/2017,18/02/2017,25/02/2017,04/03/2017,11/03/2017,18/03/2017,25/03/2017,01/04/2017,08/04/2017,15/04/2017,22/04/2017,29/04/2017,06/05/2017,13/05/2017,20/05/2017,27/05/2017,03/06/2017,10/06/2017,17/06/2017,24/06/2017,01/07/2017,08/07/2017,15/07/2017,22/07/2017,29/07/2017,05/08/2017,12/08/2017,19/08/2017,26/08/2017,02/09/2017,09/09/2017,16/09/2017,23/09/2017,30/09/2017,07/10/2017,14/10/2017,21/10/2017,28/10/2017,04/11/2017,11/11/2017,18/11/2017,25/11/2017,02/12/2017
Mexico-Aguascalientes,0,0,14,21,14,0,14,0,0,28,23,0,0,25,26,0,0,17,0,0,14,0,43,28,15,0,0,0,9,0,0,9,10,8,9,6,0,0,0,3,0,2,4,0,2,3,7,0
Mexico-Baja_California,3,7,6,18,10,11,14,12,6,5,13,26,8,11,15,6,7,12,9,6,8,6,0,6,4,4,5,7,4,3,6,4,6,4,7,6,3,3,3,4,2,0,0,1,2,2,2,5
Mexico-Baja_California_Sur,45,53,63,33,44,30,54,100,29,58,0,30,32,39,60,46,31,0,100,31,35,20,35,46,46,37,0,49,14,17,25,0,17,0,25,37,15,8,11,6,4,6,11,3,15,4,10,0
Mexico-Campeche,48,0,56,42,30,41,30,49,79,0,0,82,15,0,0,0,22,0,0,0,0,26,46,58,60,0,23,33,20,23,0,41,21,0,0,12,0,10,0,0,0,5,0,4,5,5,0,0
Mexico-Chiapas,16,9,36,14,14,79,33,51,70,19,22,45,22,19,28,27,14,11,26,46,39,18,30,30,16,22,24,23,13,30,11,14,14,12,13,9,9,11,3,5,2,2,0,3,6,3,7,23
Mexico-Chihuahua,5,5,8,9,0,0,0,17,23,8,0,8,3,0,22,12,0,7,6,8,0,5,9,9,0,7,9,19,0,4,13,8,8,3,8,7,3,4,2,1,0,2,3,0,2,1,1,0
Mexico-Coahuila_de_Zaragoza,17,6,6,0,7,19,11,0,9,0,22,10,7,0,13,15,5,0,8,0,0,0,0,7,8,8,0,0,5,5,5,5,0,15,62,47,35,52,33,39,19,13,12,9,9,5,5,8
Mexico-Colima,30,36,0,81,0,0,36,56,47,98,0,100,55,0,0,100,51,0,0,99,34,33,56,37,38,0,30,44,0,28,0,24,27,43,24,15,12,13,0,9,6,6,10,5,5,12,7,0
Mexico-Durango,0,0,16,0,18,0,18,0,23,23,0,0,0,0,34,0,13,0,0,0,0,16,28,19,0,21,0,0,0,0,0,12,13,0,12,22,0,0,0,9,7,3,0,5,3,3,4,0
Mexico-Guanajuato,5,4,8,9,15,9,6,6,8,0,0,9,4,8,8,12,0,5,0,6,9,4,7,0,6,18,3,11,4,6,6,3,17,12,22,18,9,12,8,6,2,1,4,3,1,2,2,7
