BahiaCases,BahiaSearches
125,56
110,100
121,31
129,12
178,58
257,68
468,36
450,13
723,75
741,100
1013,17
1757,29
1618,12
2102,33
4462,14
3191,100
4795,100
5853,63
4795,79
4492,100
3282,90
2828,100
2677,100
2299,100
2374,100
2359,45
3282,50
3963,44
3252,65
2677,48
1921,57
1542,44
1149,70
937,14
786,18
710,66
541,52
523,21
541,11
378,13
323,13
432,39
432,10
505,31
614,48
813,58
904,34
1249,34
1340,47
1249,30
1249,16
723,19
1521,30
1902,25
1921,37
2465,37
3191,53
4462,74
6610,71
6458,82
5097,62
3736,81
2828,72
1812,74
1618,66
862,58
589,31
408,44
305,60
272,49
124,54
124,42
