coordinates,date,precipProbability,precipIntensity,avgTemp,humidity,pressure,Searches,Cases
-12.9711;-38.5108,10/01/2015,NA,NA,26.945,0.7,NA,56,125
-12.9711;-38.5108,17/01/2015,NA,NA,27.65857143,0.702857143,NA,100,110
-12.9711;-38.5108,24/01/2015,NA,NA,27.34142857,0.711428571,NA,31,121
-12.9711;-38.5108,31/01/2015,NA,NA,27.65857143,0.702857143,NA,12,129
-12.9711;-38.5108,07/02/2015,NA,NA,27.42071429,0.72,NA,58,178
-12.9711;-38.5108,14/02/2015,NA,NA,27.14285714,0.74,NA,68,257
-12.9711;-38.5108,21/02/2015,NA,NA,26.07285714,0.777142857,NA,36,468
-12.9711;-38.5108,28/02/2015,NA,NA,27.22214286,0.732857143,NA,13,450
-12.9711;-38.5108,07/03/2015,NA,NA,27.26214286,0.695714286,NA,75,723
-12.9711;-38.5108,14/03/2015,NA,NA,27.42071429,0.677142857,NA,100,741
-12.9711;-38.5108,21/03/2015,NA,NA,27.81714286,0.721428571,NA,17,1013
-12.9711;-38.5108,28/03/2015,NA,NA,26.94428571,0.657142857,NA,29,1757
-12.9711;-38.5108,04/04/2015,NA,NA,27.14285714,0.75,NA,12,1618
-12.9711;-38.5108,11/04/2015,NA,NA,27.34142857,0.71,NA,33,2102
-12.9711;-38.5108,18/04/2015,NA,NA,27.42071429,0.741428571,NA,14,4462
-12.9711;-38.5108,25/04/2015,NA,NA,25.715,0.804285714,NA,100,3191
-12.9711;-38.5108,02/05/2015,NA,NA,25.67857143,0.78,NA,100,4795
-12.9711;-38.5108,09/05/2015,NA,NA,25.99285714,0.818571429,NA,63,5853
-12.9711;-38.5108,16/05/2015,NA,NA,25.79428571,0.765714286,NA,79,4795
-12.9711;-38.5108,23/05/2015,NA,NA,26.31,0.734285714,NA,100,4492
-12.9711;-38.5108,30/05/2015,NA,NA,26.19142857,0.768571429,NA,90,3282
-12.9711;-38.5108,06/06/2015,NA,NA,25.59642857,0.784285714,NA,100,2828
-12.9711;-38.5108,13/06/2015,NA,NA,25.59571429,0.761428571,NA,100,2677
-12.9711;-38.5108,20/06/2015,NA,NA,25.27785714,0.727142857,NA,100,2299
-12.9711;-38.5108,27/06/2015,NA,NA,25.19785714,0.76,NA,100,2374
