Entidad,Fecha,Altura,Busquedas,Precipitacion,Temp,Casos
Mexico-Aguascalientes,02/01/2016,1926,0,4.4,12.1,0
Mexico-Aguascalientes,09/01/2016,1926,0,4.4,12.1,0
Mexico-Aguascalientes,16/01/2016,1926,25,4.4,12.1,0
Mexico-Aguascalientes,23/01/2016,1926,42,4.4,12.1,0
Mexico-Aguascalientes,30/01/2016,1926,71,4.4,12.1,0
Mexico-Aguascalientes,06/02/2016,1926,38,9.6,15,0
Mexico-Aguascalientes,13/02/2016,1926,36,9.6,15,0
Mexico-Aguascalientes,20/02/2016,1926,22,9.6,15,0
Mexico-Aguascalientes,27/02/2016,1926,19,9.6,15,0
Mexico-Aguascalientes,05/03/2016,1926,18,12.7,17,0
Mexico-Aguascalientes,12/03/2016,1926,12,12.7,17,0
Mexico-Aguascalientes,19/03/2016,1926,49,12.7,17,0
Mexico-Aguascalientes,26/03/2016,1926,25,12.7,17,0
Mexico-Aguascalientes,02/04/2016,1926,31,1.7,19.8,0
Mexico-Aguascalientes,09/04/2016,1926,24,1.7,19.8,0
Mexico-Aguascalientes,16/04/2016,1926,16,1.7,19.8,0
Mexico-Aguascalientes,23/04/2016,1926,15,1.7,19.8,0
Mexico-Aguascalientes,30/04/2016,1926,10,1.7,19.8,0
Mexico-Aguascalientes,07/05/2016,1926,21,6.3,23.3,0
Mexico-Aguascalientes,14/05/2016,1926,17,6.3,23.3,0
Mexico-Aguascalientes,21/05/2016,1926,14,6.3,23.3,0
Mexico-Aguascalientes,28/05/2016,1926,7,6.3,23.3,0
Mexico-Aguascalientes,04/06/2016,1926,7,71,21.9,0
Mexico-Aguascalientes,11/06/2016,1926,0,71,21.9,0
Mexico-Aguascalientes,18/06/2016,1926,0,71,21.9,0
Mexico-Aguascalientes,25/06/2016,1926,6,71,21.9,0
Mexico-Aguascalientes,02/07/2016,1926,3,172.7,21,0
Mexico-Aguascalientes,09/07/2016,1926,9,172.7,21,0
Mexico-Aguascalientes,16/07/2016,1926,3,172.7,21,0
Mexico-Aguascalientes,23/07/2016,1926,0,172.7,21,0
Mexico-Aguascalientes,30/07/2016,1926,7,172.7,21,0
Mexico-Aguascalientes,06/08/2016,1926,7,193.6,20.6,0
Mexico-Aguascalientes,13/08/2016,1926,10,193.6,20.6,0
Mexico-Aguascalientes,20/08/2016,1926,5,193.6,20.6,0
Mexico-Aguascalientes,27/08/2016,1926,6,193.6,20.6,0
Mexico-Aguascalientes,03/09/2016,1926,5,62,20.2,1
Mexico-Aguascalientes,10/09/2016,1926,7,62,20.2,0
Mexico-Aguascalientes,17/09/2016,1926,8,62,20.2,0
Mexico-Aguascalientes,24/09/2016,1926,8,62,20.2,0
Mexico-Aguascalientes,01/10/2016,1926,3,8.7,18.8,0
Mexico-Aguascalientes,08/10/2016,1926,9,8.7,18.8,0
Mexico-Aguascalientes,15/10/2016,1926,5,8.7,18.8,0
Mexico-Aguascalientes,22/10/2016,1926,0,8.7,18.8,0
Mexico-Aguascalientes,29/10/2016,1926,6,8.7,18.8,0
Mexico-Aguascalientes,05/11/2016,1926,5,30.1,15.9,0
Mexico-Aguascalientes,12/11/2016,1926,5,30.1,15.9,3
Mexico-Aguascalientes,19/11/2016,1926,6,30.1,15.9,0
Mexico-Aguascalientes,26/11/2016,1926,11,30.1,15.9,0
Mexico-Aguascalientes,03/12/2016,1926,0,2.1,15.1,0
Mexico-Aguascalientes,10/12/2016,1926,11,2.1,15.1,0
Mexico-Aguascalientes,17/12/2016,1926,0,2.1,15.1,0
Mexico-Aguascalientes,24/12/2016,1926,10,2.1,15.1,0
Mexico-Baja_California,02/01/2016,3070,0,44.3,13.8,0
Mexico-Baja_California,09/01/2016,3070,11,44.3,13.8,0
Mexico-Baja_California,16/01/2016,3070,22,44.3,13.8,0
Mexico-Baja_California,23/01/2016,3070,34,44.3,13.8,0
Mexico-Baja_California,30/01/2016,3070,54,44.3,13.8,0
Mexico-Baja_California,06/02/2016,3070,29,0.1,18.8,0
Mexico-Baja_California,13/02/2016,3070,22,0.1,18.8,0
Mexico-Baja_California,20/02/2016,3070,12,0.1,18.8,0
Mexico-Baja_California,27/02/2016,3070,16,0.1,18.8,0
