Entidad,Fecha,Altura,Busquedas,Precipitacion,Temp,Casos
Mexico-Aguascalientes,07/01/2017,1926,0,0.4,13.8,0
Mexico-Aguascalientes,14/01/2017,1926,0,0.4,13.8,0
Mexico-Aguascalientes,21/01/2017,1926,14,0.4,13.8,0
Mexico-Aguascalientes,28/01/2017,1926,21,0.4,13.8,0
Mexico-Aguascalientes,04/02/2017,1926,14,2.1,14.7,0
Mexico-Aguascalientes,11/02/2017,1926,0,2.1,14.7,0
Mexico-Aguascalientes,18/02/2017,1926,14,2.1,14.7,0
Mexico-Aguascalientes,25/02/2017,1926,0,2.1,14.7,0
Mexico-Aguascalientes,04/03/2017,1926,0,6.7,17.9,0
Mexico-Aguascalientes,11/03/2017,1926,28,6.7,17.9,0
Mexico-Aguascalientes,18/03/2017,1926,23,6.7,17.9,0
Mexico-Aguascalientes,25/03/2017,1926,0,6.7,17.9,0
Mexico-Aguascalientes,01/04/2017,1926,0,0.4,18.8,0
Mexico-Aguascalientes,08/04/2017,1926,25,0.4,18.8,0
Mexico-Aguascalientes,15/04/2017,1926,26,0.4,18.8,0
Mexico-Aguascalientes,22/04/2017,1926,0,0.4,18.8,0
Mexico-Aguascalientes,29/04/2017,1926,0,0.4,18.8,0
Mexico-Aguascalientes,06/05/2017,1926,17,4.2,21.8,0
Mexico-Aguascalientes,13/05/2017,1926,0,4.2,21.8,0
Mexico-Aguascalientes,20/05/2017,1926,0,4.2,21.8,0
Mexico-Aguascalientes,27/05/2017,1926,14,4.2,21.8,0
Mexico-Aguascalientes,03/06/2017,1926,0,43.5,23.5,0
Mexico-Aguascalientes,10/06/2017,1926,43,43.5,23.5,0
Mexico-Aguascalientes,17/06/2017,1926,28,43.5,23.5,0
Mexico-Aguascalientes,24/06/2017,1926,15,43.5,23.5,0
Mexico-Aguascalientes,01/07/2017,1926,0,169.3,20.3,0
Mexico-Aguascalientes,08/07/2017,1926,0,169.3,20.3,0
Mexico-Aguascalientes,15/07/2017,1926,0,169.3,20.3,0
Mexico-Aguascalientes,22/07/2017,1926,9,169.3,20.3,0
Mexico-Aguascalientes,29/07/2017,1926,0,169.3,20.3,0
Mexico-Aguascalientes,05/08/2017,1926,0,143.8,21.3,0
Mexico-Aguascalientes,12/08/2017,1926,9,143.8,21.3,0
Mexico-Aguascalientes,19/08/2017,1926,10,143.8,21.3,0
Mexico-Aguascalientes,26/08/2017,1926,8,143.8,21.3,0
Mexico-Aguascalientes,02/09/2017,1926,9,159.5,20,0
Mexico-Aguascalientes,09/09/2017,1926,6,159.5,20,0
Mexico-Aguascalientes,16/09/2017,1926,0,159.5,20,0
Mexico-Aguascalientes,23/09/2017,1926,0,159.5,20,0
Mexico-Aguascalientes,30/09/2017,1926,0,159.5,20,0
Mexico-Aguascalientes,07/10/2017,1926,3,21.8,17.8,0
Mexico-Aguascalientes,14/10/2017,1926,0,21.8,17.8,0
Mexico-Aguascalientes,21/10/2017,1926,2,21.8,17.8,0
Mexico-Aguascalientes,28/10/2017,1926,4,21.8,17.8,0
Mexico-Aguascalientes,04/11/2017,1926,0,0.1,16.3,0
Mexico-Aguascalientes,11/11/2017,1926,2,0.1,16.3,0
Mexico-Aguascalientes,18/11/2017,1926,3,0.1,16.3,0
Mexico-Baja_California,07/01/2017,3070,3,53.6,13.7,0
Mexico-Baja_California,14/01/2017,3070,7,53.6,13.7,0
Mexico-Baja_California,21/01/2017,3070,6,53.6,13.7,1
Mexico-Baja_California,28/01/2017,3070,18,53.6,13.7,0
Mexico-Baja_California,04/02/2017,3070,10,44.9,15.5,0
Mexico-Baja_California,11/02/2017,3070,11,44.9,15.5,0
Mexico-Baja_California,18/02/2017,3070,14,44.9,15.5,0
Mexico-Baja_California,25/02/2017,3070,12,44.9,15.5,0
Mexico-Baja_California,04/03/2017,3070,6,1.4,19.2,0
Mexico-Baja_California,11/03/2017,3070,5,1.4,19.2,0
Mexico-Baja_California,18/03/2017,3070,13,1.4,19.2,0
Mexico-Baja_California,25/03/2017,3070,26,1.4,19.2,0
Mexico-Baja_California,01/04/2017,3070,8,0,20.4,0
Mexico-Baja_California,08/04/2017,3070,11,0,20.4,0
Mexico-Baja_California,15/04/2017,3070,15,0,20.4,1
Mexico-Baja_California,22/04/2017,3070,6,0,20.4,0
Mexico-Baja_California,29/04/2017,3070,7,0,20.4,0
Mexico-Baja_California,06/05/2017,3070,12,7.9,22.7,0
Mexico-Baja_California,13/05/2017,3070,9,7.9,22.7,0
Mexico-Baja_California,20/05/2017,3070,6,7.9,22.7,0
Mexico-Baja_California,27/05/2017,3070,8,7.9,22.7,1
Mexico-Baja_California,03/06/2017,3070,6,0.2,26.4,0
Mexico-Baja_California,10/06/2017,3070,0,0.2,26.4,0
Mexico-Baja_California,17/06/2017,3070,6,0.2,26.4,0
Mexico-Baja_California,24/06/2017,3070,4,0.2,26.4,0
Mexico-Baja_California,01/07/2017,3070,4,2.9,29.3,0
Mexico-Baja_California,08/07/2017,3070,5,2.9,29.3,0
Mexico-Baja_California,15/07/2017,3070,7,2.9,29.3,0
Mexico-Baja_California,22/07/2017,3070,4,2.9,29.3,0
Mexico-Baja_California,29/07/2017,3070,3,2.9,29.3,0
Mexico-Baja_California,05/08/2017,3070,6,7.1,29,0
Mexico-Baja_California,12/08/2017,3070,4,7.1,29,0
Mexico-Baja_California,19/08/2017,3070,6,7.1,29,0
Mexico-Baja_California,26/08/2017,3070,4,7.1,29,0
Mexico-Baja_California,02/09/2017,3070,7,9.6,25.5,0
Mexico-Baja_California,09/09/2017,3070,6,9.6,25.5,0
Mexico-Baja_California,16/09/2017,3070,3,9.6,25.5,1
Mexico-Baja_California,23/09/2017,3070,3,9.6,25.5,0
Mexico-Baja_California,30/09/2017,3070,3,9.6,25.5,0
Mexico-Baja_California,07/10/2017,3070,4,0,23.2,0
Mexico-Baja_California,14/10/2017,3070,2,0,23.2,0
Mexico-Baja_California,21/10/2017,3070,0,0,23.2,0
Mexico-Baja_California,28/10/2017,3070,0,0,23.2,0
Mexico-Baja_California,04/11/2017,3070,1,1.4,19.2,0
Mexico-Baja_California,11/11/2017,3070,2,1.4,19.2,0
Mexico-Baja_California,18/11/2017,3070,2,1.4,19.2,0
Mexico-Baja_California_Sur,07/01/2017,239,45,8.4,17.8,0
Mexico-Baja_California_Sur,14/01/2017,239,53,8.4,17.8,0
Mexico-Baja_California_Sur,21/01/2017,239,63,8.4,17.8,0
Mexico-Baja_California_Sur,28/01/2017,239,33,8.4,17.8,0
Mexico-Baja_California_Sur,04/02/2017,239,44,18.4,19.3,0
Mexico-Baja_California_Sur,11/02/2017,239,30,18.4,19.3,0
Mexico-Baja_California_Sur,18/02/2017,239,54,18.4,19.3,0
Mexico-Baja_California_Sur,25/02/2017,239,100,18.4,19.3,0
Mexico-Baja_California_Sur,04/03/2017,239,29,0.5,21.8,0
Mexico-Baja_California_Sur,11/03/2017,239,58,0.5,21.8,0
Mexico-Baja_California_Sur,18/03/2017,239,0,0.5,21.8,0
Mexico-Baja_California_Sur,25/03/2017,239,30,0.5,21.8,0
Mexico-Baja_California_Sur,01/04/2017,239,32,0.1,23.1,0
Mexico-Baja_California_Sur,08/04/2017,239,39,0.1,23.1,0
Mexico-Baja_California_Sur,15/04/2017,239,60,0.1,23.1,0
Mexico-Baja_California_Sur,22/04/2017,239,46,0.1,23.1,0
Mexico-Baja_California_Sur,29/04/2017,239,31,0.1,23.1,0
Mexico-Baja_California_Sur,06/05/2017,239,0,1.6,23.7,0
Mexico-Baja_California_Sur,13/05/2017,239,100,1.6,23.7,0
Mexico-Baja_California_Sur,20/05/2017,239,31,1.6,23.7,0
Mexico-Baja_California_Sur,27/05/2017,239,35,1.6,23.7,0
Mexico-Baja_California_Sur,03/06/2017,239,20,1.9,26.6,0
Mexico-Baja_California_Sur,10/06/2017,239,35,1.9,26.6,0
Mexico-Baja_California_Sur,17/06/2017,239,46,1.9,26.6,0
Mexico-Baja_California_Sur,24/06/2017,239,46,1.9,26.6,0
Mexico-Baja_California_Sur,01/07/2017,239,37,12.1,29.8,0
Mexico-Baja_California_Sur,08/07/2017,239,0,12.1,29.8,0
Mexico-Baja_California_Sur,15/07/2017,239,49,12.1,29.8,0
Mexico-Baja_California_Sur,22/07/2017,239,14,12.1,29.8,0
Mexico-Baja_California_Sur,29/07/2017,239,17,12.1,29.8,0
Mexico-Baja_California_Sur,05/08/2017,239,25,68.3,30.8,0
Mexico-Baja_California_Sur,12/08/2017,239,0,68.3,30.8,0
Mexico-Baja_California_Sur,19/08/2017,239,17,68.3,30.8,0
Mexico-Baja_California_Sur,26/08/2017,239,0,68.3,30.8,1
Mexico-Baja_California_Sur,02/09/2017,239,25,59,28.3,1
Mexico-Baja_California_Sur,09/09/2017,239,37,59,28.3,0
Mexico-Baja_California_Sur,16/09/2017,239,15,59,28.3,2
Mexico-Baja_California_Sur,23/09/2017,239,8,59,28.3,0
Mexico-Baja_California_Sur,30/09/2017,239,11,59,28.3,1
