City,Searches,Rain,Temp,Cases
Mexico-Quintana_Roo,18,113.9,26.5,0
Mexico-Quintana_Roo,45,9.5,26.6,1
Mexico-Quintana_Roo,100,9.5,26.6,0
Mexico-Quintana_Roo,100,241,29.5,0
Mexico-Quintana_Roo,40,94.2,28.8,0
Mexico-Quintana_Roo,94,76.5,28.2,0
Mexico-Quintana_Roo,11,94,25.4,0
Mexico-Quintana_Roo,19,205.1,29.9,0
Mexico-Quintana_Roo,0,113.9,26.5,0
Mexico-Quintana_Roo,76,79.5,28.2,40
Mexico-Quintana_Roo,48,27.5,28.6,0
Mexico-Quintana_Roo,22,94.2,28.8,0
Mexico-Quintana_Roo,0,76.5,28.2,0
Mexico-Quintana_Roo,57,211.6,29.8,3
Mexico-Quintana_Roo,25,205.1,29.9,0
Mexico-Quintana_Roo,13,113.9,26.5,0
Mexico-Quintana_Roo,14,94,25.4,0
Mexico-Quintana_Roo,47,76.5,28.2,0
Mexico-Quintana_Roo,100,25.6,26.4,1
Mexico-Quintana_Roo,72,211.6,29.8,6
Mexico-Quintana_Roo,65,35.2,26.5,8
Mexico-Quintana_Roo,33,55.9,26.9,0
Mexico-Quintana_Roo,100,64.1,29.7,0
Mexico-Quintana_Roo,93,43.1,26.9,4
Mexico-Quintana_Roo,28,55.9,26.9,0
Mexico-Quintana_Roo,52,79.5,28.2,41
Mexico-Quintana_Roo,70,79.5,28.2,36
Mexico-Quintana_Roo,76,30.5,25.4,1
Mexico-Quintana_Roo,51,274,27.6,2
Mexico-Quintana_Roo,100,64.1,29.7,0
Mexico-Quintana_Roo,22,27.5,28.6,0
Mexico-Quintana_Roo,54,52.3,27.8,0
Mexico-Quintana_Roo,6,255.2,27.4,0
Mexico-Quintana_Roo,100,25.6,26.4,0
Mexico-Quintana_Roo,74,52.3,27.8,0
Mexico-Quintana_Roo,59,274,27.6,1
Mexico-Quintana_Roo,0,64.8,24.3,0
Mexico-Quintana_Roo,13,94,25.4,0
Mexico-Quintana_Roo,14,224.8,27,0
Mexico-Quintana_Roo,36,40.8,23.6,0
Mexico-Quintana_Roo,9,255.2,27.4,0
Mexico-Quintana_Roo,38,113.9,26.5,0
Mexico-Quintana_Roo,20,94.2,28.8,0
Mexico-Quintana_Roo,11,240,29.6,1
Mexico-Quintana_Roo,100,43.1,26.9,0
Mexico-Quintana_Roo,71,79.5,28.2,14
Mexico-Quintana_Roo,33,94.2,28.8,0
Mexico-Quintana_Roo,50,52.3,27.8,0
Mexico-Quintana_Roo,53,274,27.6,0
Mexico-Quintana_Roo,85,9.5,26.6,0
Mexico-Quintana_Roo,19,30.5,25.4,0
Mexico-Quintana_Roo,64,25.6,26.4,0
Mexico-Quintana_Roo,100,43.1,26.9,3
Mexico-Quintana_Roo,47,55.9,26.9,0
Mexico-Quintana_Roo,16,240,29.6,0
Mexico-Quintana_Roo,100,130.5,29.7,17
Mexico-Quintana_Roo,100,211.6,29.8,6
Mexico-Quintana_Roo,100,111,29.8,0
Mexico-Quintana_Roo,19,240,29.6,0
Mexico-Quintana_Roo,67,130.5,29.7,52
Mexico-Quintana_Roo,39,9.5,26.6,0
Mexico-Quintana_Roo,47,52.3,27.8,0
