Entidad,Fecha,Altura,Busquedas,Precipitacion,Temp,Casos
Mexico-Veracruz_de_Ignacio_de_la_Llave,02/01/2016,10,9,29.6,18.3,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,09/01/2016,10,28,29.6,18.3,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,16/01/2016,10,35,29.6,18.3,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,23/01/2016,10,47,29.6,18.3,1
Mexico-Veracruz_de_Ignacio_de_la_Llave,30/01/2016,10,71,29.6,18.3,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,06/02/2016,10,39,22.5,19.1,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,13/02/2016,10,64,22.5,19.1,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,20/02/2016,10,31,22.5,19.1,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,27/02/2016,10,40,22.5,19.1,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,05/03/2016,10,58,39,23.3,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,12/03/2016,10,57,39,23.3,1
Mexico-Veracruz_de_Ignacio_de_la_Llave,19/03/2016,10,34,39,23.3,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,26/03/2016,10,47,39,23.3,2
Mexico-Veracruz_de_Ignacio_de_la_Llave,02/04/2016,10,50,30.3,25.4,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,09/04/2016,10,39,30.3,25.4,1
Mexico-Veracruz_de_Ignacio_de_la_Llave,16/04/2016,10,20,30.3,25.4,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,23/04/2016,10,21,30.3,25.4,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,30/04/2016,10,21,30.3,25.4,2
Mexico-Veracruz_de_Ignacio_de_la_Llave,07/05/2016,10,20,35.5,27.1,1
Mexico-Veracruz_de_Ignacio_de_la_Llave,14/05/2016,10,17,35.5,27.1,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,21/05/2016,10,14,35.5,27.1,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,28/05/2016,10,8,35.5,27.1,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,04/06/2016,10,14,206.2,25.8,3
Mexico-Veracruz_de_Ignacio_de_la_Llave,11/06/2016,10,12,206.2,25.8,1
Mexico-Veracruz_de_Ignacio_de_la_Llave,18/06/2016,10,11,206.2,25.8,1
Mexico-Veracruz_de_Ignacio_de_la_Llave,25/06/2016,10,12,206.2,25.8,9
Mexico-Veracruz_de_Ignacio_de_la_Llave,02/07/2016,10,5,214.8,25.8,15
Mexico-Veracruz_de_Ignacio_de_la_Llave,09/07/2016,10,12,214.8,25.8,18
Mexico-Veracruz_de_Ignacio_de_la_Llave,16/07/2016,10,13,214.8,25.8,43
Mexico-Veracruz_de_Ignacio_de_la_Llave,23/07/2016,10,20,214.8,25.8,74
Mexico-Veracruz_de_Ignacio_de_la_Llave,30/07/2016,10,53,214.8,25.8,42
Mexico-Veracruz_de_Ignacio_de_la_Llave,06/08/2016,10,82,267.3,25.6,91
Mexico-Veracruz_de_Ignacio_de_la_Llave,13/08/2016,10,100,267.3,25.6,85
Mexico-Veracruz_de_Ignacio_de_la_Llave,20/08/2016,10,100,267.3,25.6,114
Mexico-Veracruz_de_Ignacio_de_la_Llave,27/08/2016,10,100,267.3,25.6,173
Mexico-Veracruz_de_Ignacio_de_la_Llave,03/09/2016,10,78,255.9,25,36
Mexico-Veracruz_de_Ignacio_de_la_Llave,10/09/2016,10,97,255.9,25,97
Mexico-Veracruz_de_Ignacio_de_la_Llave,17/09/2016,10,98,255.9,25,195
Mexico-Veracruz_de_Ignacio_de_la_Llave,24/09/2016,10,60,255.9,25,102
Mexico-Veracruz_de_Ignacio_de_la_Llave,01/10/2016,10,45,223.3,23.7,103
Mexico-Veracruz_de_Ignacio_de_la_Llave,08/10/2016,10,45,223.3,23.7,182
Mexico-Veracruz_de_Ignacio_de_la_Llave,15/10/2016,10,37,223.3,23.7,123
Mexico-Veracruz_de_Ignacio_de_la_Llave,22/10/2016,10,35,223.3,23.7,61
Mexico-Veracruz_de_Ignacio_de_la_Llave,29/10/2016,10,30,223.3,23.7,135
Mexico-Veracruz_de_Ignacio_de_la_Llave,05/11/2016,10,36,113.3,21.8,28
Mexico-Veracruz_de_Ignacio_de_la_Llave,12/11/2016,10,38,113.3,21.8,11
Mexico-Veracruz_de_Ignacio_de_la_Llave,19/11/2016,10,33,113.3,21.8,9
Mexico-Veracruz_de_Ignacio_de_la_Llave,26/11/2016,10,25,113.3,21.8,8
Mexico-Veracruz_de_Ignacio_de_la_Llave,03/12/2016,10,42,96.1,21.4,16
