country,year,week,date,conf,susp,total
Barbados,2015,38,26/09/2015,,,NA
Barbados,2015,39,03/10/2015,,,NA
Barbados,2015,40,10/10/2015,,,NA
Barbados,2015,41,17/10/2015,,,NA
Barbados,2015,42,24/10/2015,,,NA
Barbados,2015,43,31/10/2015,,,NA
Barbados,2015,44,07/11/2015,,,NA
Barbados,2015,45,14/11/2015,,,NA
Barbados,2015,46,21/11/2015,,,NA
Barbados,2015,47,28/11/2015,,,NA
Barbados,2015,48,05/12/2015,,,NA
Barbados,2015,49,12/12/2015,,,NA
Barbados,2015,50,19/12/2015,,,NA
Barbados,2015,51,26/12/2015,,,NA
Barbados,2015,52,02/01/2016,,,NA
Barbados,2016,1,09/01/2016,3,12,15
Barbados,2016,2,16/01/2016,0,32,32
Barbados,2016,3,23/01/2016,0,54,54
Barbados,2016,4,30/01/2016,0,74,74
Barbados,2016,5,06/02/2016,0,83,83
Barbados,2016,6,13/02/2016,4,36,40
Barbados,2016,7,20/02/2016,0,23,23
Barbados,2016,8,27/02/2016,0,2,2
