country,state,year,week,date,conf,susp,total
Brazil,Bahia,2015,1,10/01/2015,NA,125,125
Brazil,Bahia,2015,2,17/01/2015,NA,110,110
Brazil,Bahia,2015,3,24/01/2015,NA,121,121
Brazil,Bahia,2015,4,31/01/2015,NA,129,129
Brazil,Bahia,2015,5,07/02/2015,NA,178,178
Brazil,Bahia,2015,6,14/02/2015,NA,257,257
Brazil,Bahia,2015,7,21/02/2015,NA,468,468
Brazil,Bahia,2015,8,28/02/2015,NA,450,450
Brazil,Bahia,2015,9,07/03/2015,NA,723,723
Brazil,Bahia,2015,10,14/03/2015,NA,741,741
Brazil,Bahia,2015,11,21/03/2015,NA,1013,1013
Brazil,Bahia,2015,12,28/03/2015,NA,1757,1757
Brazil,Bahia,2015,13,04/04/2015,NA,1618,1618
Brazil,Bahia,2015,14,11/04/2015,NA,2102,2102
Brazil,Bahia,2015,15,18/04/2015,NA,4462,4462
Brazil,Bahia,2015,16,25/04/2015,NA,3191,3191
Brazil,Bahia,2015,17,02/05/2015,NA,4795,4795
Brazil,Bahia,2015,18,09/05/2015,NA,5853,5853
Brazil,Bahia,2015,19,16/05/2015,NA,4795,4795
Brazil,Bahia,2015,20,23/05/2015,NA,4492,4492
Brazil,Bahia,2015,21,30/05/2015,NA,3282,3282
Brazil,Bahia,2015,22,06/06/2015,NA,2828,2828
Brazil,Bahia,2015,23,13/06/2015,NA,2677,2677
Brazil,Bahia,2015,24,20/06/2015,NA,2299,2299
Brazil,Bahia,2015,25,27/06/2015,NA,2374,2374
Brazil,Bahia,2015,26,04/07/2015,NA,2359,2359
Brazil,Bahia,2015,27,11/07/2015,NA,3282,3282
Brazil,Bahia,2015,28,18/07/2015,NA,3963,3963
Brazil,Bahia,2015,29,25/07/2015,NA,3252,3252
Brazil,Bahia,2015,30,01/08/2015,NA,2677,2677
Brazil,Bahia,2015,31,08/08/2015,NA,1921,1921
Brazil,Bahia,2015,32,15/08/2015,NA,1542,1542
Brazil,Bahia,2015,33,22/08/2015,NA,1149,1149
Brazil,Bahia,2015,34,29/08/2015,NA,937,937
Brazil,Bahia,2015,35,05/09/2015,NA,786,786
Brazil,Bahia,2015,36,12/09/2015,NA,710,710
Brazil,Bahia,2015,37,19/09/2015,NA,541,541
Brazil,Bahia,2015,38,26/09/2015,NA,523,523
Brazil,Bahia,2015,39,03/10/2015,NA,541,541
Brazil,Bahia,2015,40,10/10/2015,NA,378,378
Brazil,Bahia,2015,41,17/10/2015,NA,323,323
Brazil,Bahia,2015,42,24/10/2015,NA,432,432
Brazil,Bahia,2015,43,31/10/2015,NA,432,432
Brazil,Bahia,2015,44,07/11/2015,NA,505,505
Brazil,Bahia,2015,45,14/11/2015,NA,614,614
Brazil,Bahia,2015,46,21/11/2015,NA,813,813
Brazil,Bahia,2015,47,28/11/2015,NA,904,904
Brazil,Bahia,2015,48,05/12/2015,NA,1249,1249
Brazil,Bahia,2015,49,12/12/2015,NA,1340,1340
Brazil,Bahia,2015,50,19/12/2015,NA,1249,1249
Brazil,Bahia,2015,51,26/12/2015,NA,1249,1249
Brazil,Bahia,2015,52,02/01/2016,NA,723,723
Brazil,Bahia,2016,1,09/01/2016,NA,1521,1521
Brazil,Bahia,2016,2,16/01/2016,NA,1902,1902
Brazil,Bahia,2016,3,23/01/2016,NA,1921,1921
Brazil,Bahia,2016,4,30/01/2016,NA,2465,2465
Brazil,Bahia,2016,5,06/02/2016,NA,3191,3191
Brazil,Bahia,2016,6,13/02/2016,NA,4462,4462
Brazil,Bahia,2016,7,20/02/2016,NA,6610,6610
Brazil,Bahia,2016,8,27/02/2016,NA,6458,6458
Brazil,Bahia,2016,9,05/03/2016,NA,5097,5097
Brazil,Bahia,2016,10,12/03/2016,NA,3736,3736
Brazil,Bahia,2016,11,19/03/2016,NA,2828,2828
Brazil,Bahia,2016,12,26/03/2016,NA,1812,1812
Brazil,Bahia,2016,13,02/04/2016,NA,1618,1618
Brazil,Bahia,2016,14,09/04/2016,NA,862,862
Brazil,Bahia,2016,15,16/04/2016,NA,589,589
Brazil,Bahia,2016,16,23/04/2016,NA,408,408
Brazil,Bahia,2016,17,30/04/2016,NA,305,305
Brazil,Bahia,2016,18,07/05/2016,NA,272,272
Brazil,Bahia,2016,19,14/05/2016,NA,124,124
Brazil,Bahia,2016,20,21/05/2016,NA,124,124
