country,state,year,week,date,conf,susp,total
Brazil,Pernambuco,2015,1,10/01/2015,NA,NA,NA
Brazil,Pernambuco,2015,2,17/01/2015,NA,NA,NA
Brazil,Pernambuco,2015,3,24/01/2015,NA,NA,NA
Brazil,Pernambuco,2015,4,31/01/2015,NA,NA,NA
Brazil,Pernambuco,2015,5,07/02/2015,NA,NA,NA
Brazil,Pernambuco,2015,6,14/02/2015,NA,NA,NA
Brazil,Pernambuco,2015,7,21/02/2015,NA,NA,NA
Brazil,Pernambuco,2015,8,28/02/2015,NA,NA,NA
Brazil,Pernambuco,2015,9,07/03/2015,NA,NA,NA
Brazil,Pernambuco,2015,10,14/03/2015,NA,347,347
Brazil,Pernambuco,2015,11,21/03/2015,NA,504,504
Brazil,Pernambuco,2015,12,28/03/2015,NA,383,383
Brazil,Pernambuco,2015,13,04/04/2015,NA,NA,NA
Brazil,Pernambuco,2015,14,11/04/2015,NA,NA,NA
Brazil,Pernambuco,2015,15,18/04/2015,NA,NA,NA
Brazil,Pernambuco,2015,16,25/04/2015,NA,NA,NA
Brazil,Pernambuco,2015,17,02/05/2015,NA,NA,NA
Brazil,Pernambuco,2015,18,09/05/2015,NA,NA,NA
Brazil,Pernambuco,2015,19,16/05/2015,NA,NA,NA
Brazil,Pernambuco,2015,20,23/05/2015,NA,NA,NA
Brazil,Pernambuco,2015,21,30/05/2015,NA,NA,NA
Brazil,Pernambuco,2015,22,06/06/2015,NA,NA,NA
Brazil,Pernambuco,2015,23,13/06/2015,NA,NA,NA
Brazil,Pernambuco,2015,24,20/06/2015,NA,NA,NA
Brazil,Pernambuco,2015,25,27/06/2015,NA,NA,NA
Brazil,Pernambuco,2015,26,04/07/2015,NA,NA,NA
Brazil,Pernambuco,2015,27,11/07/2015,NA,NA,NA
Brazil,Pernambuco,2015,28,18/07/2015,NA,NA,NA
Brazil,Pernambuco,2015,29,25/07/2015,NA,NA,NA
Brazil,Pernambuco,2015,30,01/08/2015,NA,NA,NA
Brazil,Pernambuco,2015,31,08/08/2015,NA,NA,NA
Brazil,Pernambuco,2015,32,15/08/2015,NA,NA,NA
Brazil,Pernambuco,2015,33,22/08/2015,NA,NA,NA
Brazil,Pernambuco,2015,34,29/08/2015,NA,NA,NA
Brazil,Pernambuco,2015,35,05/09/2015,NA,NA,NA
Brazil,Pernambuco,2015,36,12/09/2015,NA,NA,NA
Brazil,Pernambuco,2015,37,19/09/2015,NA,NA,NA
Brazil,Pernambuco,2015,38,26/09/2015,NA,NA,NA
Brazil,Pernambuco,2015,39,03/10/2015,NA,NA,NA
Brazil,Pernambuco,2015,40,10/10/2015,NA,NA,NA
Brazil,Pernambuco,2015,41,17/10/2015,NA,NA,NA
Brazil,Pernambuco,2015,42,24/10/2015,NA,NA,NA
Brazil,Pernambuco,2015,43,31/10/2015,NA,NA,NA
Brazil,Pernambuco,2015,44,07/11/2015,NA,NA,NA
Brazil,Pernambuco,2015,45,14/11/2015,NA,NA,NA
Brazil,Pernambuco,2015,46,21/11/2015,NA,58,58
Brazil,Pernambuco,2015,47,28/11/2015,NA,271,271
Brazil,Pernambuco,2015,48,05/12/2015,NA,390,390
Brazil,Pernambuco,2015,49,12/12/2015,NA,12,12
Brazil,Pernambuco,2015,50,19/12/2015,NA,325,325
Brazil,Pernambuco,2015,51,26/12/2015,NA,333,333
Brazil,Pernambuco,2015,52,02/01/2016,NA,193,193
Brazil,Pernambuco,2016,1,09/01/2016,NA,406,406
Brazil,Pernambuco,2016,2,16/01/2016,NA,423,423
Brazil,Pernambuco,2016,3,23/01/2016,NA,432,432
Brazil,Pernambuco,2016,4,30/01/2016,NA,654,654
Brazil,Pernambuco,2016,5,06/02/2016,NA,746,746
Brazil,Pernambuco,2016,6,13/02/2016,NA,856,856
Brazil,Pernambuco,2016,7,20/02/2016,NA,1013,1013
Brazil,Pernambuco,2016,8,27/02/2016,NA,947,947
Brazil,Pernambuco,2016,9,05/03/2016,NA,733,733
Brazil,Pernambuco,2016,10,12/03/2016,NA,630,630
Brazil,Pernambuco,2016,11,19/03/2016,NA,370,370
Brazil,Pernambuco,2016,12,26/03/2016,NA,258,258
Brazil,Pernambuco,2016,13,02/04/2016,NA,275,275
Brazil,Pernambuco,2016,14,09/04/2016,NA,293,293
Brazil,Pernambuco,2016,15,16/04/2016,NA,144,144
Brazil,Pernambuco,2016,16,23/04/2016,NA,125,125
Brazil,Pernambuco,2016,17,30/04/2016,NA,31,31
Brazil,Pernambuco,2016,18,07/05/2016,NA,2,2
Brazil,Pernambuco,2016,19,14/05/2016,NA,NA,NA
Brazil,Pernambuco,2016,20,21/05/2016,NA,NA,NA
Brazil,Pernambuco,2016,21,28/05/2016,NA,NA,NA
