country,state,Year,week,date,conf,susp,total
Brazil,Rio Janeiro,2015,1,10/01/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,2,17/01/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,3,24/01/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,4,31/01/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,5,07/02/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,6,14/02/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,7,21/02/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,8,28/02/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,9,07/03/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,10,14/03/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,11,21/03/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,12,28/03/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,13,04/04/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,14,11/04/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,15,18/04/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,16,25/04/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,17,02/05/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,18,09/05/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,19,16/05/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,20,23/05/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,21,30/05/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,22,06/06/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,23,13/06/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,24,20/06/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,25,27/06/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,26,04/07/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,27,11/07/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,28,18/07/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,29,25/07/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,30,01/08/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,31,08/08/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,32,15/08/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,33,22/08/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,34,29/08/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,35,05/09/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,36,12/09/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,37,19/09/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,38,26/09/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,39,03/10/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,40,10/10/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,41,17/10/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,42,24/10/2015,NA,NA,NA
Brazil,Rio Janeiro,2015,43,31/10/2015,NA,4,4
Brazil,Rio Janeiro,2015,44,07/11/2015,NA,2,2
Brazil,Rio Janeiro,2015,45,14/11/2015,NA,37,37
Brazil,Rio Janeiro,2015,46,21/11/2015,NA,82,82
Brazil,Rio Janeiro,2015,47,28/11/2015,NA,369,369
Brazil,Rio Janeiro,2015,48,05/12/2015,NA,656,656
Brazil,Rio Janeiro,2015,49,12/12/2015,NA,1133,1133
Brazil,Rio Janeiro,2015,50,19/12/2015,NA,1332,1332
Brazil,Rio Janeiro,2015,51,26/12/2015,NA,1546,1546
Brazil,Rio Janeiro,2015,52,02/01/2016,NA,1525,1525
Brazil,Rio Janeiro,2016,1,09/01/2016,NA,1980,1980
Brazil,Rio Janeiro,2016,2,16/01/2016,NA,1719,1719
Brazil,Rio Janeiro,2016,3,23/01/2016,NA,1662,1662
Brazil,Rio Janeiro,2016,4,30/01/2016,NA,1723,1723
Brazil,Rio Janeiro,2016,5,06/02/2016,NA,1629,1629
Brazil,Rio Janeiro,2016,6,13/02/2016,NA,1295,1295
Brazil,Rio Janeiro,2016,7,20/02/2016,NA,1911,1911
Brazil,Rio Janeiro,2016,8,27/02/2016,NA,1518,1518
Brazil,Rio Janeiro,2016,9,05/03/2016,NA,1673,1673
Brazil,Rio Janeiro,2016,10,12/03/2016,NA,1346,1346
Brazil,Rio Janeiro,2016,11,19/03/2016,NA,1128,1128
Brazil,Rio Janeiro,2016,12,26/03/2016,NA,662,662
Brazil,Rio Janeiro,2016,13,02/04/2016,NA,452,452
Brazil,Rio Janeiro,2016,14,09/04/2016,NA,147,147
Brazil,Rio Janeiro,2016,15,16/04/2016,NA,NA,NA
Brazil,Rio Janeiro,2016,16,23/04/2016,NA,NA,NA
Brazil,Rio Janeiro,2016,17,30/04/2016,NA,NA,NA
Brazil,Rio Janeiro,2016,18,07/05/2016,NA,NA,NA
Brazil,Rio Janeiro,2016,19,14/05/2016,NA,NA,NA
Brazil,Rio Janeiro,2016,20,21/05/2016,NA,NA,NA
Brazil,Rio Janeiro,2016,21,28/05/2016,NA,NA,NA
