country,year,week,date,conf,susp,total
Colombia,2015,38,26/09/2015,52,13,65
Colombia,2015,39,03/10/2015,98,42,140
Colombia,2015,40,10/10/2015,66,73,139
Colombia,2015,41,17/10/2015,83,94,177
Colombia,2015,42,24/10/2015,66,210,276
Colombia,2015,43,31/10/2015,31,323,354
Colombia,2015,44,07/11/2015,50,542,592
Colombia,2015,45,14/11/2015,33,1100,1133
Colombia,2015,46,21/11/2015,52,1183,1235
Colombia,2015,47,28/11/2015,50,1290,1340
Colombia,2015,48,05/12/2015,89,1630,1719
Colombia,2015,49,12/12/2015,90,1568,1658
Colombia,2015,50,19/12/2015,112,1903,2015
Colombia,2015,51,26/12/2015,150,1619,1769
Colombia,2015,52,02/01/2016,240,1518,1758
Colombia,2016,1,09/01/2016,354,2415,2769
Colombia,2016,2,16/01/2016,550,2759,3309
Colombia,2016,3,23/01/2016,749,3763,4512
Colombia,2016,4,30/01/2016,738,5062,5800
Colombia,2016,5,06/02/2016,639,5681,6320
Colombia,2016,6,13/02/2016,505,4980,5485
Colombia,2016,7,20/02/2016,388,4373,4761
Colombia,2016,8,27/02/2016,374,3617,3991
Colombia,2016,9,05/03/2016,362,3616,3978
Colombia,2016,10,12/03/2016,307,3281,3588
Colombia,2016,11,19/03/2016,197,2680,2877
Colombia,2016,12,26/03/2016,167,2231,2398
Colombia,2016,13,02/04/2016,176,3518,3694
Colombia,2016,14,09/04/2016,160,3145,3305
Colombia,2016,15,16/04/2016,117,3123,3240
Colombia,2016,16,23/04/2016,101,2878,2979
Colombia,2016,17,30/04/2016,22,2753,2775
Colombia,2016,18,07/05/2016,0,2519,2519
Colombia,2016,19,14/05/2016,31,2459,2490
Colombia,2016,20,21/05/2016,70,2298,2368
Colombia,2016,21,28/05/2016,73,1161,1234
