country,year,week,date,conf,susp,total
Guadalupe,2015,38,26/09/2015,NA,NA,NA
Guadalupe,2015,39,03/10/2015,NA,NA,NA
Guadalupe,2015,40,10/10/2015,NA,NA,NA
Guadalupe,2015,41,17/10/2015,NA,NA,NA
Guadalupe,2015,42,24/10/2015,NA,NA,NA
Guadalupe,2015,43,31/10/2015,NA,NA,NA
Guadalupe,2015,44,07/11/2015,NA,NA,NA
Guadalupe,2015,45,14/11/2015,NA,NA,NA
Guadalupe,2015,46,21/11/2015,NA,NA,NA
Guadalupe,2015,47,28/11/2015,NA,NA,NA
Guadalupe,2015,48,05/12/2015,NA,NA,NA
Guadalupe,2015,49,12/12/2015,NA,NA,NA
Guadalupe,2015,50,19/12/2015,NA,NA,NA
Guadalupe,2015,51,26/12/2015,NA,NA,NA
Guadalupe,2015,52,02/01/2016,NA,NA,NA
Guadalupe,2016,1,09/01/2016,NA,NA,NA
Guadalupe,2016,2,16/01/2016,1,0,1
Guadalupe,2016,3,23/01/2016,9,37,46
Guadalupe,2016,4,30/01/2016,7,61,68
Guadalupe,2016,5,06/02/2016,0,24,24
Guadalupe,2016,6,13/02/2016,8,78,86
Guadalupe,2016,7,20/02/2016,10,168,178
Guadalupe,2016,8,27/02/2016,31,79,110
Guadalupe,2016,9,05/03/2016,11,197,208
Guadalupe,2016,10,12/03/2016,20,106,126
Guadalupe,2016,11,19/03/2016,37,44,81
Guadalupe,2016,12,26/03/2016,5,106,111
Guadalupe,2016,13,02/04/2016,52,190,242
Guadalupe,2016,14,09/04/2016,48,245,293
Guadalupe,2016,15,16/04/2016,67,349,416
Guadalupe,2016,16,23/04/2016,72,418,490
Guadalupe,2016,17,30/04/2016,0,835,835
Guadalupe,2016,18,07/05/2016,0,885,885
Guadalupe,2016,19,14/05/2016,0,1140,1140
Guadalupe,2016,20,21/05/2016,0,1300,1300
Guadalupe,2016,21,28/05/2016,NA,NA,NA
