country,year,week,date,conf,susp,total
Panama,2015,38,26/09/2015,NA,NA,NA
Panama,2015,39,03/10/2015,NA,NA,NA
Panama,2015,40,10/10/2015,NA,NA,NA
Panama,2015,41,17/10/2015,NA,NA,NA
Panama,2015,42,24/10/2015,NA,NA,NA
Panama,2015,43,31/10/2015,NA,NA,NA
Panama,2015,44,07/11/2015,NA,NA,NA
Panama,2015,45,14/11/2015,NA,NA,NA
Panama,2015,46,21/11/2015,NA,NA,NA
Panama,2015,47,28/11/2015,4,1,5
Panama,2015,48,05/12/2015,0,0,0
Panama,2015,49,12/12/2015,5,0,5
Panama,2015,50,19/12/2015,21,0,21
Panama,2015,51,26/12/2015,6,0,6
Panama,2015,52,02/01/2016,3,0,3
Panama,2016,1,09/01/2016,4,2,6
Panama,2016,2,16/01/2016,3,13,16
Panama,2016,3,23/01/2016,5,19,24
Panama,2016,4,30/01/2016,4,40,44
Panama,2016,5,06/02/2016,15,27,42
Panama,2016,6,13/02/2016,15,22,37
Panama,2016,7,20/02/2016,23,17,40
Panama,2016,8,27/02/2016,14,27,41
Panama,2016,9,05/03/2016,15,52,67
Panama,2016,10,12/03/2016,14,41,55
Panama,2016,11,19/03/2016,23,28,51
Panama,2016,12,26/03/2016,22,44,66
Panama,2016,13,02/04/2016,31,37,68
Panama,2016,14,09/04/2016,18,38,56
Panama,2016,15,16/04/2016,6,49,55
Panama,2016,16,23/04/2016,16,35,51
Panama,2016,17,30/04/2016,4,53,57
Panama,2016,18,07/05/2016,1,90,91
Panama,2016,19,14/05/2016,1,3,4
Panama,2016,20,21/05/2016,1,0,1
Panama,2016,21,28/05/2016,NA,NA,NA
