country,year,week,date,conf,susp,total
Puerto Rico,2015,38,26/09/2015,NA,NA,NA
Puerto Rico,2015,39,03/10/2015,NA,NA,NA
Puerto Rico,2015,40,10/10/2015,NA,NA,NA
Puerto Rico,2015,41,17/10/2015,NA,NA,NA
Puerto Rico,2015,42,24/10/2015,NA,NA,NA
Puerto Rico,2015,43,31/10/2015,NA,NA,NA
Puerto Rico,2015,44,07/11/2015,NA,NA,NA
Puerto Rico,2015,45,14/11/2015,NA,NA,NA
Puerto Rico,2015,46,21/11/2015,NA,NA,NA
Puerto Rico,2015,47,28/11/2015,NA,NA,NA
Puerto Rico,2015,48,05/12/2015,NA,NA,NA
Puerto Rico,2015,49,12/12/2015,NA,NA,NA
Puerto Rico,2015,50,19/12/2015,NA,NA,NA
Puerto Rico,2015,51,26/12/2015,NA,NA,NA
Puerto Rico,2015,52,02/01/2016,9,2695,2704
Puerto Rico,2016,1,09/01/2016,4,,4
Puerto Rico,2016,2,16/01/2016,4,,4
Puerto Rico,2016,3,23/01/2016,3,184,187
Puerto Rico,2016,4,30/01/2016,8,97,105
Puerto Rico,2016,5,06/02/2016,57,551,608
Puerto Rico,2016,6,13/02/2016,72,0,72
Puerto Rico,2016,7,20/02/2016,67,697,764
Puerto Rico,2016,8,27/02/2016,72,0,72
Puerto Rico,2016,9,05/03/2016,41,208,249
Puerto Rico,2016,10,12/03/2016,11,503,514
Puerto Rico,2016,11,19/03/2016,22,1000,1022
Puerto Rico,2016,12,26/03/2016,64,358,422
Puerto Rico,2016,13,02/04/2016,114,595,709
Puerto Rico,2016,14,09/04/2016,76,485,561
Puerto Rico,2016,15,16/04/2016,81,729,810
Puerto Rico,2016,16,23/04/2016,78,391,469
Puerto Rico,2016,17,30/04/2016,140,761,901
Puerto Rico,2016,18,07/05/2016,183,778,961
Puerto Rico,2016,19,14/05/2016,63,503,566
Puerto Rico,2016,20,21/05/2016,NA,NA,NA
Puerto Rico,2016,21,28/05/2016,NA,NA,NA
