State,DistribSI,T.Start.abs,T.End.abs,Mean_R,Quantile_2.5,Quantile_97.5
Acre,Gamma,14/11/2015,12/12/2015,3.95896240824722,2.20800131448393,6.51723141131132
Acre,Gamma,21/11/2015,19/12/2015,3.69204942523638,2.12504530525714,5.79183921251455
Acre,Gamma,28/11/2015,26/12/2015,2.60187560736338,1.52823202557553,4.17192315391211
Acre,Gamma,05/12/2015,02/01/2016,1.76506174991736,1.13144022277527,2.66743673402522
Acre,Gamma,12/12/2015,09/01/2016,1.87696132476863,1.34648698591102,2.55125994263308
Acre,Gamma,19/12/2015,16/01/2016,2.36475050635667,1.79244995281989,3.02440189405566
Acre,Gamma,26/12/2015,23/01/2016,2.40818517053818,1.75778005141378,3.15714172337445
Acre,Gamma,02/01/2016,30/01/2016,2.1027707348191,1.54259136603758,2.83190023325686
Acre,Gamma,09/01/2016,06/02/2016,2.00991384557013,1.55895724882341,2.60272085063921
Acre,Gamma,16/01/2016,13/02/2016,1.9871051045926,1.58373297950213,2.48178204530523
Acre,Gamma,23/01/2016,20/02/2016,2.09966181983023,1.68875794045311,2.58972955866204
Acre,Gamma,30/01/2016,27/02/2016,1.94296640458106,1.55062548721786,2.40691095675049
Acre,Gamma,06/02/2016,05/03/2016,1.980854298832,1.61717074536503,2.44410899953435
Acre,Gamma,13/02/2016,12/03/2016,1.82514433760179,1.50036035891974,2.21087327909996
Acre,Gamma,20/02/2016,19/03/2016,1.35666584253908,1.12801517794311,1.64056132346422
Acre,Gamma,27/02/2016,26/03/2016,0.902140707572183,0.786205246187504,1.05346348682355
Acre,Gamma,05/03/2016,02/04/2016,0.671290029622122,0.591853292414214,0.758156712758132
Acre,Gamma,12/03/2016,09/04/2016,0.408523008434011,0.340417066702684,0.488324691302706
Bahia,Gamma,10/01/2015,07/02/2015,2.5995577396202,1.88442835529604,3.75046548407554
Bahia,Gamma,17/01/2015,14/02/2015,2.08981827860508,1.61148322086987,2.74941970635545
Bahia,Gamma,24/01/2015,21/02/2015,2.20346102571441,1.79557674433923,2.76371329014684
Bahia,Gamma,31/01/2015,28/02/2015,2.1514660431293,1.7350959198149,2.63007739953572
Bahia,Gamma,07/02/2015,07/03/2015,2.25798338728283,1.81536556039017,2.80371405810491
Bahia,Gamma,14/02/2015,14/03/2015,2.1389767857442,1.70903705676957,2.65873665587121
Bahia,Gamma,21/02/2015,21/03/2015,2.04607862773993,1.65595500160543,2.54443992321647
Bahia,Gamma,28/02/2015,28/03/2015,2.14039547639342,1.7654698948146,2.61668532585816
Bahia,Gamma,07/03/2015,04/04/2015,2.04400781522324,1.66078843848953,2.48982944925169
Bahia,Gamma,14/03/2015,11/04/2015,1.91426389421084,1.5714117784908,2.3503054223922
Bahia,Gamma,21/03/2015,18/04/2015,2.24171996426361,1.88732416119807,2.70107199619933
Bahia,Gamma,28/03/2015,25/04/2015,2.07613388513986,1.65941069222956,2.51507233223693
Bahia,Gamma,04/04/2015,02/05/2015,1.90627375651057,1.55170574961657,2.38011971648069
Bahia,Gamma,11/04/2015,09/05/2015,1.84907834708123,1.56566795883232,2.23295959898852
Bahia,Gamma,18/04/2015,16/05/2015,1.66509034247389,1.41828023351415,1.96512879751141
Bahia,Gamma,25/04/2015,23/05/2015,1.34977193823768,1.1781479602289,1.57432668114916
Bahia,Gamma,02/05/2015,30/05/2015,1.15317821126664,1.06272392897633,1.29117231834463
Bahia,Gamma,09/05/2015,06/06/2015,0.967502982709418,0.929358215033807,1.02568119230302
Bahia,Gamma,16/05/2015,13/06/2015,0.800782856619318,0.780035730706709,0.825828337866228
Bahia,Gamma,23/05/2015,20/06/2015,0.712174577968901,0.679464661532441,0.760293971938403
Bahia,Gamma,30/05/2015,27/06/2015,0.672841169671407,0.618356187860066,0.739299199785307
Bahia,Gamma,06/06/2015,04/07/2015,0.710177101826615,0.639722408369154,0.787258688978761
Bahia,Gamma,13/06/2015,11/07/2015,0.840673989056095,0.756717171313766,0.919991254232725
Bahia,Gamma,20/06/2015,18/07/2015,1.02561693463802,0.948912066018638,1.08475130118438
Bahia,Gamma,27/06/2015,25/07/2015,1.13932943860788,1.09495874329586,1.18164359180545
Bahia,Gamma,04/07/2015,01/08/2015,1.1336945213505,1.0792063148412,1.18783768621619
Bahia,Gamma,11/07/2015,08/08/2015,1.04667717009602,1.00454374650006,1.09778418738868
Bahia,Gamma,18/07/2015,15/08/2015,0.891407103627854,0.869382055351692,0.919794325041969
Bahia,Gamma,25/07/2015,22/08/2015,0.703684616965712,0.683439829890712,0.729453560257102
Bahia,Gamma,01/08/2015,29/08/2015,0.584189743417401,0.5459259034461,0.640476766076762
Bahia,Gamma,08/08/2015,05/09/2015,0.51558210742408,0.455635265409489,0.592207545523965
Bahia,Gamma,15/08/2015,12/09/2015,0.506504932055403,0.430267875888485,0.596555323394534
Bahia,Gamma,22/08/2015,19/09/2015,0.510708762185245,0.425545501747156,0.604408493550885
Bahia,Gamma,29/08/2015,26/09/2015,0.545168987875264,0.454337925394016,0.641244450414643
Bahia,Gamma,05/09/2015,03/10/2015,0.602575279894408,0.507110894258845,0.700497101836346
Bahia,Gamma,12/09/2015,10/10/2015,0.637522518737068,0.547094810289702,0.725776818080534
Bahia,Gamma,19/09/2015,17/10/2015,0.645407692458626,0.565869539135434,0.722146442433256
Bahia,Gamma,26/09/2015,24/10/2015,0.714260073487287,0.634271565544504,0.797496062968729
Bahia,Gamma,03/10/2015,31/10/2015,0.787261426309937,0.704346952007029,0.867458337780026
Bahia,Gamma,10/10/2015,07/11/2015,0.862875054530981,0.78908736213598,0.929722484916337
Bahia,Gamma,17/10/2015,14/11/2015,1.03343809864212,0.968133013193945,1.09377463374417
Bahia,Gamma,24/10/2015,21/11/2015,1.29328771876989,1.23307811097963,1.35140764905054
Bahia,Gamma,31/10/2015,28/11/2015,1.45645343372066,1.33505336139252,1.55336468498215
Bahia,Gamma,07/11/2015,05/12/2015,1.62788596756349,1.45063317921481,1.81046457991038
Bahia,Gamma,14/11/2015,12/12/2015,1.67787251107635,1.46275625542806,1.90456411496588
Bahia,Gamma,21/11/2015,19/12/2015,1.57599364759327,1.36299713316656,1.81840621976521
Bahia,Gamma,28/11/2015,26/12/2015,1.41385303635992,1.24838635516492,1.62189623435381
Bahia,Gamma,05/12/2015,02/01/2016,1.17735904601639,1.07272957986286,1.31469036313215
Bahia,Gamma,12/12/2015,09/01/2016,1.11267612641365,1.0534923174872,1.19632585169875
Bahia,Gamma,19/12/2015,16/01/2016,1.15698929843677,1.11826426522079,1.20515215121986
Bahia,Gamma,26/12/2015,23/01/2016,1.22763021737133,1.17882410883917,1.27180167728393
Bahia,Gamma,02/01/2016,30/01/2016,1.35108725377455,1.27398952739577,1.42267192488387
Bahia,Gamma,09/01/2016,06/02/2016,1.59821672461658,1.47185126072665,1.71703598574908
Bahia,Gamma,16/01/2016,13/02/2016,1.77830371285046,1.55921473298015,1.9771734336621
Bahia,Gamma,23/01/2016,20/02/2016,1.97091174385565,1.67369693197457,2.29292611322311
Bahia,Gamma,30/01/2016,27/02/2016,1.94684505498817,1.61239580014557,2.32335949486355
Bahia,Gamma,06/02/2016,05/03/2016,1.6844175854563,1.40285116144445,2.03440142806917
Bahia,Gamma,13/02/2016,12/03/2016,1.36703500419349,1.19096174114309,1.61422773321129
Bahia,Gamma,20/02/2016,19/03/2016,1.08886924769691,1.0036068722376,1.21978385913812
Bahia,Gamma,27/02/2016,26/03/2016,0.807550455117715,0.776101012213285,0.853629453083322
Bahia,Gamma,05/03/2016,02/04/2016,0.613005849983314,0.585257329365022,0.654993797481263
Bahia,Gamma,12/03/2016,09/04/2016,0.48689680637133,0.438698433938971,0.555397294410313
Bahia,Gamma,19/03/2016,16/04/2016,0.416426981028407,0.353265721083138,0.498015107490278
Bahia,Gamma,26/03/2016,23/04/2016,0.367678785054811,0.297887551122823,0.452517547929538
Bahia,Gamma,02/04/2016,30/04/2016,0.354127314599405,0.277647045321121,0.445893502662033
Bahia,Gamma,09/04/2016,07/05/2016,0.316744452277751,0.243277445537135,0.403406249962463
Bahia,Gamma,16/04/2016,14/05/2016,0.312077888285302,0.236566381694893,0.402145093237501
Bahia,Gamma,23/04/2016,21/05/2016,0.327105041224698,0.24359462016778,0.427910446247054
Espirito Santo,Gamma,09/01/2016,06/02/2016,2.29284750633962,1.66036518940101,3.24264616525167
Espirito Santo,Gamma,16/01/2016,13/02/2016,1.56413226621552,1.25378163363763,1.98981432111107
Espirito Santo,Gamma,23/01/2016,20/02/2016,1.34106098040344,1.17005228947353,1.58103810100562
Espirito Santo,Gamma,30/01/2016,27/02/2016,1.22624716817711,1.11623462543911,1.36352109751257
Espirito Santo,Gamma,06/02/2016,05/03/2016,1.18858586802767,1.09600243997798,1.2909110416291
Espirito Santo,Gamma,13/02/2016,12/03/2016,1.10634840880229,1.02502706276726,1.19268728738511
Espirito Santo,Gamma,20/02/2016,19/03/2016,0.973565832716425,0.906129552139408,1.04531136843982
Espirito Santo,Gamma,27/02/2016,26/03/2016,0.729440004902295,0.675404429603092,0.785571414284323
Espirito Santo,Gamma,05/03/2016,02/04/2016,0.529263571469937,0.476858737515303,0.592723783534819
Goiania City,Gamma,28/11/2015,26/12/2015,2.17876326721767,1.23269427923907,3.8606505417375
Goiania City,Gamma,05/12/2015,02/01/2016,1.44856909708129,0.918693487725446,2.16525123848777
Goiania City,Gamma,12/12/2015,09/01/2016,1.10369043393291,0.711846508170418,1.59345943105763
Goiania City,Gamma,19/12/2015,16/01/2016,1.36619776807145,0.947251556562277,1.86343748200554
Goiania City,Gamma,26/12/2015,23/01/2016,2.05775570746857,1.54604306844972,2.64427993416477
Goiania City,Gamma,02/01/2016,30/01/2016,2.7343499855475,2.02333287191505,3.52586638877864
Goiania City,Gamma,09/01/2016,06/02/2016,3.2246436356996,2.29493226460185,4.395275189253
Goiania City,Gamma,16/01/2016,13/02/2016,4.09592611269737,2.88966901847568,5.74305980332735
Goiania City,Gamma,23/01/2016,20/02/2016,3.64036730925873,2.40104754344082,5.32380662094457
Goiania City,Gamma,30/01/2016,27/02/2016,2.7227541417333,1.87885941942452,4.05188134592297
Goiania City,Gamma,06/02/2016,05/03/2016,2.39986032709387,1.83202389941916,3.29942848208056
Goiania City,Gamma,13/02/2016,12/03/2016,2.1567266908746,1.71256895640454,2.76420264062444
Goiania City,Gamma,20/02/2016,19/03/2016,1.74373828145452,1.41061429132713,2.18604058062483
Goiania City,Gamma,27/02/2016,26/03/2016,1.5156077451558,1.29471969184764,1.82992143647133
Goiania City,Gamma,05/03/2016,02/04/2016,1.26724511786432,1.12687899382166,1.45090850906525
Goiania City,Gamma,12/03/2016,09/04/2016,1.01566652698988,0.926655546640327,1.12433809019863
Goiania City,Gamma,19/03/2016,16/04/2016,0.930126101852358,0.864138371922429,1.00087901271609
Goiania City,Gamma,26/03/2016,23/04/2016,0.825849253763049,0.764389406031877,0.890352884413233
Goiania City,Gamma,02/04/2016,30/04/2016,0.620053006651267,0.564778465879077,0.679082815768048
Mato Grosso,Gamma,10/01/2015,07/02/2015,1.8123295602143,1.07693307992198,3.02485979572395
Mato Grosso,Gamma,17/01/2015,14/02/2015,1.11808218408761,0.721626598237361,1.63650134995326
Mato Grosso,Gamma,24/01/2015,21/02/2015,0.773950662005346,0.482523148729121,1.13539472079365
Mato Grosso,Gamma,31/01/2015,28/02/2015,0.28534232185255,0.12268840639432,0.515818086883724
Mato Grosso,Gamma,07/02/2015,07/03/2015,0.339527665576187,0.141627933252417,0.634419506280483
Mato Grosso,Gamma,14/02/2015,14/03/2015,0.428728361142013,0.160410803615964,0.861483212156022
Mato Grosso,Gamma,21/02/2015,21/03/2015,0.459521967368985,0.143466439844098,0.979849660201775
Mato Grosso,Gamma,28/02/2015,28/03/2015,0.382962170695145,0.0782867841743677,0.936898552206183
Mato Grosso,Gamma,07/03/2015,04/04/2015,0.347495334278925,0.0412657916413059,0.99147805668779
Mato Grosso,Gamma,14/03/2015,11/04/2015,0.518737353000429,0.0610123524091764,1.49965194658712
Mato Grosso,Gamma,21/03/2015,18/04/2015,0.821451434997906,0.0956338496730828,2.378092190941
Mato Grosso,Gamma,28/03/2015,25/04/2015,1.195148839143,0.138953571777416,3.40677614181641
Mato Grosso,Gamma,04/04/2015,02/05/2015,1.46074796944328,0.174615957502136,4.09802933769312
Mato Grosso,Gamma,11/04/2015,09/05/2015,1.59396222658785,0.195175744298228,4.44627632057061
Mato Grosso,Gamma,18/04/2015,16/05/2015,2.45594309233292,0.504973057089181,5.90797122131597
Mato Grosso,Gamma,25/04/2015,23/05/2015,3.86169481713314,1.22801560631258,8.02265886562199
Mato Grosso,Gamma,02/05/2015,30/05/2015,3.38558671383792,1.15389975638589,7.0027113333898
Mato Grosso,Gamma,09/05/2015,06/06/2015,4.58208802558179,2.23138038629223,8.18106411085965
Mato Grosso,Gamma,16/05/2015,13/06/2015,2.84669254172787,1.33498112104279,5.09874925112031
Mato Grosso,Gamma,23/05/2015,20/06/2015,2.63798369770307,1.45875121391853,4.40971008702427
Mato Grosso,Gamma,30/05/2015,27/06/2015,2.48226578494394,1.54105113361134,3.73358326109254
Mato Grosso,Gamma,06/06/2015,04/07/2015,2.19336635337112,1.39827812713872,3.22532909813501
Mato Grosso,Gamma,13/06/2015,11/07/2015,2.13078444770555,1.45177519998375,3.01025058012251
Mato Grosso,Gamma,20/06/2015,18/07/2015,1.87131324697872,1.31119002313393,2.56797720647274
Mato Grosso,Gamma,27/06/2015,25/07/2015,1.45394547612422,1.03339384784558,1.97810919430179
Mato Grosso,Gamma,04/07/2015,01/08/2015,1.22016826910737,0.89361048033241,1.61456447001438
Mato Grosso,Gamma,11/07/2015,08/08/2015,1.43567660018783,1.10700339911358,1.80810412597005
Mato Grosso,Gamma,18/07/2015,15/08/2015,1.52524136163434,1.19272071056001,1.89868331673577
Mato Grosso,Gamma,25/07/2015,22/08/2015,1.57799317407139,1.23225778486106,1.97050627470223
Mato Grosso,Gamma,01/08/2015,29/08/2015,1.73609753682079,1.3875103322776,2.13465698091193
Mato Grosso,Gamma,08/08/2015,05/09/2015,1.62934714210053,1.29823526128513,2.00610563859823
Mato Grosso,Gamma,15/08/2015,12/09/2015,1.77695302096017,1.4454323665719,2.1693403536031
Mato Grosso,Gamma,22/08/2015,19/09/2015,2.34002240697282,1.93571445661961,2.78952071544669
Mato Grosso,Gamma,29/08/2015,26/09/2015,2.25736645862233,1.74229880474145,2.79237671470614
Mato Grosso,Gamma,05/09/2015,03/10/2015,2.10122003262118,1.63900365626987,2.71228858105449
Mato Grosso,Gamma,12/09/2015,10/10/2015,2.06854375504805,1.68128109843318,2.57014262780593
Mato Grosso,Gamma,19/09/2015,17/10/2015,1.88533414295869,1.5409178598913,2.29511818015427
Mato Grosso,Gamma,26/09/2015,24/10/2015,1.49611494900416,1.2443077901535,1.81169928517549
Mato Grosso,Gamma,03/10/2015,31/10/2015,1.47073073260123,1.2953439388507,1.70684052025319
Mato Grosso,Gamma,10/10/2015,07/11/2015,1.42288926179395,1.27803375800746,1.58782668657492
Mato Grosso,Gamma,17/10/2015,14/11/2015,1.37449073880315,1.22974530888192,1.5309005262723
Mato Grosso,Gamma,24/10/2015,21/11/2015,1.42102274030248,1.28699828803826,1.57531255717826
Mato Grosso,Gamma,31/10/2015,28/11/2015,1.83311190790714,1.66247612520509,2.01392887372589
Mato Grosso,Gamma,07/11/2015,05/12/2015,2.53647284037727,2.1582659670419,2.87724048627028
Mato Grosso,Gamma,14/11/2015,12/12/2015,2.68738062906834,2.06158915339443,3.34917790098305
Mato Grosso,Gamma,21/11/2015,19/12/2015,2.20786247874793,1.6776525048425,2.91532131948895
Mato Grosso,Gamma,28/11/2015,26/12/2015,1.6956719452312,1.37778976166473,2.16079311331653
Mato Grosso,Gamma,05/12/2015,02/01/2016,1.4877065846429,1.30233731658893,1.75205801882447
Mato Grosso,Gamma,12/12/2015,09/01/2016,1.26677154367581,1.15115776207107,1.4157863799107
Mato Grosso,Gamma,19/12/2015,16/01/2016,1.11635956937057,1.04342819525854,1.21123963820739
Mato Grosso,Gamma,26/12/2015,23/01/2016,1.10961484126683,1.06590596894097,1.16726290431197
Mato Grosso,Gamma,02/01/2016,30/01/2016,1.15172303295769,1.11630315534904,1.19082609462667
Mato Grosso,Gamma,09/01/2016,06/02/2016,1.05129937346929,1.00773641212072,1.09137571055407
Mato Grosso,Gamma,16/01/2016,13/02/2016,0.92130314924562,0.890171861490829,0.957746782787889
Mato Grosso,Gamma,23/01/2016,20/02/2016,0.761628744193064,0.734537624642029,0.791352855285641
Parana,Gamma,02/01/2016,30/01/2016,2.19812868510575,1.43351003919928,3.37416234806906
Parana,Gamma,09/01/2016,06/02/2016,1.87283388940887,1.45812929879724,2.47387906429988
Parana,Gamma,16/01/2016,13/02/2016,1.57571389743302,1.30052633238376,1.90643140686449
Parana,Gamma,23/01/2016,20/02/2016,1.79258099676105,1.51795861013256,2.10609605693328
Parana,Gamma,30/01/2016,27/02/2016,1.81434343065713,1.52073573968796,2.11560245103931
Parana,Gamma,06/02/2016,05/03/2016,2.8563042275024,2.38174425159317,3.35780697883239
Parana,Gamma,13/02/2016,12/03/2016,2.86883011083294,2.10811901760086,3.56044581939167
Parana,Gamma,20/02/2016,19/03/2016,2.15041912744734,1.56669260644817,2.87301956457609
Parana,Gamma,27/02/2016,26/03/2016,2.01847731103217,1.63958936315983,2.54931275753204
Parana,Gamma,05/03/2016,02/04/2016,1.71742210790645,1.43370758117769,2.03600232123814
Parana,Gamma,12/03/2016,09/04/2016,1.29561684007177,1.10814574668624,1.51581538040045
Parana,Gamma,19/03/2016,16/04/2016,1.03031887817758,0.940247932406351,1.15201360112684
Parana,Gamma,26/03/2016,23/04/2016,1.04637781894282,0.983032201091992,1.1152751682717
Parana,Gamma,02/04/2016,30/04/2016,0.824813162230176,0.779509085540632,0.871546911473509
Parana,Gamma,09/04/2016,07/05/2016,0.752825242675834,0.708790205699875,0.803286090688356
Parana,Gamma,16/04/2016,14/05/2016,0.685437249139192,0.62521520255116,0.759157388606264
Parana,Gamma,23/04/2016,21/05/2016,0.641619773544666,0.574542206106539,0.718967622784685
Pernambuco,Gamma,21/11/2015,19/12/2015,2.63147346938902,1.79179629718211,4.38828257746485
Pernambuco,Gamma,28/11/2015,26/12/2015,2.13853652443351,1.70602250444585,2.77532914721411
Pernambuco,Gamma,05/12/2015,02/01/2016,1.49153239805393,1.20819286658116,1.83212466934565
Pernambuco,Gamma,12/12/2015,09/01/2016,1.19361413206792,1.04577337121414,1.40606384981313
Pernambuco,Gamma,19/12/2015,16/01/2016,1.40574375817161,1.30806651365475,1.53076540204869
Pernambuco,Gamma,26/12/2015,23/01/2016,1.39516763046988,1.27633468354129,1.49489342458001
Pernambuco,Gamma,02/01/2016,30/01/2016,1.46313860674547,1.30994360843612,1.62506843464179
Pernambuco,Gamma,09/01/2016,06/02/2016,1.6174232175001,1.45772720043102,1.79262765085505
Pernambuco,Gamma,16/01/2016,13/02/2016,1.63364136105107,1.43089634499089,1.82876006302868
Pernambuco,Gamma,23/01/2016,20/02/2016,1.62852867043982,1.41656202674071,1.86408556177005
Pernambuco,Gamma,30/01/2016,27/02/2016,1.54887719633485,1.35787031055368,1.76791234403449
Pernambuco,Gamma,06/02/2016,05/03/2016,1.33148502825384,1.18202353488941,1.50548161188582
Pernambuco,Gamma,13/02/2016,12/03/2016,1.12578762843962,1.03408513727541,1.24394235793976
Pernambuco,Gamma,20/02/2016,19/03/2016,0.91527925000296,0.869801666717634,0.972471788068811
Pernambuco,Gamma,27/02/2016,26/03/2016,0.715130529742967,0.682202314915425,0.751702204259576
Pernambuco,Gamma,05/03/2016,02/04/2016,0.582266409705205,0.539112608413143,0.641562176786001
Pernambuco,Gamma,12/03/2016,09/04/2016,0.535129985742548,0.472026877011517,0.618085975836216
Pernambuco,Gamma,19/03/2016,16/04/2016,0.475003101130002,0.403414600550501,0.56102042158208
Pernambuco,Gamma,26/03/2016,23/04/2016,0.484140453827215,0.403445933114404,0.580779261942289
Pernambuco,Gamma,02/04/2016,30/04/2016,0.489346867909458,0.401761732568311,0.591981191056347
Pernambuco,Gamma,09/04/2016,07/05/2016,0.428308324152107,0.35023723438283,0.516697642942421
Rio Grande,Gamma,12/12/2015,09/01/2016,1.63506285073305,1.00402894830219,2.57638234144663
Rio Grande,Gamma,19/12/2015,16/01/2016,1.10783754650374,0.697847354007352,1.62746385744829
Rio Grande,Gamma,26/12/2015,23/01/2016,0.415090167905533,0.198673130700205,0.711210549844907
Rio Grande,Gamma,02/01/2016,30/01/2016,0.479785734399403,0.234685051030236,0.8207680313051
Rio Grande,Gamma,09/01/2016,06/02/2016,0.9640204156505,0.521646982070548,1.58060786188977
Rio Grande,Gamma,16/01/2016,13/02/2016,1.5158722760011,0.903845587403442,2.29149360854448
Rio Grande,Gamma,23/01/2016,20/02/2016,2.27152729665295,1.49695719592552,3.25833745412559
Rio Grande,Gamma,30/01/2016,27/02/2016,2.33777168224807,1.54793382354894,3.32921543913757
Rio Grande,Gamma,06/02/2016,05/03/2016,3.4305126265059,2.43758236289102,4.720772295227
Rio Grande,Gamma,13/02/2016,12/03/2016,2.83012825561378,1.87201512283246,3.99252975176559
Rio Grande,Gamma,20/02/2016,19/03/2016,2.5287730205986,1.76178373933995,3.67109072765923
Rio Grande,Gamma,27/02/2016,26/03/2016,2.05498603836254,1.53575986586057,2.76649316175013
Rio Grande,Gamma,05/03/2016,02/04/2016,1.57197554271457,1.21729889788237,2.03304546986404
Rio Grande,Gamma,12/03/2016,09/04/2016,1.26104665596159,1.0279234824339,1.55451053636867
Rio Grande,Gamma,19/03/2016,16/04/2016,1.45802276173316,1.25056642264003,1.69620796280807
Rio Grande,Gamma,26/03/2016,23/04/2016,1.30319437415172,1.11189021769044,1.50662760114808
Rio Grande,Gamma,02/04/2016,30/04/2016,1.04673779773914,0.881481559533627,1.23393750883687
Rio Grande,Gamma,09/04/2016,07/05/2016,1.07538000638441,0.931042989652713,1.23219096032031
Rio Grande,Gamma,16/04/2016,14/05/2016,1.03112326790249,0.895503408918505,1.17695283490389
Rio Grande,Gamma,23/04/2016,21/05/2016,0.817751662065035,0.699846238921007,0.945658625703102
Rio Janeiro,Gamma,28/11/2015,26/12/2015,3.40007010554398,2.1715671378523,5.26166791387981
Rio Janeiro,Gamma,05/12/2015,02/01/2016,2.42655076449076,1.74632300487477,3.37422291679508
Rio Janeiro,Gamma,12/12/2015,09/01/2016,1.97108702943523,1.56294288545982,2.52766807118824
Rio Janeiro,Gamma,19/12/2015,16/01/2016,1.58740332105881,1.33488594156708,1.9142684755862
Rio Janeiro,Gamma,26/12/2015,23/01/2016,1.33261526416075,1.18034520785182,1.53455697008756
Rio Janeiro,Gamma,02/01/2016,30/01/2016,1.17925092272954,1.09432183656384,1.29752129621452
Rio Janeiro,Gamma,09/01/2016,06/02/2016,1.09703372794669,1.04672642898962,1.16377614924051
Rio Janeiro,Gamma,16/01/2016,13/02/2016,0.964174073972097,0.933080998381645,1.00151639483486
Rio Janeiro,Gamma,23/01/2016,20/02/2016,0.969729532000499,0.944113212492479,0.998326050908531
Rio Janeiro,Gamma,30/01/2016,27/02/2016,0.964750311454157,0.935940873626506,0.992852350948922
