country,year,week,date,conf,susp,total
Suriname,2015,38,26/09/2015,0,2,2
Suriname,2015,39,03/10/2015,0,0,0
Suriname,2015,40,10/10/2015,3,1,4
Suriname,2015,41,17/10/2015,5,2,7
Suriname,2015,42,24/10/2015,3,3,6
Suriname,2015,43,31/10/2015,3,1,4
Suriname,2015,44,07/11/2015,11,6,17
Suriname,2015,45,14/11/2015,11,3,14
Suriname,2015,46,21/11/2015,11,46,57
Suriname,2015,47,28/11/2015,18,29,47
Suriname,2015,48,05/12/2015,20,61,81
Suriname,2015,49,12/12/2015,33,60,93
Suriname,2015,50,19/12/2015,14,59,73
Suriname,2015,51,26/12/2015,22,37,59
Suriname,2015,52,02/01/2016,17,28,45
Suriname,2016,1,09/01/2016,68,53,121
Suriname,2016,2,16/01/2016,53,172,225
Suriname,2016,3,23/01/2016,85,288,373
Suriname,2016,4,30/01/2016,76,330,406
Suriname,2016,5,06/02/2016,32,307,339
Suriname,2016,6,13/02/2016,39,227,266
Suriname,2016,7,20/02/2016,3,226,229
Suriname,2016,8,27/02/2016,0,138,138
Suriname,2016,9,05/03/2016,0,121,121
Suriname,2016,10,12/03/2016,0,129,129
Suriname,2016,11,19/03/2016,0,76,76
Suriname,2016,12,26/03/2016,0,14,14
Suriname,2016,13,02/04/2016,0,9,9
Suriname,2016,14,09/04/2016,0,13,13
Suriname,2016,15,16/04/2016,0,25,25
Suriname,2016,16,23/04/2016,0,15,15
Suriname,2016,17,30/04/2016,0,6,6
Suriname,2016,18,07/05/2016,0,7,7
Suriname,2016,19,14/05/2016,0,8,8
Suriname,2016,20,21/05/2016,0,7,7
Suriname,2016,21,28/05/2016,NA,NA,NA
